'de novo' IMP biosynthesis	IMP biosynthesis
activation of transcription on exit from mitosis\, from Pol III promoter	activation of transcription on exit from mitosis
active immune evasion	evasion of host immune response
active immune evasion via modulation of antigen-processing/presentation pathway	active immune evasion
active immune evasion via modulation of complement system	active immune evasion
active immune evasion via modulation of host-cytokine network	active immune evasion
active viral induction of cell-mediated immune response	active viral induction of host immune response
active viral induction of host immune response	viral induction of host immune response
active viral induction of humoral immune response	active viral induction of host immune response
active viral induction of innate immune response	active viral induction of host immune response
acute-phase response	immune response
acute-phase response	response to pest/pathogen/parasite
acyl carnitine transport	carnitine transport
acyl-CoA biosynthesis	acyl-CoA metabolism
acyl-CoA biosynthesis	coenzyme biosynthesis
acyl-CoA metabolism	coenzyme metabolism
acyl-CoA metabolism	fatty acid metabolism
acylglycerol biosynthesis	acylglycerol metabolism
acylglycerol biosynthesis	glycerolipid biosynthesis
acylglycerol biosynthesis	neutral lipid biosynthesis
acylglycerol catabolism	acylglycerol metabolism
acylglycerol catabolism	glycerolipid catabolism
acylglycerol catabolism	neutral lipid catabolism
acylglycerol metabolism	glycerol ether metabolism
acylglycerol metabolism	glycerolipid metabolism
acylglycerol metabolism	neutral lipid metabolism
adamantanone catabolism	adamantanone metabolism
adamantanone catabolism	xenobiotic catabolism
adamantanone metabolism	ketone metabolism
adamantanone metabolism	xenobiotic metabolism
adaptation of rhodopsin mediated signaling	rhodopsin mediated phototransduction
adaptation to pheromone during conjugation with cellular fusion	conjugation with cellular fusion
adaptation to pheromone during conjugation with cellular fusion	response to pheromone
adaptation to pheromone during conjugation without cellular fusion	conjugation without cellular fusion
adaptation to pheromone during conjugation without cellular fusion	response to pheromone
adaptation to pheromone during pheromone-induced unidirectional conjugation	pheromone-induced unidirectional conjugation
adaptation to pheromone during pheromone-induced unidirectional conjugation	response to pheromone
adaxial/abaxial axis specification	adaxial/abaxial pattern formation
adaxial/abaxial axis specification	axis specification
adaxial/abaxial pattern formation	pattern specification
adenine biosynthesis	adenine metabolism
adenine biosynthesis	purine base biosynthesis
adenine catabolism	adenine metabolism
adenine catabolism	purine base catabolism
adenine metabolism	purine base metabolism
adenine salvage pathway	AMP biosynthesis
adenine salvage pathway	purine salvage
adenine transport	purine transport
adenine\, hypoxanthine and their nucleoside salvage	purine salvage
adenosine biosynthesis	adenosine metabolism
adenosine biosynthesis	purine ribonucleoside biosynthesis
adenosine catabolism	adenosine metabolism
adenosine catabolism	purine ribonucleoside catabolism
adenosine metabolism	purine ribonucleoside metabolism
adenosine phosphorolysis	adenosine catabolism
adenosine salvage pathway	AMP biosynthesis
adenosine salvage pathway	purine salvage
adenosine to inosine editing	base conversion/substitution editing
adenylate cyclase activation	G-protein signaling\, adenylate cyclase activating pathway
adipocyte differentiation	cell differentiation
adrenal gland development	organogenesis
adult behavior	behavior
adult cuticle biosynthesis (sensu Insecta)	cuticle biosynthesis (sensu Insecta)
adult cuticle pigmentation	cuticle pigmentation
adult cuticle pigmentation (sensu Insecta)	cuticle pigmentation
adult cuticle pigmentation (sensu Insecta)	cuticle tanning
adult fat body development	fat body development
adult feeding behavior	adult behavior
adult feeding behavior	feeding behavior
adult heart development	heart development
adult locomotory behavior	adult behavior
adult locomotory behavior	locomotory behavior
adult salivary gland determination	salivary gland determination
adult salivary gland morphogenesis	salivary gland morphogenesis
adult somatic muscle development	somatic muscle development
adult visceral muscle development	visceral muscle development
adult walking behavior	adult locomotory behavior
aerobactin biosynthesis	aerobactin metabolism
aerobactin biosynthesis	amino acid derivative biosynthesis
aerobactin biosynthesis	lysine biosynthesis
aerobactin metabolism	amino acid derivative metabolism
aerobactin transport	transport
aerobic benzoate metabolism	benzoate metabolism
aerobic beta-1\,2\,3\,4\,5\,6-hexachlorocyclohexane metabolism	beta-1\,2\,3\,4\,5\,6-hexachlorocyclohexane metabolism
aerobic electron transport	electron transport
aerobic fructose catabolism	fructose catabolism
aerobic gallate catabolism	gallate catabolism
aerobic glycerol catabolism	glycerol catabolism
aerobic glycerol fermentation	glycerol catabolism
aerobic glycerol fermentation	glycerol fermentation
aerobic nitrilotriacetate metabolism	nitrilotriacetate metabolism
aerobic organosilicone metabolism	organosilicone metabolism
aerobic phenol biosynthesis	aerobic phenol metabolism
aerobic phenol biosynthesis	phenol biosynthesis
aerobic phenol catabolism	aerobic phenol metabolism
aerobic phenol catabolism	phenol catabolism
aerobic phenol metabolism	phenol metabolism
aerobic respiration	cellular respiration
aerobic respiration\, using ammonium as electron donor	aerobic respiration
aerobic respiration\, using ammonium as electron donor	ammonia oxidation
aerobic respiration\, using ammonium as electron donor	energy derivation by oxidation of reduced inorganic compounds
aerobic respiration\, using carbon monoxide as electron donor	aerobic respiration
aerobic respiration\, using carbon monoxide as electron donor	energy derivation by oxidation of reduced inorganic compounds
aerobic respiration\, using ferrous ions as electron donor	aerobic respiration
aerobic respiration\, using ferrous ions as electron donor	energy derivation by oxidation of reduced inorganic compounds
aerobic respiration\, using hydrogen as electron donor	aerobic respiration
aerobic respiration\, using hydrogen as electron donor	energy derivation by oxidation of reduced inorganic compounds
aerobic respiration\, using nitrite as electron donor	aerobic respiration
aerobic respiration\, using nitrite as electron donor	energy derivation by oxidation of reduced inorganic compounds
aerobic respiration\, using nitrite as electron donor	nitrogen metabolism
aerobic respiration\, using sulfur or sulfate as electron donor	aerobic respiration
aerobic respiration\, using sulfur or sulfate as electron donor	energy derivation by oxidation of reduced inorganic compounds
aerotaxis	chemotaxis
aerotaxis	energy taxis
aflatoxin biosynthesis	aflatoxin metabolism
aflatoxin biosynthesis	coumarin biosynthesis
aflatoxin biosynthesis	toxin biosynthesis
aflatoxin catabolism	aflatoxin metabolism
aflatoxin catabolism	coumarin catabolism
aflatoxin catabolism	toxin catabolism
aflatoxin metabolism	coumarin metabolism
aflatoxin metabolism	toxin metabolism
age dependent general metabolic decline	cell aging
age dependent general metabolic decline during chronological cell aging	age dependent general metabolic decline
age dependent general metabolic decline during chronological cell aging	chronological cell aging
age dependent general metabolic decline during replicative cell aging	age dependent general metabolic decline
age dependent general metabolic decline during replicative cell aging	replicative cell aging
age dependent response to oxidative stress	age dependent general metabolic decline
age dependent response to oxidative stress	response to oxidative stress
age dependent response to oxidative stress during chronological cell aging	age dependent general metabolic decline during chronological cell aging
age dependent response to oxidative stress during chronological cell aging	age dependent response to oxidative stress
age dependent response to oxidative stress during replicative cell aging	age dependent general metabolic decline during replicative cell aging
age dependent response to oxidative stress during replicative cell aging	age dependent response to oxidative stress
age dependent response to reactive oxygen species	response to reactive oxygen species
age dependent response to reactive oxygen species during chronological cell aging	age dependent response to oxidative stress during chronological cell aging
age dependent response to reactive oxygen species during chronological cell aging	age dependent response to reactive oxygen species
age dependent response to reactive oxygen species during replicative cell aging	age dependent response to oxidative stress during replicative cell aging
age dependent response to reactive oxygen species during replicative cell aging	age dependent response to reactive oxygen species
age dependent telomere shortening	progressive alteration of chromatin during replicative cell aging
agglutination	heterophilic cell adhesion
agglutination during conjugation with cellular fusion	agglutination
agglutination during conjugation with cellular fusion	response to pheromone during conjugation with cellular fusion
agglutination during conjugation without cellular fusion	agglutination
agglutination during conjugation without cellular fusion	response to pheromone during conjugation without cellular fusion
aging	death
aging	development
alanine biosynthesis	alanine metabolism
alanine biosynthesis	pyruvate family amino acid biosynthesis
alanine biosynthesis from pyruvate	alanine biosynthesis
alanine biosynthesis from pyruvate	pyruvate metabolism
alanine biosynthesis via ornithine	alanine biosynthesis
alanine biosynthesis via ornithine	ornithine metabolism
alanine catabolism	alanine metabolism
alanine catabolism	pyruvate family amino acid catabolism
alanine catabolism\, by transamination	alanine catabolism
alanine fermentation	alanine catabolism
alanine fermentation	amino acid fermentation
alanine metabolism	pyruvate family amino acid metabolism
alanine oxidation to propanoate	alanine catabolism
alanine oxidation to pyruvate via D-alanine	alanine catabolism
alanine transport	L-amino acid transport
alanine transport	neutral amino acid transport
alanyl-tRNA aminoacylation	amino acid activation
alcohol biosynthesis	alcohol metabolism
alcohol biosynthesis	biosynthesis
alcohol catabolism	alcohol metabolism
alcohol catabolism	catabolism
alcohol metabolism	metabolism
aldaric acid biosynthesis	aldaric acid metabolism
aldaric acid biosynthesis	carboxylic acid biosynthesis
aldaric acid catabolism	aldaric acid metabolism
aldaric acid catabolism	carboxylic acid catabolism
aldaric acid metabolism	carboxylic acid metabolism
aldehyde biosynthesis	aldehyde metabolism
aldehyde biosynthesis	biosynthesis
aldehyde catabolism	aldehyde metabolism
aldehyde catabolism	catabolism
aldehyde metabolism	metabolism
alditol biosynthesis	alditol metabolism
alditol biosynthesis	carbohydrate biosynthesis
alditol biosynthesis	polyol biosynthesis
alditol catabolism	alditol metabolism
alditol catabolism	carbohydrate catabolism
alditol catabolism	polyol catabolism
alditol metabolism	carbohydrate metabolism
alditol metabolism	polyol metabolism
aldonic acid biosynthesis	aldonic acid metabolism
aldonic acid biosynthesis	carbohydrate biosynthesis
aldonic acid catabolism	aldonic acid metabolism
aldonic acid catabolism	carbohydrate catabolism
aldonic acid metabolism	carbohydrate metabolism
aldonic acid metabolism	carboxylic acid metabolism
aldoxime metabolism	nitrogen metabolism
alginic acid biosynthesis	alginic acid metabolism
alginic acid biosynthesis	polysaccharide biosynthesis
alginic acid catabolism	alginic acid metabolism
alginic acid catabolism	polysaccharide catabolism
alginic acid metabolism	carboxylic acid metabolism
alginic acid metabolism	polysaccharide metabolism
alkaloid biosynthesis	alkaloid metabolism
alkaloid biosynthesis	biosynthesis
alkaloid catabolism	alkaloid metabolism
alkaloid catabolism	catabolism
alkaloid metabolism	nitrogen metabolism
alkaloid metabolism	secondary metabolism
alkane transport	drug transport
alkanesulfonate biosynthesis	alkanesulfonate metabolism
alkanesulfonate biosynthesis	biosynthesis
alkanesulfonate catabolism	alkanesulfonate metabolism
alkanesulfonate catabolism	catabolism
alkanesulfonate metabolism	sulfur metabolism
allantoate transport	monocarboxylic acid transport
allantoin assimilation	allantoin metabolism
allantoin biosynthesis	allantoin metabolism
allantoin biosynthesis	heterocycle biosynthesis
allantoin catabolism	allantoin metabolism
allantoin catabolism	heterocycle catabolism
allantoin metabolism	amine metabolism
allantoin metabolism	heterocycle metabolism
allantoin transport	nucleobase transport
allose biosynthesis	allose metabolism
allose biosynthesis	hexose biosynthesis
allose catabolism	allose metabolism
allose catabolism	hexose catabolism
allose metabolism	hexose metabolism
allose transport	hexose transport
alpha-1-microglobulin-chromophore linkage	protein-chromophore linkage via peptidyl-cysteine
alpha-beta T-cell activation	T-cell activation
alpha-beta T-cell activation by superantigen	alpha-beta T-cell activation
alpha-beta T-cell differentiation	T-cell differentiation
alpha-beta T-cell differentiation	alpha-beta T-cell activation
alpha-beta T-cell proliferation	T-cell proliferation
alpha-beta T-cell proliferation	alpha-beta T-cell activation
alpha-glucoside transport	glucose transport
alpha-glycerophosphate pathway	glycerophospholipid metabolism
alpha-ketoglutarate transport	dicarboxylic acid transport
alpha-pinene biosynthesis	alpha-pinene metabolism
alpha-pinene biosynthesis	terpene biosynthesis
alpha-pinene catabolism	alpha-pinene metabolism
alpha-pinene catabolism	terpene catabolism
alpha-pinene metabolism	terpene metabolism
alpha-tubulin folding	tubulin folding
aluminum ion transport	di-\, tri-valent inorganic cation transport
aluminum ion transport	metal ion transport
ameboid cell migration	cell migration
amiloride transport	drug transport
amine biosynthesis	amine metabolism
amine biosynthesis	biosynthesis
amine catabolism	amine metabolism
amine catabolism	catabolism
amine metabolism	metabolism
amine/polyamine transport	transport
amino acid activation	protein biosynthesis
amino acid and derivative metabolism	metabolism
amino acid biosynthesis	amine biosynthesis
amino acid biosynthesis	amino acid metabolism
amino acid catabolism	amine catabolism
amino acid catabolism	amino acid metabolism
amino acid derivative biosynthesis	amino acid derivative metabolism
amino acid derivative biosynthesis	biosynthesis
amino acid derivative catabolism	amino acid derivative metabolism
amino acid derivative catabolism	catabolism
amino acid derivative metabolism	amino acid and derivative metabolism
amino acid fermentation	fermentation
amino acid metabolism	amine metabolism
amino acid metabolism	amino acid and derivative metabolism
amino acid metabolism	carboxylic acid metabolism
amino acid transport	amine/polyamine transport
amino acid transport	carboxylic acid transport
amino sugar biosynthesis	amino sugar metabolism
amino sugar biosynthesis	carbohydrate biosynthesis
amino sugar catabolism	amino sugar metabolism
amino sugar catabolism	carbohydrate catabolism
amino sugar metabolism	amine metabolism
amino sugar metabolism	carbohydrate metabolism
aminobutyrate biosynthesis	amino acid derivative biosynthesis
aminobutyrate biosynthesis	aminobutyrate metabolism
aminobutyrate biosynthesis	aromatic compound biosynthesis
aminobutyrate biosynthesis	butyrate biosynthesis
aminobutyrate catabolism	amino acid derivative catabolism
aminobutyrate catabolism	aminobutyrate metabolism
aminobutyrate catabolism	aromatic compound catabolism
aminobutyrate catabolism	butyrate catabolism
aminobutyrate metabolism	amine metabolism
aminobutyrate metabolism	amino acid derivative metabolism
aminobutyrate metabolism	butyrate metabolism
aminoglycan biosynthesis	aminoglycan metabolism
aminoglycan biosynthesis	carbohydrate biosynthesis
aminoglycan catabolism	aminoglycan metabolism
aminoglycan catabolism	carbohydrate catabolism
aminoglycan metabolism	amine metabolism
aminoglycan metabolism	carbohydrate metabolism
aminoglycoside antibiotic biosynthesis	aminoglycoside antibiotic metabolism
aminoglycoside antibiotic biosynthesis	antibiotic biosynthesis
aminoglycoside antibiotic catabolism	aminoglycoside antibiotic metabolism
aminoglycoside antibiotic catabolism	antibiotic catabolism
aminoglycoside antibiotic metabolism	amine metabolism
aminoglycoside antibiotic metabolism	antibiotic metabolism
aminophospholipid transport	lipid transport
aminotriazole transport	azole transport
ammonia assimilation cycle	glutamate metabolism
ammonia oxidation	nitrogen metabolism
ammonium transport	organic cation transport
amnioserosa formation	gastrulation (sensu Insecta)
amnioserosa maintenance	embryonic development (sensu Insecta)
amylopectin biosynthesis	starch biosynthesis
amyloplast organization and biogenesis	plastid organization and biogenesis
anaerobic 1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism
anaerobic 2-aminobenzoate metabolism	2-aminobenzoate metabolism
anaerobic 2-aminobenzoate metabolism	anaerobic benzoate metabolism
anaerobic 2\,4\,6-trinitrotoluene catabolism	2\,4\,6-trinitrotoluene catabolism
anaerobic 2\,4\,6-trinitrotoluene catabolism	anaerobic 2\,4\,6-trinitrotoluene metabolism
anaerobic 2\,4\,6-trinitrotoluene catabolism	anaerobic toluene catabolism
anaerobic 2\,4\,6-trinitrotoluene metabolism	2\,4\,6-trinitrotoluene metabolism
anaerobic 2\,4\,6-trinitrotoluene metabolism	anaerobic toluene metabolism
anaerobic acetylene catabolism	acetylene metabolism
anaerobic acetylene catabolism	xenobiotic catabolism
anaerobic benzoate catabolism	anaerobic benzoate metabolism
anaerobic benzoate metabolism	benzoate metabolism
anaerobic carbon tetrachloride metabolism	carbon tetrachloride metabolism
anaerobic cyclohexane-1-carboxylate catabolism	aromatic compound catabolism
anaerobic cyclohexane-1-carboxylate catabolism	xenobiotic catabolism
anaerobic electron transport	electron transport
anaerobic ethylbenzene catabolism	anaerobic ethylbenzene metabolism
anaerobic ethylbenzene metabolism	ethylbenzene metabolism
anaerobic fructose catabolism	fructose catabolism
anaerobic fructose catabolism	fucose catabolism
anaerobic gallate catabolism	gallate catabolism
anaerobic glycolysis	glycolysis
anaerobic nitrilotriacetate metabolism	nitrilotriacetate metabolism
anaerobic organosilicone metabolism	organosilicone metabolism
anaerobic phenol biosynthesis	anaerobic phenol metabolism
anaerobic phenol biosynthesis	phenol biosynthesis
anaerobic phenol catabolism	anaerobic phenol metabolism
anaerobic phenol catabolism	phenol catabolism
anaerobic phenol metabolism	phenol metabolism
anaerobic phenylalanine oxidation	phenylalanine catabolism
anaerobic respiration	cellular respiration
anaerobic respiration\, using ammonium as electron donor	ammonia oxidation
anaerobic respiration\, using ammonium as electron donor	anaerobic respiration
anaerobic respiration\, using ammonium as electron donor	energy derivation by oxidation of reduced inorganic compounds
anaerobic rhamnose catabolism	rhamnose catabolism
anaerobic toluene catabolism	anaerobic toluene metabolism
anaerobic toluene catabolism	toluene catabolism
anaerobic toluene metabolism	toluene metabolism
anagen	hair cycle
analia morphogenesis (sensu Holometabola)	embryonic morphogenesis
analia morphogenesis (sensu Holometabola)	genital disc metamorphosis
anaphase-promoting complex activation	regulation of mitotic metaphase/anaphase transition
androgen biosynthesis	androgen metabolism
androgen biosynthesis	hormone biosynthesis
androgen biosynthesis	steroid biosynthesis
androgen catabolism	androgen metabolism
androgen catabolism	hormone catabolism
androgen catabolism	steroid catabolism
androgen metabolism	hormone metabolism
androgen metabolism	steroid metabolism
androgen receptor signaling pathway	steroid hormone receptor signaling pathway
anesthesia-resistant memory	memory
angiogenesis	blood vessel development
anion homeostasis	cell ion homeostasis
anion transport	ion transport
antennal joint morphogenesis	antennal morphogenesis
antennal morphogenesis	embryonic morphogenesis
antennal morphogenesis	eye-antennal disc metamorphosis
anterior compartment specification	compartment specification
anterior midgut (ectodermal) morphogenesis	gut (ectodermal) morphogenesis
anterior midgut development	midgut development
anterior midgut invagination	gastrulation (sensu Insecta)
anterior region determination	zygotic determination of anterior/posterior axis\, embryo
anterior/posterior axis determination\, follicular epithelium	anterior/posterior pattern formation
anterior/posterior axis determination\, follicular epithelium	establishment and/or maintenance of polarity of follicular epithelium
anterior/posterior axis determination\, follicular epithelium	ovarian follicle cell development (sensu Insecta)
anterior/posterior axis specification	anterior/posterior pattern formation
anterior/posterior axis specification	axis specification
anterior/posterior lineage restriction\, imaginal disc	anterior/posterior pattern formation\, imaginal disc
anterior/posterior pattern formation	pattern specification
anterior/posterior pattern formation\, imaginal disc	anterior/posterior pattern formation
anterior/posterior pattern formation\, imaginal disc	imaginal disc pattern formation
anterograde axon cargo transport	axon cargo transport
anther dehiscence	dehiscence
anthocyanin biosynthesis	anthocyanin metabolism
anthocyanin biosynthesis	flavonoid biosynthesis
anthocyanin catabolism	anthocyanin metabolism
anthocyanin catabolism	flavonoid catabolism
anthocyanin metabolism	flavonoid metabolism
anti-Gram-negative bacterial polypeptide induction	antibacterial polypeptide induction
anti-Gram-positive bacterial polypeptide induction	antibacterial polypeptide induction
anti-apoptosis	apoptosis
anti-inflammatory response	response to biotic stimulus
antibacterial humoral response	antimicrobial humoral response
antibacterial humoral response	defense response to bacteria
antibacterial humoral response (sensu Invertebrata)	antibacterial humoral response
antibacterial humoral response (sensu Invertebrata)	antimicrobial humoral response (sensu Invertebrata)
antibacterial humoral response (sensu Vertebrata)	antibacterial humoral response
antibacterial humoral response (sensu Vertebrata)	antimicrobial humoral response (sensu Vertebrata)
antibacterial polypeptide induction	antibacterial humoral response
antibiotic biosynthesis	antibiotic metabolism
antibiotic biosynthesis	biosynthesis
antibiotic catabolism	antibiotic metabolism
antibiotic catabolism	catabolism
antibiotic metabolism	drug metabolism
antifungal humoral response	antimicrobial humoral response
antifungal humoral response	response to fungi
antifungal humoral response (sensu Invertebrata)	antifungal humoral response
antifungal humoral response (sensu Invertebrata)	antimicrobial humoral response (sensu Invertebrata)
antifungal humoral response (sensu Vertebrata)	antifungal humoral response
antifungal humoral response (sensu Vertebrata)	antimicrobial humoral response (sensu Vertebrata)
antifungal polypeptide induction	antifungal humoral response
antigen presentation	immune response
antigen presentation\, endogenous antigen	antigen presentation
antigen presentation\, endogenous lipid antigen	antigen presentation\, endogenous antigen
antigen presentation\, endogenous lipid antigen	antigen presentation\, lipid antigen
antigen presentation\, endogenous peptide antigen	antigen presentation\, endogenous antigen
antigen presentation\, endogenous peptide antigen	antigen presentation\, peptide antigen
antigen presentation\, exogenous antigen	antigen presentation
antigen presentation\, exogenous antigen via MHC class I	antigen presentation\, exogenous antigen
antigen presentation\, exogenous antigen via MHC class II	antigen presentation\, exogenous antigen
antigen presentation\, exogenous lipid antigen	antigen presentation\, exogenous antigen
antigen presentation\, exogenous lipid antigen	antigen presentation\, lipid antigen
antigen presentation\, exogenous peptide antigen	antigen presentation\, exogenous antigen
antigen presentation\, exogenous peptide antigen	antigen presentation\, peptide antigen
antigen presentation\, lipid antigen	antigen presentation
antigen presentation\, peptide antigen	antigen presentation
antigen processing	immune response
antigen processing\, endogenous antigen via MHC class I	antigen processing
antigen processing\, exogenous antigen via MHC class II	antigen processing
antigenic variation	passive immune evasion
antimicrobial humoral response	humoral immune response
antimicrobial humoral response (sensu Invertebrata)	antimicrobial humoral response
antimicrobial humoral response (sensu Invertebrata)	humoral defense mechanism (sensu Invertebrata)
antimicrobial humoral response (sensu Vertebrata)	antimicrobial humoral response
antimicrobial humoral response (sensu Vertebrata)	humoral defense mechanism (sensu Vertebrata)
antimonite transport	inorganic anion transport
antipodal cell differentiation	megagametogenesis
antisense RNA transcription	transcription\, DNA-dependent
antral ovarian follicle growth	cell growth
antral ovarian follicle growth	ovarian follicle development
apical bud growth	bud growth
apical protein localization	asymmetric protein localization
apolysis	molting cycle (sensu Insecta)
apoptosis	programmed cell death
apoptotic chromosome condensation	apoptotic nuclear changes
apoptotic chromosome condensation	chromosome condensation
apoptotic mitochondrial changes	apoptotic program
apoptotic nuclear changes	apoptotic program
apoptotic program	apoptosis
apposition of dorsal and ventral wing surfaces	wing margin morphogenesis
arabinitol transport	polyol transport
arabinose biosynthesis	arabinose metabolism
arabinose biosynthesis	pentose biosynthesis
arabinose catabolism	arabinose metabolism
arabinose catabolism	pentose catabolism
arabinose metabolism	pentose metabolism
arabinose transport	pentose transport
arabitol utilization	pentitol catabolism
arachidonic acid metabolism	fatty acid metabolism
arginine biosynthesis	arginine metabolism
arginine biosynthesis	glutamine family amino acid biosynthesis
arginine biosynthesis via ornithine	arginine biosynthesis
arginine biosynthesis via ornithine	ornithine metabolism
arginine catabolism	arginine metabolism
arginine catabolism	glutamine family amino acid catabolism
arginine catabolism to alanine via ornithine	arginine catabolism
arginine catabolism to glutamate	arginine catabolism
arginine catabolism to glutamate	glutamate metabolism
arginine catabolism to ornithine	arginine catabolism
arginine catabolism to ornithine	ornithine metabolism
arginine catabolism to proline	arginine catabolism
arginine catabolism to proline	proline metabolism
arginine catabolism to proline via ornithine	arginine catabolism to proline
arginine catabolism to spermine	arginine catabolism
arginine catabolism to spermine	spermine metabolism
arginine catabolism to succinate	arginine catabolism
arginine catabolism to succinate	succinate metabolism
arginine deiminase pathway	arginine catabolism
arginine metabolism	glutamine family amino acid metabolism
arginine metabolism	urea cycle intermediate metabolism
arginine transport	L-amino acid transport
arginine transport	basic amino acid transport
argininosuccinate metabolism	urea cycle intermediate metabolism
arginyl-tRNA aminoacylation	amino acid activation
aromatic amino acid family biosynthesis	amino acid biosynthesis
aromatic amino acid family biosynthesis	aromatic amino acid family metabolism
aromatic amino acid family biosynthesis	aromatic compound biosynthesis
aromatic amino acid family biosynthesis\, anthranilate pathway	aromatic amino acid family biosynthesis
aromatic amino acid family biosynthesis\, prephenate pathway	aromatic amino acid family biosynthesis
aromatic amino acid family biosynthesis\, shikimate pathway	aromatic amino acid family biosynthesis
aromatic amino acid family biosynthesis\, shikimate pathway	phenylpropanoid metabolism
aromatic amino acid family catabolism	amino acid catabolism
aromatic amino acid family catabolism	aromatic amino acid family metabolism
aromatic amino acid family catabolism	aromatic compound catabolism
aromatic amino acid family metabolism	amino acid metabolism
aromatic amino acid family metabolism	aromatic compound metabolism
aromatic amino acid transport	amino acid transport
aromatic compound biosynthesis	aromatic compound metabolism
aromatic compound biosynthesis	biosynthesis
aromatic compound catabolism	aromatic compound metabolism
aromatic compound catabolism	catabolism
aromatic compound metabolism	metabolism
arsenite transport	inorganic anion transport
arsonoacetate catabolism	arsonoacetate metabolism
arsonoacetate catabolism	xenobiotic catabolism
arsonoacetate metabolism	carboxylic acid metabolism
arsonoacetate metabolism	xenobiotic metabolism
ascorbate stabilization	electron transport
asexual reproduction	reproduction
asparagine biosynthesis	asparagine metabolism
asparagine biosynthesis	aspartate family amino acid biosynthesis
asparagine biosynthesis from cysteine	asparagine biosynthesis
asparagine biosynthesis from cysteine	cysteine metabolism
asparagine biosynthesis from oxaloacetate	asparagine biosynthesis
asparagine biosynthesis from oxaloacetate	oxaloacetate metabolism
asparagine catabolism	asparagine metabolism
asparagine catabolism	aspartate family amino acid catabolism
asparagine catabolism	glutamine family amino acid catabolism
asparagine metabolism	aspartate family amino acid metabolism
asparagine transport	L-amino acid transport
asparagine transport	basic amino acid transport
asparaginyl-tRNA aminoacylation	amino acid activation
aspartate biosynthesis	aspartate family amino acid biosynthesis
aspartate biosynthesis	aspartate metabolism
aspartate catabolism	aspartate family amino acid catabolism
aspartate catabolism	aspartate metabolism
aspartate family amino acid biosynthesis	amino acid biosynthesis
aspartate family amino acid biosynthesis	aspartate family amino acid metabolism
aspartate family amino acid catabolism	amino acid catabolism
aspartate family amino acid catabolism	aspartate family amino acid metabolism
aspartate family amino acid metabolism	amino acid metabolism
aspartate metabolism	aspartate family amino acid metabolism
aspartate transamidation	aspartate catabolism
aspartate transport	L-amino acid transport
aspartate transport	acidic amino acid transport
aspartyl-tRNA aminoacylation	amino acid activation
associative learning	learning
astrocyte activation	cell activation
asymmetric cytokinesis	cytokinesis
asymmetric protein localization	protein localization
asymmetric protein localization involved in cell fate commitment	asymmetric protein localization
asymmetric protein localization involved in cell fate commitment	cell fate commitment
atrazine catabolism	atrazine metabolism
atrazine catabolism	s-triazine compound catabolism
atrazine catabolism to cyanuric acid	atrazine catabolism
atrazine catabolism to cyanuric acid	cyanuric acid metabolism
atrazine catabolism to isopropylamine	atrazine catabolism
atrazine catabolism to urea	atrazine catabolism
atrazine catabolism to urea	urea metabolism
atrazine metabolism	chlorinated hydrocarbon metabolism
atrazine metabolism	s-triazine compound metabolism
atrichoblast differentiation	root epidermal cell differentiation
atrichoblast fate specification	atrichoblast differentiation
attachment of GPI anchor to protein	GPI anchor biosynthesis
attenuation of antimicrobial humoral response	antimicrobial humoral response
attenuation of antimicrobial humoral response (sensu Invertebrata)	antimicrobial humoral response (sensu Invertebrata)
attenuation of antimicrobial humoral response (sensu Invertebrata)	attenuation of antimicrobial humoral response
attenuation of antimicrobial humoral response (sensu Vertebrata)	antimicrobial humoral response (sensu Vertebrata)
attenuation of antimicrobial humoral response (sensu Vertebrata)	attenuation of antimicrobial humoral response
autophagic cell death	autophagy
autophagic cell death	programmed cell death
autophagic membrane degradation	macroautophagy
autophagic membrane degradation	membrane degradation
autophagic vacuole docking	macroautophagy
autophagic vacuole formation	macroautophagy
autophagic vacuole fusion	macroautophagy
autophagy	cell growth and/or maintenance
autophosphorylation	protein amino acid phosphorylation
auxin biosynthesis	auxin metabolism
auxin biosynthesis	hormone biosynthesis
auxin catabolism	auxin metabolism
auxin catabolism	hormone catabolism
auxin mediated signaling	hormone mediated signaling
auxin mediated signaling	response to auxin stimulus
auxin metabolism	hormone metabolism
auxin polar transport	hormone transport
axial budding	budding
axis specification	pattern specification
axon cargo transport	microtubule-based movement
axon choice point recognition	axon guidance
axon choice point recognition	neuronal cell recognition
axon guidance	axonogenesis
axon guidance	cell migration
axon midline choice point recognition	axon choice point recognition
axon target recognition	axonogenesis
axon transport of mitochondrion	axon cargo transport
axonemal microtubule stabilization	microtubule stabilization
axoneme assembly	spermatid development
axonogenesis	neurogenesis
azole transport	drug transport
bacteriochlorophyll biosynthesis	bacteriochlorophyll metabolism
bacteriochlorophyll biosynthesis	chlorophyll biosynthesis
bacteriochlorophyll catabolism	bacteriochlorophyll metabolism
bacteriochlorophyll catabolism	chlorophyll catabolism
bacteriochlorophyll metabolism	chlorophyll metabolism
bacteriocin biosynthesis	antibiotic biosynthesis
bacteriocin biosynthesis	bacteriocin metabolism
bacteriocin biosynthesis	toxin biosynthesis
bacteriocin catabolism	antibiotic catabolism
