mitochondrion inheritance	GO:0000001
male meiosis I spindle assembly (sensu Animalia)	GO:0007054
male meiosis II spindle assembly (sensu Animalia)	GO:0007055
female meiotic spindle assembly (sensu Animalia)	GO:0007056
female meiosis I spindle assembly (sensu Animalia)	GO:0007057
female meiosis II spindle assembly (sensu Animalia)	GO:0007058
chromosome segregation	GO:0007059
male meiosis chromosome segregation	GO:0007060
homologous chromosome segregation	GO:0007061
sister chromatid cohesion	GO:0007062
regulation of sister chromatid cohesion	GO:0007063
mitotic sister chromatid cohesion	GO:0007064
male meiosis sister chromatid cohesion	GO:0007065
female meiosis sister chromatid cohesion	GO:0007066
mitosis	GO:0007067
negative regulation of transcription\, mitotic	GO:0007068
negative regulation of transcription from Pol I promoter\, mitotic	GO:0007069
negative regulation of transcription from Pol II promoter\, mitotic	GO:0007070
negative regulation of transcription from Pol III promoter\, mitotic	GO:0007071
activation of transcription on exit from mitosis	GO:0007072
activation of transcription on exit from mitosis\, from Pol I promoter	GO:0007073
activation of transcription on exit from mitosis\, from Pol II promoter	GO:0007074
activation of transcription on exit from mitosis\, from Pol III promoter	GO:0007075
mitotic chromosome condensation	GO:0007076
mitotic nuclear envelope breakdown	GO:0007077
lamin depolymerization	GO:0007078
mitotic chromosome movement	GO:0007079
mitotic metaphase plate congression	GO:0007080
mitotic chromosome decondensation	GO:0007083
nuclear envelope reassembly	GO:0007084
nuclear membrane vesicle binding to chromatin	GO:0007085
nuclear membrane vesicle fusion	GO:0007086
nuclear pore complex reassembly	GO:0007087
regulation of mitosis	GO:0007088
start control point of mitotic cell cycle	GO:0007089
regulation of S phase of mitotic cell cycle	GO:0007090
mitotic metaphase/anaphase transition	GO:0007091
anaphase-promoting complex activation	GO:0007092
mitotic checkpoint	GO:0007093
mitotic spindle checkpoint	GO:0007094
mitotic G2 checkpoint	GO:0007095
regulation of exit from mitosis	GO:0007096
nuclear migration	GO:0007097
centrosome cycle	GO:0007098
centriole replication	GO:0007099
centrosome separation	GO:0007100
male meiosis centrosome cycle	GO:0007101
spindle pole body and microtubule cycle (sensu Saccharomyces)	GO:0007102
spindle pole body duplication (sensu Saccharomyces)	GO:0007103
cytokinesis\, site selection	GO:0007105
membrane addition at site of cytokinesis	GO:0007107
cytokinesis\, initiation of separation	GO:0007108
cytokinesis\, completion of separation	GO:0007109
cytokinesis after meiosis I	GO:0007110
cytokinesis after meiosis II	GO:0007111
male meiosis cytokinesis	GO:0007112
endomitotic cell cycle	GO:0007113
budding	GO:0007114
regulation of budding	GO:0007116
bud growth	GO:0007117
apical bud growth	GO:0007118
isotropic bud growth	GO:0007119
axial budding	GO:0007120
polar budding	GO:0007121
loss of asymmetric budding	GO:0007122
bud scar accumulation	GO:0007123
pseudohyphal growth	GO:0007124
invasive growth	GO:0007125
meiosis	GO:0007126
meiosis I	GO:0007127
meiotic prophase I	GO:0007128
synapsis	GO:0007129
synaptonemal complex formation	GO:0007130
meiotic recombination	GO:0007131
meiotic metaphase I	GO:0007132
meiotic anaphase I	GO:0007133
meiotic telophase I	GO:0007134
meiosis II	GO:0007135
meiotic prophase II	GO:0007136
meiotic metaphase II	GO:0007137
meiotic anaphase II	GO:0007138
meiotic telophase II	GO:0007139
male meiosis	GO:0007140
male meiosis I	GO:0007141
male meiosis II	GO:0007142
female meiosis	GO:0007143
female meiosis I	GO:0007144
meiotic recombination nodule assembly	GO:0007146
female meiosis II	GO:0007147
colony morphology	GO:0007149
growth pattern	GO:0007150
sporulation (sensu Saccharomyces)	GO:0007151
spore wall assembly (sensu Saccharomyces)	GO:0007152
germination (sensu Saccharomyces)	GO:0007153
cell communication	GO:0007154
cell adhesion	GO:0007155
homophilic cell adhesion	GO:0007156
heterophilic cell adhesion	GO:0007157
neuronal cell adhesion	GO:0007158
leukocyte cell adhesion	GO:0007159
cell-matrix adhesion	GO:0007160
calcium-independent cell-matrix adhesion	GO:0007161
negative regulation of cell adhesion	GO:0007162
establishment and/or maintenance of cell polarity	GO:0007163
establishment of tissue polarity	GO:0007164
signal transduction	GO:0007165
cell surface receptor linked signal transduction	GO:0007166
enzyme linked receptor protein signaling pathway	GO:0007167
receptor guanylyl cyclase signaling pathway	GO:0007168
transmembrane receptor protein tyrosine kinase signaling pathway	GO:0007169
transmembrane receptor protein tyrosine kinase ligand binding	GO:0007170
transmembrane receptor protein tyrosine kinase activation (dimerization)	GO:0007171
signal complex formation	GO:0007172
EGF receptor signaling pathway	GO:0007173
EGF receptor ligand processing	GO:0007174
negative regulation of EGF receptor activity	GO:0007175
regulation of EGF receptor activity	GO:0007176
transmembrane receptor protein serine/threonine kinase signaling pathway	GO:0007178
TGFbeta receptor signaling pathway	GO:0007179
TGFbeta ligand binding to type II receptor	GO:0007180
TGFbeta receptor complex assembly	GO:0007181
common-partner SMAD protein phosphorylation	GO:0007182
SMAD protein heteromerization	GO:0007183
SMAD protein nuclear translocation	GO:0007184
transmembrane receptor protein tyrosine phosphatase signaling pathway	GO:0007185
G-protein coupled receptor protein signaling pathway	GO:0007186
G-protein signaling\, coupled to cyclic nucleotide second messenger	GO:0007187
G-protein signaling\, coupled to cAMP nucleotide second messenger	GO:0007188
G-protein signaling\, adenylate cyclase activating pathway	GO:0007189
adenylate cyclase activation	GO:0007190
dopamine receptor\, adenylate cyclase activating pathway	GO:0007191
serotonin receptor\, adenylate cyclase activating pathway	GO:0007192
G-protein signaling\, adenylate cyclase inhibiting pathway	GO:0007193
negative regulation of adenylate cyclase activity	GO:0007194
dopamine receptor\, adenylate cyclase inhibiting pathway	GO:0007195
metabotropic glutamate receptor\, adenylate cyclase inhibiting pathway	GO:0007196
muscarinic acetyl choline receptor\, adenylate cyclase inhibiting pathway	GO:0007197
serotonin receptor\, adenylate cyclase inhibiting pathway	GO:0007198
G-protein signaling\, coupled to cGMP nucleotide second messenger	GO:0007199
G-protein signaling\, coupled to IP3 second messenger (phospholipase C activating)	GO:0007200
G-protein dissociation	GO:0007201
phospholipase C activation	GO:0007202
phosphatidylinositol-4\,5-bisphosphate hydrolysis	GO:0007203
cytosolic calcium ion concentration elevation	GO:0007204
protein kinase C activation	GO:0007205
metabotropic glutamate receptor\, phospholipase C activating pathway	GO:0007206
muscarinic acetyl choline receptor\, phospholipase C activating pathway	GO:0007207
serotonin receptor\, phospholipase C activating pathway	GO:0007208
tachykinin receptor\, phospholipase C activating pathway	GO:0007209
serotonin receptor signaling pathway	GO:0007210
octopamine/tyramine signaling pathway	GO:0007211
dopamine receptor signaling pathway	GO:0007212
acetyl choline receptor signaling\, muscarinic pathway	GO:0007213
gamma-aminobutyric acid signaling pathway	GO:0007214
glutamate signaling pathway	GO:0007215
metabotropic glutamate receptor signaling pathway	GO:0007216
tachykinin signaling pathway	GO:0007217
neuropeptide signaling pathway	GO:0007218
N signaling pathway	GO:0007219
N receptor processing	GO:0007220
N receptor target transcription factor activation	GO:0007221
frizzled signaling pathway	GO:0007222
frizzled-2 signaling pathway	GO:0007223
smoothened signaling pathway	GO:0007224
patched receptor ligand processing	GO:0007225
regulation of smoothened by patched	GO:0007226
signal transduction downstream of smoothened	GO:0007227
activation of hh target transcription factor	GO:0007228
integrin-mediated signaling pathway	GO:0007229
calcium-o-sensing receptor pathway	GO:0007230
osmosensory signaling pathway	GO:0007231
osmosensory signaling pathway via Sho1 osmosensor	GO:0007232
activation of Pbs2 kinase	GO:0007233
osmosensory signaling pathway via two-component system	GO:0007234
intracellular signaling cascade	GO:0007242
protein kinase cascade	GO:0007243
NIK-I-kappaB/NF-kappaB cascade	GO:0007249
activation of NF-kappaB-inducing kinase	GO:0007250
activation of the inhibitor of kappa kinase	GO:0007251
I-kappaB phosphorylation	GO:0007252
cytoplasmic sequestering of NF-kappaB	GO:0007253
JNK cascade	GO:0007254
activation of MAP/ERK kinase kinase	GO:0007255
activation of JUNKK	GO:0007256
activation of JUNK	GO:0007257
JUN phosphorylation	GO:0007258
JAK-STAT cascade	GO:0007259
tyrosine phosphorylation of STAT protein	GO:0007260
STAT protein dimerization	GO:0007261
STAT protein nuclear translocation	GO:0007262
nitric oxide mediated signal transduction	GO:0007263
small GTPase mediated signal transduction	GO:0007264
RAS protein signal transduction	GO:0007265
Rho protein signal transduction	GO:0007266
cell-cell signaling	GO:0007267
synaptic transmission	GO:0007268
neurotransmitter secretion	GO:0007269
nerve-nerve synaptic transmission	GO:0007270
synaptic transmission\, cholinergic	GO:0007271
ionic insulation of neurons by glial cells	GO:0007272
regulation of synapse	GO:0007273
neuromuscular synaptic transmission	GO:0007274
development	GO:0007275
gametogenesis	GO:0007276
pole cell development	GO:0007277
pole cell fate determination	GO:0007278
pole cell formation	GO:0007279
pole cell migration	GO:0007280
germ-cell development	GO:0007281
cystoblast cell division	GO:0007282
spermatogenesis	GO:0007283
spermatogonial cell division	GO:0007284
primary spermatocyte growth	GO:0007285
spermatid development	GO:0007286
Nebenkern formation	GO:0007287
axoneme assembly	GO:0007288
spermatid nuclear differentiation	GO:0007289
spermatid nuclear elongation	GO:0007290
sperm individualization	GO:0007291
oogenesis	GO:0007292
egg chamber formation (sensu Insecta)	GO:0007293
oocyte cell fate determination (sensu Insecta)	GO:0007294
egg chamber growth (sensu Insecta)	GO:0007295
vitellogenesis	GO:0007296
follicle cell migration (sensu Insecta)	GO:0007297
border cell migration (sensu Insecta)	GO:0007298
follicle cell adhesion (sensu Insecta)	GO:0007299
nurse cell/oocyte transport (sensu Insecta)	GO:0007300
ovarian ring canal formation	GO:0007301
nurse cell nucleus anchoring	GO:0007302
cytoplasmic transport\, nurse cell to oocyte	GO:0007303
eggshell formation (sensu Insecta)	GO:0007304
vitelline membrane formation (sensu Insecta)	GO:0007305
insect chorion formation	GO:0007306
chorion gene amplification	GO:0007307
oocyte construction	GO:0007308
oocyte axis determination	GO:0007309
oocyte dorsal/ventral axis determination	GO:0007310
maternal determination of dorsal/ventral axis\, oocyte\, germ-line encoded	GO:0007311
oocyte nucleus migration	GO:0007312
maternal determination of dorsal/ventral axis\, oocyte\, soma encoded	GO:0007313
oocyte anterior/posterior axis determination	GO:0007314
pole plasm assembly	GO:0007315
pole plasm RNA localization	GO:0007316
regulation of pole plasm oskar mRNA localization	GO:0007317
pole plasm protein localization	GO:0007318
negative regulation of oskar mRNA translation	GO:0007319
insemination	GO:0007320
sperm displacement	GO:0007321
peptide pheromone maturation	GO:0007323
positive regulation of transcription from Pol II promoter by pheromones	GO:0007329
fertilization (sensu Animalia)	GO:0007338
binding of sperm to zona pellucida	GO:0007339
acrosome reaction	GO:0007340
penetration of zona pellucida	GO:0007341
binding/fusion of sperm to egg plasma membrane	GO:0007342
egg activation	GO:0007343
pronuclear fusion	GO:0007344
regulation of mitotic cell cycle	GO:0007346
regulation of preblastoderm mitotic cell cycle	GO:0007347
regulation of syncytial blastoderm mitotic cell cycle	GO:0007348
cellularization	GO:0007349
blastoderm segmentation	GO:0007350
regional subdivision	GO:0007351
zygotic determination of dorsal/ventral axis	GO:0007352
ventral/lateral system	GO:0007353
zygotic determination of anterior/posterior axis\, embryo	GO:0007354
anterior region determination	GO:0007355
thorax and anterior abdomen determination	GO:0007356
activation of central gap gene	GO:0007357
establishment of central gap gene boundaries	GO:0007358
posterior abdomen determination	GO:0007359
activation of posterior gap gene	GO:0007360
establishment of posterior gap gene boundaries	GO:0007361
terminal region determination	GO:0007362
activation of terminal gap gene	GO:0007363
establishment of terminal gap gene boundary	GO:0007364
periodic partitioning	GO:0007365
periodic partitioning by pair rule gene	GO:0007366
segment polarity determination	GO:0007367
determination of left/right asymmetry	GO:0007368
gastrulation	GO:0007369
ventral furrow formation	GO:0007370
ventral midline determination	GO:0007371
determination of anterior border of ventral midline	GO:0007372
determination of posterior border of ventral midline	GO:0007373
posterior midgut invagination	GO:0007374
anterior midgut invagination	GO:0007375
cephalic furrow formation	GO:0007376
germ-band extension	GO:0007377
amnioserosa formation	GO:0007378
segment specification	GO:0007379
specification of segmental identity\, head	GO:0007380
specification of segmental identity\, labial segment	GO:0007381
specification of segmental identity\, maxillary segment	GO:0007382
specification of segmental identity\, antennal segment	GO:0007383
specification of segmental identity\, thorax	GO:0007384
specification of segmental identity\, abdomen	GO:0007385
compartment specification	GO:0007386
anterior compartment specification	GO:0007387
posterior compartment specification	GO:0007388
pattern specification	GO:0007389
germ-band shortening	GO:0007390
dorsal closure	GO:0007391
initiation of dorsal closure	GO:0007392
leading edge cell fate determination	GO:0007393
elongation of leading edge cells	GO:0007394
spreading of leading edge cells	GO:0007395
suture of dorsal opening	GO:0007396
ectoderm development	GO:0007398
neurogenesis	GO:0007399
neuroblast cell fate determination	GO:0007400
pan-neural process	GO:0007401
ganglion mother cell fate determination	GO:0007402
glial cell fate determination	GO:0007403
neuroblast proliferation	GO:0007405
suppression of neuroblast proliferation	GO:0007406
neuroblast activation	GO:0007407
axonogenesis	GO:0007409
axon guidance	GO:0007411
axon target recognition	GO:0007412
fasciculation of neuron	GO:0007413
defasciculation of neuron	GO:0007414
defasciculation of motor neuron	GO:0007415
synaptogenesis	GO:0007416
central nervous system development	GO:0007417
ventral midline development	GO:0007418
ventral cord development	GO:0007419
brain development	GO:0007420
stomatogastric nervous system development	GO:0007421
peripheral nervous system development	GO:0007422
sensory organ development	GO:0007423
tracheal system development (sensu Insecta)	GO:0007424
tracheal cell fate determination (sensu Insecta)	GO:0007425
tracheal outgrowth (sensu Insecta)	GO:0007426
tracheal cell migration (sensu Insecta)	GO:0007427
primary tracheal branching (sensu Insecta)	GO:0007428
secondary tracheal branching (sensu Insecta)	GO:0007429
terminal branching of trachea\, cytoplasmic projection extension (sensu Insecta)	GO:0007430
salivary gland development	GO:0007431
salivary gland determination	GO:0007432
larval salivary gland determination	GO:0007433
adult salivary gland determination	GO:0007434
salivary gland morphogenesis	GO:0007435
larval salivary gland morphogenesis	GO:0007436
adult salivary gland morphogenesis	GO:0007437
oenocyte development	GO:0007438
gut (ectodermal) morphogenesis	GO:0007439
foregut morphogenesis	GO:0007440
anterior midgut (ectodermal) morphogenesis	GO:0007441
hindgut morphogenesis	GO:0007442
Malpighian tubule morphogenesis	GO:0007443
imaginal disc development	GO:0007444
determination of imaginal disc primordium	GO:0007445
imaginal disc growth	GO:0007446
imaginal disc pattern formation	GO:0007447
anterior/posterior pattern formation\, imaginal disc	GO:0007448
proximal/distal pattern formation\, imaginal disc	GO:0007449
dorsal/ventral pattern formation\, imaginal disc	GO:0007450
dorsal/ventral lineage restriction\, imaginal disc	GO:0007451
imaginal disc metamorphosis	GO:0007452
clypeo-labral disc metamorphosis	GO:0007453
labial disc metamorphosis	GO:0007454
eye-antennal disc metamorphosis	GO:0007455
eye morphogenesis (sensu Drosophila)	GO:0007456
progression of morphogenetic furrow (sensu Drosophila)	GO:0007458
photoreceptor fate commitment (sensu Drosophila)	GO:0007459
R8 cell fate commitment	GO:0007460
restriction of R8 fate	GO:0007461
R1/R6 cell fate commitment	GO:0007462
R2/R5 cell fate commitment	GO:0007463
R3/R4 cell fate commitment	GO:0007464
R7 cell fate commitment	GO:0007465
cone cell fate commitment (sensu Drosophila)	GO:0007466
photoreceptor differentiation (sensu Drosophila)	GO:0007467
regulation of rhodopsin gene activity	GO:0007468
antennal morphogenesis	GO:0007469
prothoracic disc metamorphosis	GO:0007470
prothoracic morphogenesis	GO:0007471
wing disc metamorphosis	GO:0007472
wing disc proximal/distal pattern formation	GO:0007473
wing vein specification	GO:0007474
apposition of dorsal and ventral wing surfaces	GO:0007475
wing morphogenesis	GO:0007476
notum morphogenesis	GO:0007477
leg disc metamorphosis	GO:0007478
leg disc proximal/distal pattern formation	GO:0007479
leg morphogenesis (sensu Holometabola)	GO:0007480
haltere disc metamorphosis	GO:0007481
haltere morphogenesis	GO:0007482
genital disc metamorphosis	GO:0007483
genital morphogenesis (sensu Holometabola)	GO:0007484
male genital morphogenesis (sensu Holometabola)	GO:0007485
female genital morphogenesis (sensu Holometabola)	GO:0007486
analia morphogenesis (sensu Holometabola)	GO:0007487
histoblast metamorphosis	GO:0007488
maintenance of imaginal histoblast diploidy	GO:0007489
tergite morphogenesis	GO:0007490
sternite morphogenesis	GO:0007491
endoderm development	GO:0007492
endoderm cell fate determination	GO:0007493
midgut development	GO:0007494
visceral mesoderm/endoderm interaction	GO:0007495
anterior midgut development	GO:0007496
posterior midgut development	GO:0007497
mesoderm development	GO:0007498
ectoderm/mesoderm interaction	GO:0007499
mesoderm cell fate determination	GO:0007500
mesoderm cell fate specification	GO:0007501
gut mesoderm development	GO:0007502
fat body development	GO:0007503
larval fat body development	GO:0007504
adult fat body development	GO:0007505
gonadal mesoderm development	GO:0007506
heart development	GO:0007507
larval heart development	GO:0007508
mesoderm migration	GO:0007509
cardioblast cell fate determination	GO:0007510
dorsal vessel development	GO:0007511
adult heart development	GO:0007512
pericardial cell development	GO:0007513
garland cell differentiation	GO:0007514
lymph gland development	GO:0007515
hemocyte development	GO:0007516
muscle development	GO:0007517
myoblast cell fate determination	GO:0007518
myogenesis	GO:0007519
myoblast fusion	GO:0007520
muscle cell fate determination	GO:0007521
visceral muscle development	GO:0007522
larval visceral muscle development	GO:0007523
adult visceral muscle development	GO:0007524
somatic muscle development	GO:0007525
larval somatic muscle development	GO:0007526
adult somatic muscle development	GO:0007527
neuromuscular junction development	GO:0007528
establishment of synaptic specificity at neuromuscular junction	GO:0007529
sex determination	GO:0007530
mating-type determination	GO:0007531
regulation of transcription\, mating-type specific	GO:0007532
mating-type switching/recombination	GO:0007533
gene conversion at MAT locus	GO:0007534
donor preference	GO:0007535
activation of recombination (HML)	GO:0007536
inactivation of recombination (HML)	GO:0007537
primary sex determination	GO:0007538
primary sex determination\, soma	GO:0007539
sex determination\, establishment of X\:A ratio	GO:0007540
sex determination\, primary response to X\:A ratio	GO:0007541
primary sex determination\, germ-line	GO:0007542
sex determination\, somatic/gonadal interaction	GO:0007543
sex determination\, female germ-line determination	GO:0007544
processes downstream of sex determination signal	GO:0007545
somatic processes downstream of sex determination signal	GO:0007546
germ-line processes downstream of sex determination signal	GO:0007547
sex differentiation	GO:0007548
dosage compensation	GO:0007549
establishment of dosage compensation	GO:0007550
maintenance of dosage compensation	GO:0007551
metamorphosis	GO:0007552
regulation of ecdysteroid metabolism	GO:0007553
regulation of ecdysteroid biosynthesis	GO:0007554
regulation of ecdysteroid secretion	GO:0007555
regulation of juvenile hormone metabolism	GO:0007556
regulation of juvenile hormone biosynthesis	GO:0007557
regulation of juvenile hormone secretion	GO:0007558
histolysis	GO:0007559
imaginal disc morphogenesis	GO:0007560
imaginal disc eversion	GO:0007561
eclosion	GO:0007562
regulation of eclosion	GO:0007563
regulation of cuticle tanning	GO:0007564
pregnancy	GO:0007565
embryo implantation	GO:0007566
parturition	GO:0007567
aging	GO:0007568
cell aging	GO:0007569
age dependent general metabolic decline	GO:0007571
nucleolar fragmentation	GO:0007576
extrachromosomal circular DNA accumulation during cell aging	GO:0007580
physiological processes	GO:0007582
response to nutrients	GO:0007584
respiratory gaseous exchange	GO:0007585
digestion	GO:0007586
sugar utilization	GO:0007587
excretion	GO:0007588
fluid secretion	GO:0007589
fat body metabolism (sensu Insecta)	GO:0007590
molting cycle (sensu Insecta)	GO:0007591
cuticle biosynthesis (sensu Invertebrata)	GO:0007592
cuticle tanning	GO:0007593
puparial adhesion	GO:0007594
lactation	GO:0007595
blood coagulation	GO:0007596
blood coagulation\, intrinsic pathway	GO:0007597
blood coagulation\, extrinsic pathway	GO:0007598
hemostasis	GO:0007599
sensory perception	GO:0007600
vision	GO:0007601
phototransduction	GO:0007602
phototransduction\, visible light	GO:0007603
phototransduction\, UV	GO:0007604
hearing	GO:0007605
chemosensory perception	GO:0007606
taste	GO:0007607
olfaction	GO:0007608
mechanosensory perception	GO:0007609
behavior	GO:0007610
learning and/or memory	GO:0007611
learning	GO:0007612
memory	GO:0007613
short-term memory	GO:0007614
anesthesia-resistant memory	GO:0007615
long-term memory	GO:0007616
mating behavior	GO:0007617
mating	GO:0007618
courtship behavior	GO:0007619
copulation	GO:0007620
negative regulation of female receptivity	GO:0007621
rhythmic behavior	GO:0007622
circadian rhythm	GO:0007623
ultradian rhythm	GO:0007624
grooming behavior	GO:0007625
locomotory behavior	GO:0007626
adult walking behavior	GO:0007628
flight behavior	GO:0007629
jump response	GO:0007630
feeding behavior	GO:0007631
visual behavior	GO:0007632
pattern orientation	GO:0007633
optokinetic behavior	GO:0007634
chemosensory behavior	GO:0007635
chemosensory jump behavior	GO:0007636
proboscis extension reflex	GO:0007637
mechanosensory behavior	GO:0007638
circulation	GO:0008015
regulation of heart rate	GO:0008016
tRNA processing	GO:0008033
cell recognition	GO:0008037
neuronal cell recognition	GO:0008038
synaptic target recognition	GO:0008039
motor axon guidance	GO:0008045
male courtship behavior	GO:0008049
female courtship behavior	GO:0008050
sensory organ determination	GO:0008052
mitochondrial fusion	GO:0008053
cyclin catabolism	GO:0008054
ocellus pigment biosynthesis	GO:0008055
ocellus morphogenesis	GO:0008056
eye pigment granule morphogenesis (sensu Drosophila)	GO:0008057
ocellus pigment granule morphogenesis	GO:0008058
photoreceptor pigment granule morphogenesis	GO:0008059
eclosion rhythm	GO:0008062
Tl signaling pathway	GO:0008063
regulation of actin polymerization and/or depolymerization	GO:0008064
establishment of blood/nerve barrier	GO:0008065
dorsal/ventral axis determination\, follicular epithelium (sensu Insecta)	GO:0008069
maternal determination of dorsal/ventral axis\, follicular epithelium\, germ-line encoded	GO:0008070
maternal determination of dorsal/ventral axis\, follicular epithelium\, soma encoded (sensu Insecta)	GO:0008071
mesoderm cell migration	GO:0008078
axon cargo transport	GO:0008088
anterograde axon cargo transport	GO:0008089
retrograde axon cargo transport	GO:0008090
synaptic vesicle endocytosis	GO:0008099
dpp receptor signaling pathway	GO:0008101
oocyte microtubule cytoskeleton polarization	GO:0008103
protein localization	GO:0008104
asymmetric protein localization	GO:0008105
cell growth and/or maintenance	GO:0008151
metabolism	GO:0008152
para-aminobenzoic acid biosynthesis	GO:0008153
actin polymerization and/or depolymerization	GO:0008154
negative regulation of DNA replication	GO:0008156
steroid metabolism	GO:0008202
cholesterol metabolism	GO:0008203
ergosterol metabolism	GO:0008204
ecdysone metabolism	GO:0008205
bile acid metabolism	GO:0008206
C21-steroid hormone metabolism	GO:0008207
C21-steroid hormone catabolism	GO:0008208
androgen metabolism	GO:0008209
estrogen metabolism	GO:0008210
glucocorticoid metabolism	GO:0008211
mineralocorticoid metabolism	GO:0008212
protein amino acid alkylation	GO:0008213
protein amino acid dealkylation	GO:0008214
spermine metabolism	GO:0008215
spermidine metabolism	GO:0008216
regulation of blood pressure	GO:0008217
bioluminescence	GO:0008218
cell death	GO:0008219
necrosis	GO:0008220
opsinization	GO:0008228
head involution	GO:0008258
TGFbeta ligand binding to type I receptor	GO:0008259
sulfate transport	GO:0008272
regulation of G-protein coupled receptor protein signaling pathway	GO:0008277
cell proliferation	GO:0008283
positive regulation of cell proliferation	GO:0008284
negative regulation of cell proliferation	GO:0008285
insulin receptor signaling pathway	GO:0008286
acetylcholine metabolism	GO:0008291
acetylcholine biosynthesis	GO:0008292
torso signaling pathway	GO:0008293
spermidine biosynthesis	GO:0008295
mRNA localization\, intracellular	GO:0008298
isoprenoid biosynthesis	GO:0008299
isoprenoid catabolism	GO:0008300
ring canal formation\, actin assembly	GO:0008302
associative learning	GO:0008306
gurken receptor signaling pathway	GO:0008314
meiotic G2/MI transition	GO:0008315
endosome to lysosome transport	GO:0008333
histone mRNA metabolism	GO:0008334
ovarian ring canal stabilization	GO:0008335
determination of adult life span	GO:0008340
adult feeding behavior	GO:0008343
adult locomotory behavior	GO:0008344
larval locomotory behavior	GO:0008345
larval walking behavior	GO:0008346
glia cell migration	GO:0008347
attenuation of antimicrobial humoral response	GO:0008348
germ-cell migration	GO:0008354
olfactory learning	GO:0008355
asymmetric cytokinesis	GO:0008356
maternal determination of anterior/posterior axis\, embryo	GO:0008358
regulation of bicoid mRNA localization	GO:0008359
regulation of cell shape	GO:0008360
regulation of cell size	GO:0008361
embryonic cuticle biosynthesis (sensu Insecta)	GO:0008362
larval cuticle biosynthesis (sensu Insecta)	GO:0008363
pupal cuticle biosynthesis (sensu Insecta)	GO:0008364
adult cuticle biosynthesis (sensu Insecta)	GO:0008365
nerve ensheathment	GO:0008366
light-induced release of calcium\, from internal store	GO:0008377
RNA splicing	GO:0008380
gonad development	GO:0008406
bristle morphogenesis	GO:0008407
cytochrome c oxidase biogenesis	GO:0008535
visual learning	GO:0008542
FGF receptor signaling pathway	GO:0008543
epidermal differentiation	GO:0008544
microtubule/chromatin interaction	GO:0008546
regulation of synaptic growth at neuromuscular junction	GO:0008582
mystery cell fate differentiation (sensu Drosophila)	GO:0008583
male gonad development	GO:0008584
female gonad development	GO:0008585
wing vein morphogenesis	GO:0008586
wing margin morphogenesis	GO:0008587
release of cytoplasmic sequestered NF-kappaB	GO:0008588
regulation of smoothened signaling pathway	GO:0008589
regulation of frizzled signaling pathway	GO:0008590
regulation of frizzled-2 signaling pathway	GO:0008591
regulation of Tl signaling pathway	GO:0008592
regulation of N signaling pathway	GO:0008593
photoreceptor cell morphogenesis (sensu Drosophila)	GO:0008594
determination of anterior/posterior axis\, embryo	GO:0008595
microtubule/kinetochore interaction	GO:0008608
lipid biosynthesis	GO:0008610
ether lipid biosynthesis	GO:0008611
hypusine biosynthesis from peptidyl-lysine	GO:0008612
pyridoxine metabolism	GO:0008614
pyridoxine biosynthesis	GO:0008615
queuosine biosynthesis	GO:0008616
guanosine metabolism	GO:0008617
7-methylguanosine metabolism	GO:0008618
induction of apoptosis by extracellular signals	GO:0008624
induction of apoptosis via death domain receptors	GO:0008625
induction of apoptosis by granzyme	GO:0008626
induction of apoptosis by ionic changes	GO:0008627
induction of apoptosis by hormones	GO:0008628
induction of apoptosis by intracellular signals	GO:0008629
DNA damage response\, signal transduction resulting in induction of apoptosis	GO:0008630
induction of apoptosis by oxidative stress	GO:0008631
apoptotic program	GO:0008632
induction of pro-apoptotic gene products	GO:0008633
negative regulation of survival gene products	GO:0008634
caspase activation via cytochrome c	GO:0008635
caspase activation via phosphorylation	GO:0008636
apoptotic mitochondrial changes	GO:0008637
carbohydrate transport	GO:0008643
hexose transport	GO:0008645
high-affinity hexose transport	GO:0008646
low-affinity hexose transport	GO:0008647
amino acid biosynthesis	GO:0008652
lipopolysaccharide metabolism	GO:0008653
phospholipid biosynthesis	GO:0008654
pyrimidine salvage	GO:0008655
dosage compensation\, by hyperactivation of X chromosome	GO:0009047
dosage compensation\, by inactivation of X chromosome	GO:0009048
glycopeptide catabolism	GO:0009050
pentose-phosphate shunt\, oxidative branch	GO:0009051
pentose-phosphate shunt\, non-oxidative branch	GO:0009052
catabolism	GO:0009056
macromolecule catabolism	GO:0009057
biosynthesis	GO:0009058
macromolecule biosynthesis	GO:0009059
aerobic respiration	GO:0009060
anaerobic respiration	GO:0009061
fatty acid catabolism	GO:0009062
amino acid catabolism	GO:0009063
glutamine family amino acid metabolism	GO:0009064
glutamine family amino acid catabolism	GO:0009065
aspartate family amino acid metabolism	GO:0009066
aspartate family amino acid biosynthesis	GO:0009067
aspartate family amino acid catabolism	GO:0009068
serine family amino acid metabolism	GO:0009069
serine family amino acid biosynthesis	GO:0009070
serine family amino acid catabolism	GO:0009071
aromatic amino acid family metabolism	GO:0009072
aromatic amino acid family biosynthesis	GO:0009073
aromatic amino acid family catabolism	GO:0009074
histidine family amino acid metabolism	GO:0009075
histidine family amino acid biosynthesis	GO:0009076
histidine family amino acid catabolism	GO:0009077
pyruvate family amino acid metabolism	GO:0009078
pyruvate family amino acid biosynthesis	GO:0009079
pyruvate family amino acid catabolism	GO:0009080
branched chain family amino acid metabolism	GO:0009081
branched chain family amino acid biosynthesis	GO:0009082
