phosphopyruvate hydratase complex	GO:0000015
eukaryotic translation initiation factor 4F complex	GO:0016281
eukaryotic 43S pre-initiation complex	GO:0016282
eukaryotic 48S initiation complex	GO:0016283
basolateral plasma membrane	GO:0016323
apical plasma membrane	GO:0016324
apicolateral plasma membrane	GO:0016327
lateral plasma membrane	GO:0016328
catenin complex	GO:0016342
nuclear matrix	GO:0016363
RNA-induced silencing complex	GO:0016442
dosage compensation complex (sensu Drosophila)	GO:0016456
myosin	GO:0016459
myosin II	GO:0016460
unconventional myosin	GO:0016461
chaperonin ATPase complex	GO:0016465
proton-transporting two-sector ATPase complex	GO:0016469
hydrogen-translocating V-type ATPase complex	GO:0016471
sodium-transporting two-sector ATPase complex	GO:0016472
sodium-translocating F-type ATPase complex	GO:0016473
sodium-translocating V-type ATPase complex	GO:0016474
fatty acid beta-oxidation multienzyme complex	GO:0016507
core-binding factor complex	GO:0016513
SWI/SNF complex	GO:0016514
interleukin-4 receptor complex	GO:0016516
sarcoplasm	GO:0016528
sarcoplasmic reticulum	GO:0016529
cyclin-dependent protein kinase 5 activator complex	GO:0016533
Sin3 complex	GO:0016580
NuRD complex	GO:0016581
chromatin remodeling complex	GO:0016585
RSC complex	GO:0016586
ISWI1 complex	GO:0016587
ISWI2 complex	GO:0016588
NURF complex	GO:0016589
ACF complex	GO:0016590
DNA-directed RNA polymerase II\, holoenzyme	GO:0016591
Srb-mediator complex	GO:0016592
Cdc73/Paf1 complex	GO:0016593
caveolar membrane	GO:0016599
flotillin complex	GO:0016600
CCAAT-binding factor complex	GO:0016602
nuclear body	GO:0016604
PML body	GO:0016605
Lands	GO:0016606
nuclear speck	GO:0016607
nitrogenase complex	GO:0016610
iron-iron nitrogenase complex	GO:0016611
molybdenum-iron nitrogenase complex	GO:0016612
vanadium-iron nitrogenase complex	GO:0016613
follicle-stimulating hormone complex	GO:0016914
glycine-gated chloride channel complex	GO:0016935
kinesin I complex	GO:0016938
kinesin II complex	GO:0016939
insulin-like growth factor binding protein complex	GO:0016942
myosin phosphatase complex	GO:0017023
transcriptional repressor complex	GO:0017053
negative cofactor 2 complex	GO:0017054
serine C-palmitoyltransferase complex	GO:0017059
intracellular cyclic nucleotide activated cation channel complex	GO:0017071
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex	GO:0017086
mitochondrial processing peptidase complex	GO:0017087
meprin A complex	GO:0017090
aminoacyl-tRNA synthetase multienzyme complex	GO:0017101
methionyl glutamyl tRNA synthetase complex	GO:0017102
glutamate-cysteine ligase complex	GO:0017109
single-stranded DNA dependent ATP dependent DNA helicase complex	GO:0017117
Golgi transport complex	GO:0017119
UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase complex	GO:0017122
electron transfer flavoprotein complex (sensu Eukarya)	GO:0017133
N-methyl-D-aspartate selective glutamate receptor complex	GO:0017146
alpha-glucosidase complex	GO:0017177
translation release factor complex	GO:0018444
polar granule	GO:0018994
host	GO:0018995
SCF ubiquitin ligase complex	GO:0019005
molybdopterin synthase complex	GO:0019008
molybdopterin converting factor	GO:0019009
virion	GO:0019012
viral nucleocapsid	GO:0019013
viral genome	GO:0019015
non-segmented viral genome	GO:0019016
segmented viral genome	GO:0019017
bipartite viral genome	GO:0019018
tripartite viral genome	GO:0019019
multipartite viral genome	GO:0019020
DNA viral genome	GO:0019021
RNA viral genome	GO:0019022
dsRNA viral genome	GO:0019023
ssRNA viral genome	GO:0019024
positive sense viral genome	GO:0019025
negative sense viral genome	GO:0019026
ambisense viral genome	GO:0019027
viral capsid	GO:0019028
helical viral capsid	GO:0019029
icosahedral viral capsid	GO:0019030
viral envelope	GO:0019031
viral tegument	GO:0019033
viral replication complex	GO:0019034
viral integration complex	GO:0019035
viral transcriptional complex	GO:0019036
viral assembly intermediate	GO:0019037
provirus	GO:0019038
histamine-gated chloride channel complex	GO:0019183
snRNA-activating protein complex	GO:0019185
phosphoenolpyruvate-dependent sugar phosphotransferase complex	GO:0019197
synaptosome	GO:0019717
rough microsome	GO:0019718
smooth microsome	GO:0019719
proteasome core complex\, alpha-subunit complex (sensu Eukarya)	GO:0019773
proteasome core complex\, beta-subunit complex (sensu Eukarya)	GO:0019774
quinolinate synthetase complex	GO:0019804
type I site-specific deoxyribonuclease complex	GO:0019812
type III site-specific deoxyribonuclease complex	GO:0019813
immunoglobulin complex	GO:0019814
B-cell receptor complex	GO:0019815
peroxisome vesicle	GO:0019818
P1 peroxisome	GO:0019819
P2 peroxisome	GO:0019820
P3 peroxisome	GO:0019821
P4 peroxisome	GO:0019822
P5 peroxisome	GO:0019823
P6 peroxisome	GO:0019824
flagellum	GO:0019861
inner membrane	GO:0019866
outer membrane	GO:0019867
extrinsic to plasma membrane	GO:0019897
extrinsic to membrane	GO:0019898
cyclin-dependent protein kinase activating kinase holoenzyme complex	GO:0019907
nuclear cyclin-dependent protein kinase holoenzyme complex	GO:0019908
pyruvate dehydrogenase (lipoamide) phosphatase (sensu Eukarya)	GO:0019910
host cell plasma membrane	GO:0020002
parasitophorous vacuole	GO:0020003
parasitophorous vacuolar space	GO:0020004
parasitophorous vacuolar membrane	GO:0020005
parasitophorous vacuolar membrane network	GO:0020006
apical complex	GO:0020007
rhoptry	GO:0020008
microneme	GO:0020009
conoid	GO:0020010
apicoplast	GO:0020011
glycosome	GO:0020015
flagellar pocket	GO:0020016
flagellar membrane	GO:0020017
flagellar pocket membrane	GO:0020018
food vacuole (sensu Apicomplexa)	GO:0020020
acidocalcisome	GO:0020022
kinetoplast	GO:0020023
subpellicular microtubule	GO:0020025
dense granule (sensu Apicomplexa)	GO:0020026
infected host cell surface knob	GO:0020030
polar ring of apical complex	GO:0020031
basal ring of apical complex	GO:0020032
Maurer's cleft	GO:0020036
subpellicular network	GO:0020038
pellicle	GO:0020039
TRAPP	GO:0030008
CCR4-NOT complex	GO:0030014
CCR4-NOT core complex	GO:0030015
myofibril	GO:0030016
sarcomere	GO:0030017
Z disc	GO:0030018
NADH\:plastoquinone reductase complex	GO:0030025
lamellipodium	GO:0030027
cell junction	GO:0030054
cell-matrix junction	GO:0030055
hemidesmosome	GO:0030056
desmosome	GO:0030057
mitochondrial crista	GO:0030061
TCA cycle enzyme complex (sensu Eukarya)	GO:0030062
thylakoid (sensu Proteobacteria)	GO:0030074
thylakoid (sensu Cyanobacteria)	GO:0030075
light-harvesting complex	GO:0030076
light-harvesting complex (sensu Proteobacteria)	GO:0030077
light-harvesting complex\, core complex	GO:0030078
light-harvesting complex\, peripheral complex	GO:0030079
B875 antenna complex	GO:0030080
B800-820 antenna complex	GO:0030081
B800-850 antenna complex	GO:0030082
PSI associated light-harvesting complex I\, LHCIa subcomplex	GO:0030083
PSI associated light-harvesting complex I\, LHCIb subcomplex	GO:0030084
PSII associated light-harvesting complex II\, peripheral complex\, LHCIIb subcomplex	GO:0030085
PSII associated light-harvesting complex II\, core complex\, LHCIIa subcomplex	GO:0030086
PSII associated light-harvesting complex II\, core complex\, LHCIIc subcomplex	GO:0030087
PSII associated light-harvesting complex II\, core complex\, LHCIId subcomplex	GO:0030088
phycobilisome	GO:0030089
reaction center (sensu Proteobacteria)	GO:0030090
photosystem I (sensu Viridiplantae)	GO:0030093
photosystem I (sensu Cyanobacteria)	GO:0030094
photosystem II (sensu Viridiplantae)	GO:0030095
photosystem II (sensu Cyanobacteria)	GO:0030096
glycocalyx	GO:0030112
capsule (sensu Bacteria)	GO:0030113
slime layer	GO:0030114
S-layer	GO:0030115
membrane coat	GO:0030117
clathrin coat	GO:0030118
membrane coat adaptor complex	GO:0030119
vesicle coat	GO:0030120
AP-1 adaptor complex	GO:0030121
AP-2 adaptor complex	GO:0030122
AP-3 adaptor complex	GO:0030123
AP-4 adaptor complex	GO:0030124
clathrin vesicle coat	GO:0030125
COPI vesicle coat	GO:0030126
COPII vesicle coat	GO:0030127
clathrin coat of endocytic vesicle	GO:0030128
clathrin coat of synaptic vesicle	GO:0030129
clathrin coat of trans-Golgi network vesicle	GO:0030130
clathrin adaptor complex	GO:0030131
clathrin coat of coated pit	GO:0030132
transport vesicle	GO:0030133
ER-Golgi transport vesicle	GO:0030134
coated vesicle	GO:0030135
clathrin-coated vesicle	GO:0030136
COPI-coated vesicle	GO:0030137
COPII-coated vesicle	GO:0030138
endocytic vesicle	GO:0030139
trans-Golgi network transport vesicle	GO:0030140
secretory granule	GO:0030141
Golgi-ER transport vesicle	GO:0030142
inter-Golgi transport vesicle	GO:0030143
integral to Golgi membrane	GO:0030173
filopodium	GO:0030175
integral to endoplasmic reticulum membrane	GO:0030176
insulin control element activator complex	GO:0030232
type I protein secretion system complex	GO:0030256
type III protein secretion system complex	GO:0030257
integral to synaptic vesicle membrane	GO:0030285
dynein complex	GO:0030286
periplasmic space (sensu Fungi)	GO:0030287
periplasmic space (sensu Gram-negative Bacteria)	GO:0030288
protein phosphatase 4 complex	GO:0030289
external encapsulating structure	GO:0030312
cell envelope	GO:0030313
junctional membrane complex	GO:0030314
T-tubule	GO:0030315
ferredoxin\:thioredoxin reductase complex	GO:0030386
axon	GO:0030424
dendrite	GO:0030425
growth cone	GO:0030426
site of polarized growth	GO:0030427
septum	GO:0030428
host cell cytoplasm	GO:0030430
yeast-form cell wall	GO:0030445
hyphal cell wall	GO:0030446
actin cap (sensu Fungi)	GO:0030478
actin cortical patch (sensu Fungi)	GO:0030479
contractile ring (sensu Fungi)	GO:0030480
septin ring (sensu Fungi)	GO:0030481
actin cable (sensu Fungi)	GO:0030482
site of polarized growth (sensu Fungi)	GO:0030483
muscle fiber	GO:0030484
smooth muscle fiber	GO:0030485
smooth muscle dense body	GO:0030486
midbody	GO:0030496
granulocyte macrophage colony-stimulating factor receptor complex	GO:0030526
ribonucleoprotein complex	GO:0030529
heterogeneous nuclear ribonucleoprotein complex	GO:0030530
small cytoplasmic ribonucleoprotein complex	GO:0030531
small nuclear ribonucleoprotein complex	GO:0030532
transport vesicle membrane	GO:0030658
cytoplasmic vesicle membrane	GO:0030659
Golgi vesicle membrane	GO:0030660
chitosome membrane	GO:0030661
coated vesicle membrane	GO:0030662
COPI coated vesicle membrane	GO:0030663
COPII coated vesicle membrane	GO:0030664
clathrin coated vesicle membrane	GO:0030665
endocytic vesicle membrane	GO:0030666
secretory granule membrane	GO:0030667
dense granule membrane (sensu Apicomplexa)	GO:0030668
clathrin-coated endocytic vesicle membrane	GO:0030669
phagocytic vesicle membrane	GO:0030670
clathrin-coated phagocytic vesicle membrane	GO:0030671
synaptic vesicle membrane	GO:0030672
axolemma	GO:0030673
ribonuclease P complex	GO:0030677
mitochondrial ribonuclease P complex	GO:0030678
cyanelle ribonuclease P complex	GO:0030679
ribonuclease P complex (sensu Bacteria)	GO:0030680
ribonuclease P complex (sensu Archaea)	GO:0030681
preribosome	GO:0030684
nucleolar preribosome	GO:0030685
90S preribosome	GO:0030686
nucleolar preribosome\, large subunit precursor	GO:0030687
nucleolar preribosome\, small subunit precursor	GO:0030688
Noc complex	GO:0030689
Noc1p-Noc2p complex	GO:0030690
Noc2p-Noc3p complex	GO:0030691
Noc4p-Nop14p complex	GO:0030692
flagellar basal body\, rod (sensu Bacteria)	GO:0030694
glycine reductase complex	GO:0030700
interleukin-12 receptor complex	GO:0042022
host cell nucleus	GO:0042025
T-cell receptor complex	GO:0042101
alpha-beta T-cell receptor complex	GO:0042105
gamma-delta T-cell receptor complex	GO:0042106
cnidocyst	GO:0042151
plastid membrane	GO:0042170
nuclear envelope-endoplasmic reticulum network	GO:0042175
nuclear RNA export factor complex	GO:0042272
paraspeckles	GO:0042382
sarcolemma	GO:0042383
myosin III	GO:0042385
nuclear inclusion body	GO:0042405
extrinsic to endoplasmic reticulum membrane	GO:0042406
melanosome	GO:0042470
MCM complex	GO:0042555
importin alpha-subunit nuclear export complex	GO:0042563
NLS-dependent protein nuclear import complex	GO:0042564
RNA nuclear export complex	GO:0042565
hydrogenosome	GO:0042566
insulin-like growth factor ternary complex	GO:0042567
insulin-like growth factor binary complex	GO:0042568
immunoglobulin complex\, membrane bound	GO:0042570
immunoglobulin complex\, circulating	GO:0042571
DNA polymerase complex	GO:0042575
microbody	GO:0042579
mannosome	GO:0042580
specific granule	GO:0042581
azurophil granule	GO:0042582
chromaffin granule	GO:0042583
chromaffin granule membrane	GO:0042584
germinal vesicle	GO:0042585
glycogen granule	GO:0042587
zymogen granule	GO:0042588
zymogen granule membrane	GO:0042589
periplasmic space	GO:0042597
vesicular fraction	GO:0042598
lamellar body	GO:0042599
chorion	GO:0042600
forespore	GO:0042601
capsule	GO:0042603
capsule (sensu Fungi)	GO:0042604
MHC protein complex	GO:0042611
MHC class I protein complex	GO:0042612
MHC class II protein complex	GO:0042613
photoreceptor outer segment membrane	GO:0042622
chylomicron	GO:0042627
mast cell granule	GO:0042629
actomyosin	GO:0042641
actomyosin\, myosin component	GO:0042642
actomyosin\, actin component	GO:0042643
chloroplast nucleoid	GO:0042644
mitochondrial nucleoid	GO:0042645
plastid nucleoid	GO:0042646
proplastid nucleoid	GO:0042647
chloroplast chromosome	GO:0042648
prothylakoid	GO:0042649
prothylakoid membrane	GO:0042650
thylakoid membrane	GO:0042651
respiratory chain complex I\, peripheral segment (sensu Eukarya)	GO:0042652
respiratory chain complex I\, membrane segment (sensu Eukarya)	GO:0042653
succinate-CoA ligase complex	GO:0042709
chromatophore	GO:0042716
chromatophore membrane	GO:0042717
yolk granule	GO:0042718
mitochondrial intermembrane space protein transporter complex	GO:0042719
mitochondrial inner membrane peptidase complex	GO:0042720
mitochondrial inner membrane protein insertion complex	GO:0042721
DASH complex	GO:0042729
presynaptic membrane	GO:0042734
protein body	GO:0042735
giant axon	GO:0042757
immature spore	GO:0042763
prospore	GO:0042764
GPI-anchor transamidase complex	GO:0042765
polysomal ribosome	GO:0042788
central vacuole	GO:0042807
MHC class I peptide loading complex	GO:0042824
TAP complex	GO:0042825
platelet dense granule	GO:0042827
chitosome	GO:0045009
mitochondrial degradosome	GO:0045025
interleukin-18 receptor complex	GO:0045092
keratin filament	GO:0045095
type III intermediate filament	GO:0045098
intermediate filament cytoskeleton	GO:0045111
pronucleus	GO:0045120
lipid raft	GO:0045121
myosin I	GO:0045160
fusome	GO:0045169
spectrosome	GO:0045170
intercellular bridge	GO:0045171
ring canal (sensu Drosophila)	GO:0045172
apical part of cell	GO:0045177
basal part of cell	GO:0045178
apical cortex	GO:0045179
basal cortex	GO:0045180
synaptic junction	GO:0045202
integral to external outer membrane (sensu Gram-negative Bacteria)	GO:0045203
postsynaptic membrane	GO:0045211
TCA cycle enzyme complex	GO:0045239
alpha-ketoglutarate dehydrogenase complex	GO:0045240
alpha-ketoglutarate dehydrogenase complex (sensu Bacteria)	GO:0045241
isocitrate dehydrogenase complex (NAD+)	GO:0045242
isocitrate dehydrogenase complex (NAD+) (sensu Bacteria)	GO:0045243
succinate-CoA ligase complex (GDP-forming)	GO:0045244
TCA cycle enzyme complex (sensu Bacteria)	GO:0045246
electron transfer flavoprotein complex (sensu Bacteria)	GO:0045247
oxoglutarate dehydrogenase complex (sensu Bacteria)	GO:0045248
pyruvate dehydrogenase (lipoamide) phosphatase (sensu Bacteria)	GO:0045249
pyruvate dehydrogenase complex (sensu Bacteria)	GO:0045250
electron transfer flavoprotein complex	GO:0045251
oxoglutarate dehydrogenase complex	GO:0045252
pyruvate dehydrogenase (lipoamide) phosphatase complex	GO:0045253
pyruvate dehydrogenase complex	GO:0045254
hydrogen-translocating F-type ATPase complex	GO:0045255
hydrogen-translocating F-type ATPase complex (sensu Bacteria)	GO:0045256
succinate dehydrogenase complex (ubiquinone)	GO:0045257
succinate dehydrogenase complex (ubiquinone) (sensu Bacteria)	GO:0045258
proton-transporting ATP synthase complex	GO:0045259
proton-transporting ATP synthase complex (sensu Bacteria)	GO:0045260
proton-transporting ATP synthase complex\, catalytic core F(1)	GO:0045261
proton-transporting ATP synthase complex\, catalytic core F(1) (sensu Bacteria)	GO:0045262
proton-transporting ATP synthase complex\, coupling factor F(o)	GO:0045263
proton-transporting ATP synthase complex\, coupling factor F(o) (sensu Bacteria)	GO:0045264
proton-transporting ATP synthase\, stator stalk	GO:0045265
proton-transporting ATP synthase\, stator stalk (sensu Bacteria)	GO:0045266
proton-transporting ATP synthase\, catalytic core	GO:0045267
proton-transporting ATP synthase\, catalytic core (sensu Bacteria)	GO:0045268
proton-transporting ATP synthase\, central stalk	GO:0045269
proton-transporting ATP synthase\, central stalk (sensu Bacteria)	GO:0045270
respiratory chain complex I	GO:0045271
respiratory chain complex I (sensu Bacteria)	GO:0045272
respiratory chain complex II	GO:0045273
respiratory chain complex II (sensu Bacteria)	GO:0045274
respiratory chain complex III	GO:0045275
respiratory chain complex III (sensu Bacteria)	GO:0045276
respiratory chain complex IV	GO:0045277
respiratory chain complex IV (sensu Bacteria)	GO:0045278
NADH dehydrogenase complex (ubiquinone)	GO:0045279
NADH dehydrogenase complex (ubiquinone) (sensu Bacteria)	GO:0045280
succinate dehydrogenase complex	GO:0045281
succinate dehydrogenase complex (sensu Bacteria)	GO:0045282
fumarate reductase complex	GO:0045283
fumarate reductase complex (sensu Bacteria)	GO:0045284
ubiquinol-cytochrome c reductase complex	GO:0045285
ubiquinol-cytochrome c reductase complex (sensu Bacteria)	GO:0045286
mRNA editing complex	GO:0045293
tubulin	GO:0045298
hydrogen-translocating F-type ATPase complex (sensu Viridiplantae)	GO:0045320
interleukin-1 receptor complex	GO:0045323
clathrin-coated endocytic vesicle	GO:0045334
phagocytic vesicle	GO:0045335
clathrin-coated phagocytic vesicle	GO:0045336
pole plasm	GO:0045495
dosage compensation complex	GO:0046536
U4/U6 x U5 tri-snRNP complex	GO:0046540
intercellular canaliculus	GO:0046581
lysosomal hydrogen-transporting ATPase V0 domain	GO:0046610
lysosomal hydrogen-translocating V-type ATPase complex	GO:0046611
lysosomal hydrogen-transporting ATPase V1 domain	GO:0046612
extrinsic to plasma membrane\, GPI-anchored	GO:0046658
intracellular canaliculus	GO:0046691
SLIK (SAGA-like) complex	GO:0046695
lipopolysaccharide receptor complex	GO:0046696
capsomere	GO:0046727
viral capsid (sensu Retroviridae)	GO:0046728
viral procapsid	GO:0046729
viral portal complex	GO:0046798
viral scaffold	GO:0046806
assemblon	GO:0046808
replication compartment	GO:0046809
virion transport vesicle	GO:0046816
dense nuclear body	GO:0046818
extrachromosomal DNA	GO:0046821
chlorosome	GO:0046858
hydrogenosomal membrane	GO:0046859
glycosome membrane	GO:0046860
glyoxysomal membrane	GO:0046861
chromoplast membrane	GO:0046862
mesosome	GO:0046868
pore complex	GO:0046930
apoplast	GO:0048046
activin receptor complex	GO:0048179
activin complex	GO:0048180
activin A complex	GO:0048181
activin B complex	GO:0048182
activin AB complex	GO:0048183
COMPASS complex	GO:0048188
Lid2 complex	GO:0048189
