(S)-2-hydroxy-acid oxidase	SF000138
beta-galactoside alpha-2,6-sialyltransferase	SF005556
beta-galactoside-binding lectin	SF002691
beta-glucuronidase	SF001086
beta-hexosaminidase	SF001093
beta-secretase	SF001188
beta-thromboglobulin	SF002522
biliary glycoprotein	SF002013
bimE protein	SF003360
black beetle virus coat protein	SF004036
black beetle virus hypothetical 8K protein	SF004039
bone sialoprotein	SF002579
bood POZ containing protein	SF036330
bovine H+-transporting ATP synthase epsilon chain	SF001277
bovine brain-specific protein, 25K	SF008146
bovine glycosylation-inhibiting factor	SF015591
bovine polyA binding protein II	SF005206
bovine uroplakin III	SF011874
box A-binding factor	SF003030
brain finger protein	SF018511
brain neuron cytoplasmic protein 1	SF002383
brain neuron cytoplasmic protein 2	SF002384
branched-chain alpha-keto acid dehydrogenase kinase	SF000718
branched-chain-amino-acid transaminase BAT1	SF006468
breast cancer tumor suppressor BRCA2	SF002397
breast/ovarian cancer susceptibility protein BRCA1	SF001734
brush border myosin heavy chain I	SF002334
cAMP response element-binding protein 1	SF003153
cAMP-dependent protein kinase inhibitor	SF001667
cAMP-dependent protein kinase regulatory chain	SF000548
cAMP-responsive element-binding transcription activator	SF019616
cGMP-dependent protein kinase	SF000559
cadherin	SF002504
caffeoyl-CoA 3-O-methyltransferase	SF005841
calcineurin catalytic chain	SF000911
calcitonin	SF001830
calcium channel alpha-2 chain	SF002446
calcium-dependent actin-binding protein	SF017528
calcium-dependent protein kinase	SF000592
caldesmon	SF002339
calmodulin	SF002350
calnexin	SF002357
calpain inhibitor	SF002354
calpain large chain	SF001184
calpain small chain	SF001186
calponin	SF002344
calreticulin	SF002356
calretinin	SF015393
calsequestrin	SF002349
carbamoyl-phosphate synthase (ammonia)	SF001377
carbonate dehydratase	SF001392
carboxypeptidase	SF001128
carcinoembryonic antigen	SF002014
carcinoembryonic antigen-related protein rnCGM1	SF002015
carnitine O-acetyltransferase	SF000430
catalase	SF000296
catechol oxidase A2	SF005672
cathelin	SF001637
caveolin	SF009396
cecropin	SF001893
cell division control protein CDC23	SF001751
cell division control protein CDC43	SF001766
cell division control protein CKS1	SF000659
cell division protein MJ0174	SF005920
cell surface antigen 4F2 heavy chain	SF002024
cell surface glycoprotein CD11b	SF002497
cell surface glycoprotein HT7	SF001983
cellular nucleic acid-binding protein	SF005228
cellular retinaldehyde-binding protein	SF002515
cellular tumor antigen p53	SF002089
centromere protein E	SF002320
chaoptin	SF002492
chaperonin groEL	SF003112
chaperonin groES	SF003110
choline-phosphate cytidylyltransferase	SF000809
cholinesterase	SF000871
chordin	SF002496
chorion protein S16	SF002660
chromatin remodelling complex ATPase chain ISWI	SF036348
chromogranin A	SF001811
chromogranin B precursor	SF001812
chromosome segregation protein SMC1	SF005251
ciliary neurotrophic factor	SF001799
ciliary neurotrophic factor receptor	SF001958
class I histocompatibility antigen	SF001990
class II histocompatibility antigen	SF001991
class II histocompatibility antigen-associated gamma chain	SF001992
clathrin coat assembly protein AP50	SF005992
clathrin heavy chain	SF002290
clathrin light chain	SF002289
clusterin	SF002368
coagulation factor V	SF000354
coagulation factor VIII	SF000353
coagulation factor X	SF001143
coagulation factor XI	SF001142
coagulation factor XII	SF001146
coagulation factor XIII chain b	SF002487
coatomer complex beta chain	SF005727
coatomer complex beta' chain	SF005567
cobalamin-dependent methionine synthase	SF000381
cofilin	SF002343
colipase	SF002415
collagen alpha 1(I) chain	SF002255
collagen alpha 1(IV) chain	SF002258
collagen alpha 1(V) chain	SF002257
collagen alpha 1(VI) chain	SF002259
collagen alpha 1(VIII) chain	SF002261
collagen alpha 1(XIV) chain	SF002263
collagen alpha 2(I) chain	SF002256
collagen alpha 3(VI) chain	SF002260
common salivary protein 1	SF005786
complement C2	SF001154
complement C3d/Epstein-Barr virus receptor	SF002484
complement C9	SF002481
complement c6	SF002480
complement factor H	SF002482
complement subcomponent C1q chain A	SF002477
complement subcomponent C1r	SF001155
conserved hypothetical protein HI1013	SF006241
conserved hypothetical protein MJ1034	SF006433
conserved hypothetical protein YDR190c	SF006343
conserved hypothetical protein YDR397c	SF005405
conserved hypothetical protein YGL087c	SF006344
conserved hypothetical protein YHR110w	SF005359
conserved hypothetical protein YJL068c	SF006104
conserved hypothetical protein YKL113c	SF005415
conserved probable membrane protein YIL003w	SF005364
contactin	SF005452
coproporphyrinogen oxidase	SF000166
corticoliberin-binding protein	SF009279
corticoliberin-endorpholiberin	SF001792
corticotropin-lipotropin	SF001816
coupling factor 6	SF002455
creatine kinase	SF000730
crk transforming protein	SF001740
cuticle protein LCP1	SF002653
cyclic nucleotide-gated channel	SF002403
cyclic-nucleotide phosphodiesterase, cGMP-inhibited	SF006072
cyclin	SF001771
cyclin-dependent kinase inhibitor p19	SF036346
cystathionine beta-synthase	SF001414
cystatin	SF001638
cysteine string protein	SF025374
cysteine-rich intestinal protein	SF002561
cysteine-rich secretory protein 1	SF005865
cystic fibrosis transmembrane conductance regulator	SF002777
cytidine deaminase	SF001250
cytochrome b	SF000030
cytochrome b5	SF000038
cytochrome c	SF000001
cytochrome c1 heme protein	SF000010
cytochrome-b5 reductase	SF000206
cytochrome-c oxidase chain I	SF000265
cytochrome-c oxidase chain II	SF000269
cytochrome-c oxidase chain III	SF000271
cytochrome-c oxidase chain IV	SF000272
cytochrome-c oxidase chain VIII	SF000286
cytochrome-c oxidase chain VIIb	SF000284
cytochrome-c oxidase chain VIIc	SF000285
cytochrome-c oxidase chain VIc	SF000279
cytokine-inducible protein CIS	SF006354
cytoskeletal keratin	SF002282
cytosol aminopeptidase	SF001116
cytosolic phospholipase A2	SF000867
dTMP kinase	SF000737
dbl transforming protein	SF001717
decay-accelerating factor	SF002489
decorin	SF002490
delta-4 protein	SF036324
dematin	SF002340
deoxyribodipyrimidine photo-lyase	SF001387
deoxyribonuclease I	SF000988
dihydrolipoamide acetyltransferase	SF000432
dihydrolipoamide dehydrogenase	SF000210
dihydroorotate oxidase	SF000164
dihydropteridine reductase	SF000240
dimethylaniline monooxygenase (N-oxide-forming)	SF000332
dipeptidyl-peptidase IV	SF001125
discs-large tumor suppressor	SF001741
dolichyl-phosphate-mannose-protein mannosyltransferase	SF005582
dorsal protein	SF001716
dorsal-ventral patterning protein tolloid	SF001200
double-stranded RNA-specific adenosine deaminase	SF001248
drosocin precursor	SF001895
dual specificity phosphoprotein phosphatase 1	SF000939
dual specificity phosphoprotein phosphatase DUSP3	SF000940
dynamin-related protein VPS1	SF005108
dynein heavy chain, ciliary	SF002308
dynein heavy chain, cytosolic	SF002307
dynein light chain	SF005695
dystrophin	SF002341
eclosion hormone	SF001859
ecotropic retrovirus receptor protein	SF006060
elastin	SF002266
electron transfer flavoprotein alpha chain	SF000089
electron transfer flavoprotein beta chain	SF000090
elk-1 transforming protein	SF001704
elongin C	SF005495
emopamil-binding protein	SF005454
endopeptidase Clp chain P	SF001169
endothelial monocyte-activating protein II	SF005381
endothelin	SF001632
endothelin receptor B	SF001842
endozepine	SF002411
endozepine-related protein	SF002412
engrailed homeotic protein	SF002618
enolase	SF001400
enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	SF001408
enteropeptidase	SF001138
eosinophil major basic protein precursor	SF002423
ependymin	SF005441
epidermal growth factor precursor	SF001778
epidermal growth factor receptor	SF000619
epidermal growth factor receptor kinase substrate	SF018298
epithelial glycoprotein antigen GA733	SF002018
epoxide hydrolase	SF001112
erythrocyte band 7 integral membrane protein	SF005651
erythropoietin	SF001951
erythropoietin receptor	SF001959
estradiol 17beta-dehydrogenase	SF000095
estrogen receptor	SF002527
eukaryotic adenosylmethionine decarboxylase	SF001355
eukaryotic type I DNA topoisomerase	SF001509
eukaryotic type II DNA topoisomerase	SF001510
excision repair protein	SF003329
exodeoxyribonuclease III	SF000978
ezrin	SF002305
farnesyl-diphosphate farnesyltransferase	SF000506
farnesyl-pyrophosphate synthetase	SF000496
ferredoxin [2Fe-2S]	SF000066
ferritin	SF002559
ferrochelatase	SF001457
fibrillin 1	SF036312
fibrinogen alpha chain	SF002375
fibrinogen beta chain	SF002377
fibrinogen gamma chain	SF002378
fibroblast growth factor	SF001783
fibromodulin	SF005438
fibronectin	SF002499
fibulin-1	SF036313
fibulin-2	SF036311
fission yeast pyridoxine 4-dehydrogenase	SF005748
folate-binding protein	SF002413
follistatin	SF002278
fos transforming protein	SF001719
fragile X mental retardation syndrome protein	SF002108
fringe protein	SF010385
fructose-bisphosphatase	SF000904
fructose-bisphosphate aldolase	SF001358
fruit fly DHR39-short protein	SF002532
fruit fly Rot(57) protein	SF008123
fruit fly T48 protein	SF008113
fruit fly boule protein	SF002029
fruit fly calcium-activated potassium channel slo	SF015660
fruit fly diacylglycerol kinase	SF000716
fruit fly env polyprotein	SF003841
fruit fly frizzled protein	SF006696
fruit fly gag polyprotein	SF003833
fruit fly homeotic protein goosecoid	SF002620
fruit fly hypothetical protein	SF008114
fruit fly hypothetical protein 63B12.9	SF008115
fruit fly hypothetical protein EG_115C2.5	SF008117
fruit fly hypothetical protein EG_171D11.6	SF008118
fruit fly hypothetical protein EG_34F3.4	SF008119
fruit fly hypothetical protein EG_95B7.8	SF008120
fruit fly hypothetical protein EG_95B7.9	SF008121
fruit fly hypothetical protein EG_EG0003.5	SF008122
fruit fly inger protein neuralized	SF016554
fruit fly neuronal phospholipase C	SF000957
fruit fly protein TU-36B	SF000234
fruit fly rough deal protein	SF008124
fruit fly serendipity (sry) locus alpha protein	SF008125
fruit fly slit protein	SF036317
fruit fly testis-specific protein	SF002545
fruit fly tipE protein	SF008127
fruit fly white protein	SF002789
fumarate hydratase	SF001395
fumarate reductase flavoprotein	SF000171
fumarate reductase iron-sulfur protein	SF000176
fushi tarazu segmentation protein	SF002617
galactokinase	SF000529
galactoside 3(4)-L-fucosyltransferase	SF005726
galanin	SF001850
gamma-aminobutyric acid transporter	SF002444
gamma-casein	SF002373
gamma-glutamyltransferase	SF000457
gap junction protein	SF002292
garden pea SAR DNA-binding protein	SF006694
gastric intrinsic factor	SF002414
gastrin	SF001848
gastrin-releasing peptide	SF001844
gelatinase A	SF001193
gelsolin	SF002346
giantin	SF002434
gli transforming protein	SF003032
glia maturation factor beta	SF001788
globin	SF002025
glucagon	SF001838
glucagon receptor	SF005503
glucocorticoid receptor	SF002529
glucokinase regulator	SF001668
glucose transport protein	SF005322
glucose-6-phosphatase	SF000905
glucose-6-phosphate dehydrogenase	SF000110
glucose-6-phosphate isomerase	SF001482
glucosylceramidase	SF001089
glucuronosyltransferase	SF005678
glutamate dehydrogenase (NAD(P)+)	SF000185
glutamate receptor	SF002438
glutamate-ammonia ligase	SF001556
glutamate/aspartate transport protein	SF005475
glutamine-fructose-6-phosphate aminotransferase (isomerizing)	SF000520
glutaredoxin	SF000078
glutathione peroxidase	SF000303
glutathione synthase	SF001558
glutathione transferase	SF000503
glyceraldehyde-3-phosphate dehydrogenase	SF000149
glycerol facilitator protein	SF003201
glycerol-3-phosphate dehydrogenase	SF000114
glycine N-methyltransferase	SF000385
glycine cleavage system protein H	SF002454
glycine hydroxymethyltransferase	SF000412
glycine-rich RNA-binding protein	SF002080
glycine-rich cell wall structural protein 1	SF002679
glycogenin	SF000465
glycolate oxidase chain glcD	SF006165
glycophorin	SF002466
glycoprotein hormone receptor	SF002408
glycoprotein hormones alpha chain	SF001823
glyoxalase	SF005457
glypican	SF009280
gonadoliberin	SF001794
granulin	SF002562
granulocyte-macrophage colony-stimulating factor	SF001947
growth arrest-specific protein	SF005809
guanine nucleotide-binding protein 1	SF005552
guanylate kinase	SF000736
guanylin	SF001849
haptoglobin	SF001137
heat shock protein 70	SF002582
heat shock protein 90	SF002583
heat shock protein dnaJ	SF002585
helix-destabilizing protein	SF002072
heme oxygenase (decyclizing)	SF000343
hemolysin III yplQ	SF006313
hemopexin	SF002551
heparin-binding EGF-like growth factor	SF001780
hepatic lectin	SF002424
hepatocyte growth factor	SF001152
hepatocyte growth factor receptor	SF000617
hepsin	SF001139
herpesvirus DNA-directed DNA polymerase	SF000789
herpesvirus complement control protein	SF002486
herpesvirus ribonucleoside-diphosphate reductase large chain	SF000356
herpesvirus ribonucleoside-diphosphate reductase small chain	SF000355
hexokinase	SF000526
histatin precursor	SF002566
histidine ammonia-lyase	SF001436
histidine triad protein FHIT	SF000714
histidine-rich glycoprotein	SF002475
histidine-tRNA ligase	SF001549
histo-blood group 1 transferase	SF005985
histone H1	SF002048
histone H2A	SF002049
histone H2B	SF002050
histone H3	SF002051
histone H4	SF002052
homeotic protein AREC3	SF002648
homeotic protein CDP	SF002616
homeotic protein Hox A5	SF002612
homeotic protein Hox A7	SF002606
homeotic protein Hox B1	SF002608
homeotic protein Hox B2	SF002610
homeotic protein Hox B3	SF002611
homeotic protein Hox C6	SF002607
homeotic protein Hox D4	SF002609
homeotic protein apterous	SF002646
homeotic protein bicoid	SF002614
homeotic protein cut	SF002615
homeotic protein goosecoid	SF002619
homeotic protein lim-1	SF002643
homeotic protein lim-3	SF002644
homeotic protein sal	SF002649
hormone-sensitive lipase	SF000864
human 12.8K DNA-binding protein	SF008888
human 26S proteasome regulatory complex chain p31	SF010382
human 26S proteasome regulatory complex chain p55	SF006839
human 32.9K leucine-rich protein (chromosome 21)	SF010076
human 36.3K zipper-containing protein	SF011129
human 4-hydroxyphenylpyruvate dioxygenase	SF009283
human 5-formyltetrahydrofolate cyclo-ligase	SF006806
human 6-phosphofructokinase	SF000533
human ALR protein	SF010337
human B-cell antigen CD19	SF016630
human B-cell maturation factor	SF011859
human CAGR1 protein	SF008887
human DAZ protein	SF002028
human DNA alkylation damage repair protien ABH	SF003062
human DNA binding protein RFX2	SF016219
human DNA helicase RECQL	SF005196
human DNA repair protein RAD52	SF009417
human DNA-damage-inducible protein gadd45	SF010369
human DNA-directed DNA polymerase delta regulatory chain	SF000791
human DNA-directed RNA polymerase II largest chain	SF000756
human E1B 19K/Bcl-2-interacting protein Nip3	SF010075
human EGF-like protein CR1 protein	SF036301
human ErbB kinase activator alpha, brain and thymus	SF036337
human FK506-binding protein FKBP51	SF001472
human GDP dissociation inhibitor XAP-4	SF019647
human Max-interacting protein 1	SF015841
human NADH dehydrogenase (ubiquinone) CI-B14 chain	SF006643
human NADH dehydrogenase (ubiquinone) chain NDUFB8	SF009288
human Na+/Ca2+-exchanging protein	SF015579
human Nijmegen breakage syndrome protein NBS1	SF011869
human PML protein	SF018276
human PML protein, splice form 1	SF018277
human PML-1 protein	SF015640
human RET oncogene fusion partner RFG	SF008140
human RNA-binding protein type 1	SF002085
human RP protein	SF011871
human S-phase kinase-associated protein 1A	SF028729
human SA protein	SF006605
human SH3 binding glutamate-rich protein	SF008142
human SIL protein	SF008143
human SNF2alpha protein	SF036309
human SOX3 protein	SF005204
human SURF1 protein	SF016320
human T-cluster binding protein	SF002079
human T-complex protein 10A	SF019662
human TAR DNA-binding protein-43	SF002103
human TCTA protein	SF009935
human UDPglucose-glycogen glucosyltransferase	SF015715
human acetyl-CoA carboxylase	SF001591
human adenylate cyclase	SF001445
human alpha,alpha-trehalase	SF006837
human alpha-N-acetylglucosaminidase	SF001091
human amiloride-sensitive sodium channel protein	SF006832
human anterior gradient-2	SF010393
human autoantigen Ge-1	SF015158
human autocrine motility factor receptor	SF011858
human biotinidase	SF011861
human brain and reproductive organ-expressed protein	SF007150
human brain-specific membrane anchor protein	SF019781
human carboxypeptidase H	SF009270
human casein kinase II beta chain	SF009385
human cell adhesion protein CD44	SF015569
human chloride channel ClC-ka	SF015889
human conserved hypothetical protein DKFZp566E144.1	SF010370
human copper-transporting ATPase	SF001299
human cysteine dioxygenase type I	SF009384
human cytochrome P450 CYP11B1	SF000046
human cytochrome P450 CYP19	SF000049
human cytochrome P450 CYP2D6	SF000045
human cytochrome P450 CYP3A5	SF000051
human cytochrome P450 CYP4B1	SF000050
human cytochrome P450 CYP51	SF000048
human cytochrome P450 CYP7A1	SF000047
human deoxycytidine kinase	SF000704
human diacylglycerol kinase	SF000715
human dynamin II	SF005109
human early endosome antigen 1	SF002464
human erythrocyte membrane protein RhD	SF017968
human extended splice form fibrinogen alpha chain	SF029223
human fas-activated serine/threonine kinase	SF011862
human ferredoxin-NADP+ reductase	SF000362
human fibrillarin	SF006540
human gene 2.19 protein	SF008131
human giant larvae tumor suppressor homolog	SF009275
human giant protein p619	SF010341
human glioma protein RIG	SF008141
human glutamate decarboxylase	SF001333
human glutamate-cysteine ligase heavy chain	SF009267
human glutamate-cysteine ligase regulatory light chain	SF009268
human glutamine-tRNA ligase	SF001542
human glutaminyl-peptide cyclotransferase	SF009389
human glycine-tRNA ligase	SF001533
human glycoprotein 6-alpha-L-fucosyltransferase	SF000472
human guanidinoacetate N-methyltransferase	SF009285
human heregulin	SF036335
human hexokinase I	SF000527
human histidine decarboxylase	SF001343
human histidine-tRNA ligase	SF025370
human hydroxymethylglutaryl-CoA reductase (NADPH2)	SF036360
human hypothetical 13K protein A	SF008633
human hypothetical 21.5K G protein-coupled receptor	SF008889
human hypothetical protein DBCCR1	SF008132
human hypothetical protein DKFZp434A073.1	SF008133
human hypothetical protein DKFZp434A1727.1	SF011261
human hypothetical protein DKFZp434B0335.1	SF014267
human hypothetical protein DKFZp434H052.1	SF011262
human hypothetical protein DKFZp434H2215.1	SF011303
human hypothetical protein DKFZp434I0118.1	SF011195
human hypothetical protein DKFZp434J212.1	SF011197
human hypothetical protein DKFZp434K0423.1	SF011196
human hypothetical protein DKFZp434K1210.1	SF011192
human hypothetical protein DKFZp564A0723.1	SF014268
human hypothetical protein DKFZp564B147.1	SF014269
human hypothetical protein DKFZp564D166.1	SF008135
human hypothetical protein DKFZp566C243.1	SF010015
human hypothetical protein DKFZp586A011.1	SF014270
human hypothetical protein DKFZp586B0519.1	SF008136
human hypothetical protein DKFZp586L0724.1	SF014271
human hypothetical protein DKFZp761K1423.1	SF015527
human hypothetical protein DKFZp761K1824.1	SF011191
human hypothetical protein DKFZp762L137.1	SF015385
human hypothetical protein KIAA057	SF014272
human hypothetical protein KIAA0615	SF007153
human hypothetical protein f25965_2	SF008137
human inositol-polyphosphate 5-phosphatase	SF009412
human insulin activator factor	SF011863
human ionizing radiation resistance conferring protein	SF008138
human long-chain-fatty-acid-CoA ligase	SF001551
human lymphocyte phosphatase-associated phosphoprotein	SF009325
human mannosyl-oligosaccharide 1,2-alpha-mannosidase	SF017531
human melanoma antigen MART-1	SF011867
human melanoma antigen p15	SF008139
human melanoma-derived growth regulatory protein MIA	SF011868
human membrane-associated protein HEM-1	SF009317
human methionyl aminopeptidase	SF001122
human methylmalonyl-CoA mutase	SF001497
human microfibril-associated glycoprotein MFAP2	SF009406
human modifier protein 1	SF009341
human multicatalytic endopeptidase complex beta chain C7	SF006673
human multidrug resistance protein cMOAT2	SF002775
human multidrug resistance protein, short type	SF002776
human multifunctional amino acid-tRNA ligase	SF001538
human myogenin	SF019551
human nuclear cap-binding protein	SF009413
human nuclear factor I	SF018476
human p53-binding protein mdm2	SF006748
human peptidylprolyl isomerase A	SF001475
human peptidylprolyl isomerase FKPB3	SF001474
human phosphatidylinositol transfer protein	SF015479
human phosphodiesterase I / nucleotide pyrophosphatase 4	SF001353
human phosphoinositide-specific phospholipase C	SF000949
human phosphoprotein phosphatase 1A	SF018231
human polycystic kidney disease protein 1	SF010345
human potassium channel-activating protein	SF009444
human procollagen-lysine 5-dioxygenase	SF000321
human properdin precursor	SF029232
human prostaglandin-endoperoxide synthase	SF000342
human protein kinase clk1	SF000572
human protein p84	SF011870
human protein-tyrosine kinase abl	SF000633
human protein-tyrosine-phosphatase cdc25A	SF000918
human protein-tyrosine-phosphatase cdc25C	SF000917
human replication licensing factor MCM3	SF001755
human retinoblastoma binding protein 1	SF002393
human retinoblastoma binding protein 2	SF002394
human rho GDP dissociation inhibitor	SF015597
human ryudocan	SF015644
human semaphorin F	SF029252
human serine/threonine-specific protein kinase STK2	SF000578
human signal sequence receptor alpha chain	SF009276
human signal transducer and transcription activator STAT5A	SF015568
human skeletal muscle nebulin	SF010333
human splicing factor SF3a 120K chain	SF005099
human testicular protein TEGT	SF010374
human transcription elongation factor IIS	SF006704
human transcription factor 3	SF001708
human transcription factor BACH1	SF017833
human transcription factor IIIC2 beta chain	SF011872
human transcription factor NF-kappa-B2	SF036310
human transcription factor SL1	SF015160
human transcription factor TFC11	SF016631
human transcription initiation factor IIA gamma chain	SF009415
human transcription initiation factor IID	SF003044
human transcription regulator MAD-4	SF009338
human translation initiation factor eIF-2 beta chain	SF006552
human translation initiation factor eIF-4B	SF003576
human tyrosine kinase A6	SF010380
human ubiquitin thiolesterase	SF009387
human ubiquitin-protein ligase E2	SF001567
human vacuolar protein-sorting protein VPS29 homolog	SF000886
human voltage-dependent calcium channel beta chain	SF015600
hydroxymethylglutaryl-CoA lyase	SF001367
hydroxymethylglutaryl-CoA synthase	SF001368
hydroxyproline-rich glycoprotein	SF005224
hypothetical protein DKFZp434E1335.1	SF002299
hypothetical protein DKFZp586G0522.1	SF010400
hypothetical protein HI0432	SF004680
hypothetical protein HI0719	SF004689
hypothetical protein YBL078c	SF005455
hypothetical protein YHR162w	SF005414
hypothetical protein YJL074c	SF005719
hypothetical protein YKL215c	SF004940
hypothetical protein b2690	SF004758
hypoxanthine phosphoribosyltransferase	SF000480
immunoglobulin C region	SF001988
immunoglobulin V region	SF001974
indoleamine 2,3-dioxygenase	SF006399
inhibin	SF001787
inosamine-phosphate amidinotransferase	SF000417
inositol-trisphosphate receptor	SF002433
insect vitellogenin	SF002656
insulin	SF001847
insulin receptor	SF000620
insulin receptor substrate IRS-1	SF001737
insulin-like growth factor binding protein 1	SF001969
insulysin	SF001211
int-1 transforming protein	SF001784
integrin alpha-2b chain	SF005666
integrin alpha-4 chain	SF005614
integrin beta chain	SF002512
integrin beta-4 chain	SF002513
inter-alpha-trypsin inhibitor complex component II	SF002517
intercellular adhesion molecule	SF002510
interferon alpha	SF001934
interferon gamma	SF001936
interferon gamma receptor	SF001953
interferon-induced 56K protein	SF005680
interferon-induced double-stranded RNA-activated protein kinase inhibitor	SF029258
interleukin-1	SF001937
interleukin-1 receptor type I	SF005698
interleukin-10	SF003542
interleukin-10 receptor IL10R	SF018551
interleukin-11	SF001944
interleukin-13	SF001945
interleukin-15	SF001946
interleukin-2	SF001938
interleukin-2 receptor alpha chain	SF001954
interleukin-2 receptor beta chain	SF016940
interleukin-2 receptor gamma chain	SF001955
interleukin-3	SF001939
interleukin-3 receptor beta chain	SF001956
interleukin-4	SF001941
interleukin-4 receptor	SF001957
interleukin-5	SF001940
interleukin-6	SF001935
interleukin-7	SF001942
interleukin-7 receptor	SF001960
interleukin-9	SF001943
interphotoreceptor retinoid-binding protein	SF002391
interstitial collagenase	SF001191
intrinsic factor-B12 receptor cubilin	SF036316
involucrin	SF002252
iron-responsive element-binding protein	SF001417
isoleucine-tRNA ligase	SF001524
jun transforming protein	SF001718
kappa-casein	SF002374
keratin high-sulfur matrix protein IIIA	SF002248
kexin	SF001179
kinase-related protein ros	SF000638
kinase-related transforming protein	SF000564
kinesin heavy chain	SF002309
kinesin-associated protein KAP3	SF002325
kinesin-related protein Eg5	SF002311
kinesin-related protein KIF1B	SF002322
kinesin-related protein KIF2	SF002323
kinesin-related protein KIF3	SF002317
kinesin-related protein KLP61F	SF002316
kinesin-related protein KLPA	SF002324
kinesin-related protein nodA	SF002318
kinesin-related protein unc-104	SF002321
kininogen	SF002474
lactose-binding lectin L-36	SF006349
laminin alpha-1 chain	SF002272
laminin alpha-4 chain	SF002273
laminin beta-1 chain	SF002271
lens fiber membrane major intrinsic protein	SF002276
leptin	SF001837
leukemia inhibitory factor	SF001952
leukocyte antigen-related protein	SF002002
leukocyte common antigen	SF002004
leukosialin	SF001994
leukotriene-A4 hydrolase	SF001113
lipocalin	SF002514
lipopolysaccharide-binding protein	SF002417
long-chain-fatty-acid beta-oxidation multienzyme complex beta chain	SF006271
loricrin	SF002253
low density lipoprotein receptor-related protein	SF036314
lyl-1 protein	SF005458
lymphoid-restricted membrane protein Jaw1	SF018564
lymphoid-specific interferon regulatory factor	SF005710
lymphotactin	SF002469
lysine-tRNA ligase	SF001525
lysosomal alpha-glucosidase	SF001077
lysosomal integral membrane protein II	SF002463
lysosome-associated membrane protein	SF002462
lysozyme c	SF001064
macrophage colony-stimulating factor	SF001948
macrophage colony-stimulating factor 1 receptor	SF000615
macrophage inflammatory protein	SF001950
macrophage scavenger receptor	SF001986
maf transforming protein	SF001670
major prion protein	SF002380
malate dehydrogenase (oxaloacetate-decarboxylating)	SF000106
male accessory gland secretory protein 26Aa	SF002543
male accessory gland secretory protein 26Ab	SF002544
mammalian acid phosphatase	SF000896
mammalian alpha-amylase	SF001019
mammalian cytochrome-c oxidase chain VIIa	SF000281
mammalian cytochrome-c oxidase chain VIa	SF000277
mammalian cytochrome-c oxidase chain VIb	SF000278
mammalian cytochrome-c oxidase chain Va	SF000275
mammalian cytochrome-c oxidase chain Vb	SF000276
mammalian defensin	SF001875
mammalian peptidyl-dipeptidase A	SF001126
mammalian retrovirus gag polyprotein I	SF003827
mammalian stearoyl-CoA desaturase	SF000344
mammalian tryptophan-tRNA ligase	SF001519
mammalian tyrosine aminotransferase	SF000517
mannose 6-phosphate receptor, cation-dependent	SF002436
mannose 6-phosphate receptor, cation-independent	SF002437
mannose-binding lectin	SF002428
mas transforming protein	SF001712
maternal effect protein	SF002087
matrilysin	SF001192
matrix glycoprotein SC1	SF002574
melanin-concentrating hormone	SF001817
melanocortin receptor	SF005524
membrane alanyl aminopeptidase	SF005502
membrane dipeptidase	SF001124
membrane glycoprotein 2	SF002557
membrane-bound guanylate cyclase	SF001451
meprin A	SF001196
meta-vinculin	SF002293
metabotropic glutamate receptor 4	SF005608
metalloproteinase inhibitor	SF001636
metallothionein	SF002564
methionine adenosyltransferase	SF000497
methylated-DNA-protein-cysteine S-methyltransferase	SF000407
methylenetetrahydrofolate dehydrogenase (NAD+)	SF000200
mevalonate kinase	SF000546
microtubule-associated protein MAP1B	SF002288
microtubule-associated protein MAP2b	SF002286
microtubule-associated protein tau	SF002287
milk fat globule protein	SF002506
mismatch repair protein MLH1	SF006464
mitochondrial import protein, 27K	SF003350
mitochondrial inner membrane protein TIM17	SF006830
mitochondrial processing peptidase alpha chain	SF001210
mitotic feedback control protein	SF005984
mixed-lineage protein kinase 2	SF000556
mixed-lineage protein kinase 3	SF000557
molecular chaperone t-complex-type	SF002584
monocarbosylate transporter MCT2	SF006350
monocyte surface glycoprotein CD14	SF002017
monophenol monooxygenase	SF000341
motilin	SF001846
mouse 1-acylglycerol-3-phosphate O-acyltransferase	SF015813
mouse 8-oxoguanine DNA-glycosylase	SF016239
mouse Acl protein	SF008149
mouse DNA primase 54K chain	SF009449
mouse GTP-binding protein IRG-47	SF005691
mouse Id-associated protein 1	SF029257
mouse LIM kinase tLimk2	SF000655
mouse Shyc protein	SF008153
mouse TSC-22 protein	SF009379
mouse adhalin	SF016103
mouse androgen-regulated protein, renal	SF008150
mouse circadian protein mp41	SF015164
mouse clathrin-associated protein 19	SF015588
mouse conserved helix-loop-helix ubiquitous kinase	SF000581
mouse gene E161 protein	SF008419
mouse gene I54 protein	SF009681
mouse gene RXRbeta1 protein	SF002536
mouse gene T protein	SF002056
mouse herc2 protein	SF015565
mouse hypothetical cell surface protein 19.5	SF014675
mouse hypothetical protein H19-3'	SF008890
mouse hypothetical protein, 16K	SF005152
mouse mast cell growth factor	SF015599
mouse meltrin alpha	SF006749
mouse modifier protein 3	SF009342
mouse muscle LIM protein MLP	SF017937
mouse neuregulin-3	SF036336
mouse non-selective cation channel	SF011130
mouse protein kinase 1 testis-specific	SF000656
mouse protein kinase ULK1	SF000580
mouse regulatory protein rpt-1	SF005433
