Ribosomal protein L11, RNA binding domain	PF00298
Proprotein convertase P-domain. A unique feature of the eukaryotic subtilisin-like proprotein convertases is the presence of an additional highly conserved sequence of approximately 150 residues (P domain) located immediately downstream of the catalytic d	PF01483
KH domain. KH motifs probably bind RNA directly. Autoantibodies to Nova, a KH domain protein, cause paraneoplastic opsoclonus ataxia	PF00013
Vitelline membrane outer layer protein I (VOMI). VOMI binds tightly to ovomucin fibrils of the egg yolk membrane. The structure that consists of three beta-sheets forming Greek key motifs, which are related by an internal pseudo three-fold symmetry. Furt	PF03762
NAD binding domain of 6-phosphogluconate dehydrogenase. The NAD binding domain of 6-phosphogluconate dehydrogenase adopts a Rossman fold	PF03446
Transcriptional Coactivator p15 (PC4). p15 has a bipartite structure composed of an amino-terminal regulatory domain and a carboxy-terminal cryptic DNA-binding domain. The DNA-binding activity of the carboxy-terminal is disguised by the amino-terminal p1	PF02229
TNFR/NGFR cysteine-rich region	PF00020
Low-density lipoprotein receptor domain class A	PF00057
NHL repeat. The NHL (NCL-1, HT2A and LIN-41) repeat is found in multiple tandem copies. It is about 40 residues long and resembles the WD repeat pfam00400. The repeats have a catalytic activity in at least one member, proteolysis has shown that the Peptid	PF01436
AcrB/AcrD/AcrF family. Members of this family are integral membrane proteins. Some are involved in drug resistance	PF00873
CoA-ligase. This family includes the CoA ligases Succinyl-CoA synthetase alpha and beta chains, malate CoA ligase and ATP-citrate lyase. Some members of the family utilise ATP others use GTP	PF00549
[2Fe-2S] binding domain	PF01799
WIF domain. The WIF domain is found in the RYK tyrosine kinase receptors and WIF the Wnt-inhibitory- factor. The domain is extracellular and and contains two conserved cysteines that may form a disulphide bridge. This domain is Wnt binding in WIF, and it	PF02019
Fibroblast growth factor. Fibroblast growth factors are a family of proteins involved in growth and differentiation in a wide range of contexts. These growth factors cause dimerisation of their tyrosine kinase receptors leading to intracellular signaling.	PF00167
KCNQ1 voltage-gated potassium channel	PF03520
Raf-like Ras-binding domain	PF02196
Gpi16 subunit, GPI transamidase component. GPI (glycosyl phosphatidyl inositol) transamidase is a multi-protein complex. Gpi16, Gpi8 and Gaa1 for a sub-complex of the GPI transamidase. GPI transamidase that adds glycosylphosphatidylinositols (GPIs) to new	PF04113
Dihydropyridine sensitive L-type calcium channel (Beta subunit)	PF00774
HYR domain. This domain is known as the HYR (Hyalin Repeat) domain, after the protein hyalin that is composed exclusively of this repeat. This domain probably corresponds to a new superfamily in the immunoglobulin fold. The function of this domain is unce	PF02494
tRNA pseudouridine synthase. Involved in the formation of pseudouridine at the anticodon stem and loop of transfer-RNAs Pseudouridine is an isomer of uridine (5-(beta-D-ribofuranosyl) uracil, and id the most abundant modified nucleoside found in all cellu	PF01416
Phosphoenolpyruvate carboxykinase. Catalyses the formation of phosphoenolpyruvate by decarboxylation of oxaloacetate	PF00821
Nucleoporin interacting componentent	PF04097
REJ domain. The REJ (Receptor for Egg Jelly) domain is found in PKD1, and the sperm receptor for egg jelly. The function of this domain is unknown. The domain is 600 amino acids long so is probably composed of multiple structural domains. There are six c	PF02010
Astacin (Peptidase family M12A). The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis. Members of this family contain two conserved disulphide bridges, these are joined 1-4 and 2-3. Members of this family	PF01400
Calpain large subunit, domain III. The function of the domain III and I are currently unknown. Domain II is a cysteine protease and domain IV is a calcium binding domain. Calpains are believed to participate in intracellular signaling pathways mediated by	PF01067
Elongation factor G, domain IV. This domain is found in elongation factor G, elongation factor 2 and some tetracycline resistance proteins and adopts a ribosomal protein S5 domain 2-like fold	PF03764
Rhabdovirus Non-virion protein. Infectious hematopoietic necrosis virus (IHNV) is a member of the family Rhabdoviridae. The non-virion protein (NV) is coded for by one of the six genes of the IHNV genome, but is absent in vesiculovirus -like rhabdovirus	PF02484
Interleukin 2	PF00715
Cell division protein. Members of this family include CDC3, CDC10, CDC11 and CDC12/Septin. Members of this family bind GTP	PF00735
Calcineurin-like phosphoesterase. This family includes a diverse range of phosphoesterases, including protein phosphoserine phosphatases, nucleotidases, sphingomyelin phosphodiesterases and 2'-3' cAMP phosphodiesterases as well as nucleases such as bacter	PF00149
Interleukin 4	PF00727
Interleukin 5	PF02025
3'5'-cyclic nucleotide phosphodiesterase	PF00233
Fumarylacetoacetate (FAA) hydrolase family. This family consists of fumarylacetoacetate (FAA) hydrolase, or fumarylacetoacetate hydrolase (FAH) and it also includes HHDD isomerase/OPET decarboxylase from E. coli strain W. FAA is the last enzyme in the tyr	PF01557
Lecithin:cholesterol acyltransferase. Lecithin:cholesterol acyltransferase (LACT) is involved in extracellular metabolism of plasma lipoproteins, including cholesterol	PF02450
Serpin (serine protease inhibitor). Structure is a multi-domain fold containing a bundle of helices and a beta sandwich	PF00079
Dihydroorotate dehydrogenase	PF01180
Cell division protein 48 (CDC48), N-terminal domain. This domain has a double psi-beta barrel fold and includes VCP-like ATPase and N-ethylmaleimide sensitive fusion protein N-terminal domains. Both the VAT and NSF N-terminal functional domains consist of	PF02359
Eukaryotic glutathione synthase	PF03199
Telomere-binding protein alpha subunit, N-terminal domain. The telomere-binding protein forms a heterodimer in ciliates consisting of an alpha and a beta subunit. This complex may function as a protective cap for the single-stranded telomeric overhang. Al	PF02307
Ubiquinol-cytochrome C reductase complex 14kD subunit. The ubiquinol-cytochrome C reductase complex (cytochrome bc1 complex) is a respiratory multienzyme complex. This Pfam family represents the 14kD (or VI) subunit of the complex which is not directly i	PF02271
Zinc knuckle. The zinc knuckle is a zinc binding motif composed of the the following CX2CX4HX4C where X can be any amino acid. The motifs are mostly from retroviral gag proteins (nucleocapsid). Prototype structure is from HIV. Also contains members invol	PF00098
Uncharacterized protein PaaI, COG2050	PF02584
Cytochrome P450. Cytochrome P450s are involved in the oxidative degradation of various compounds. Particularly well known for their role in the degradation of environmental toxins and mutagens. Structure is mostly alpha, and binds a heme cofactor	PF00067
2Fe-2S iron-sulfur cluster binding domain	PF00111
Peptidase family M1. Members of this family are aminopeptidases. The members differ widely in specificity, hydrolysing acidic, basic or neutral N-terminal residues. This family includes leukotriene-A4 hydrolase, this enzyme also has an aminopeptidase acti	PF01433
Clathrin adaptor complex small chain	PF01217
Phospholipase A2 inhibitor	PF02988
Thiamine monophosphate synthase/TENI. Thiamine monophosphate synthase (TMP) (EC:2.5.1.3) catalyzes the substitution of the pyrophosphate of 2-methyl-4-amino-5- hydroxymethylpyrimidine pyrophosphate by 4-methyl-5- (beta-hydroxyethyl)thiazole phosphate to y	PF02581
Rieske [2Fe-2S] domain. The rieske domain has a [2Fe-2S] centre. Two conserved cysteines that one Fe ion while the other Fe ion is coordinated by two conserved histidines	PF00355
Jacalin-like lectin domain. Proteins containing this domain are lectins. It is found in 1 to 6 copies in these proteins. The domain is also found in the animal prostatic spermine-binding protein	PF01419
Starch binding domain	PF00686
Repeat in HS1/Cortactin. The function of this repeat is unknown. Seven copies are found in cortactin and four copies are found in HS1. The repeats are always found amino terminal to an SH3 domain pfam00018	PF02218
RNA polymerase A/beta'/A" subunit. RNA polymerases catalyse the DNA dependent polymerisation of RNA. Prokaryotes contain a single RNA polymerase compared to three in eukaryotes (not including mitochondrial. and chloroplast polymerases). This family includ	PF01854
Dehydratase family	PF00920
Keratin, high sulfur B2 protein. High sulfur proteins are cysteine-rich proteins synthesized during the differentiation of hair matrix cells, and form hair fibers in association with hair keratin intermediate filaments. This family has been divided up in	PF01500
Phosphatidylinositol-specific phospholipase C, X domain. This associates with pfam00387 to form a single structural unit	PF00388
GAF domain. Domain present in phytochromes and cGMP-specific phosphodiesterases	PF01590
SAND domain. The DNA binding activity of two proteins has been mapped to the SAND domain. The conserved KDWK motif is necessary for DNA binding, and it appears to be important for dimerisation	PF01342
Clp protease. The Clp protease has an active site catalytic triad. In E. coli Clp protease, ser-111, his-136 and asp-185 form the catalytic triad. One member has lost all of these active site residues and is therefore inactive, others contain one or two l	PF00574
Transport protein particle (TRAPP) component, Bet3. TRAPP plays a key role in the targeting and/or fusion of ER-to-Golgi transport vesicles with their acceptor compartment. TRAPP is an 800kDa that contains at least 10 subunits	PF04051
Ferrous iron transport protein B. Escherichia coli has an iron(II) transport system (feo) which may make an important contribution to the iron supply of the cell under anaerobic conditions. FeoB has been identified as part of this transport system. FeoB	PF02421
Fork head domain	PF00250
Quinolinate phosphoribosyl transferase, C-terminal domain. Quinolinate phosphoribosyl transferase (QPRTase) or nicotinate-nucleotide pyrophosphorylase EC:2.4.2.19 is involved in the de novo synthesis of NAD in both prokaryotes and eukaryotes. It catalyses	PF01729
Domain of unknown function DUF128. This archaebacterial protein family has no known function. The domain is found duplicated in some members	PF01995
Peptide hormone. This family contains glucagon, GIP, secretin and VIP	PF00123
Protein phosphatase 2A regulatory B subunit (B56 family). Protein phosphatase 2A (PP2A) is a major intracellular protein phosphatase that regulates multiple aspects of cell growth and metabolism. The ability of this widely distributed heterotrimeric enzym	PF01603
Alpha amylase, C-terminal all-beta domain. Alpha amylase is classified as family 13 of the glycosyl hydrolases. The structure is an 8 stranded alpha/beta barrel containing the active site, interrupted by a ~70 a.a. calcium-binding domain protruding betwe	PF02806
Phosphatidyl serine synthase. Phosphatidyl serine synthase is also known as serine exchange enzyme. This family represents eukaryotic PSS I and II which are membrane bound proteins which catalyses the replacement of the head group of a phospholipid (phosp	PF03034
Glycine cleavage H-protein. This is a family of glycine cleavage H-proteins, part of the glycine cleavage multienzyme complex (GCV) found in bacteria and the mitochondria of eukaryotes. GCV catalyses the catabolism of glycine in eukaryotes. A lipoyl group	PF01597
Pyroglutamyl peptidase	PF01470
PspA/IM30 family. This family includes PspA a protein that suppresses sigma54-dependent transcription. The PspA protein, a negative regulator of the Escherichia coli phage shock psp operon, is produced when virulence factors are exported through secretins	PF04012
B12 binding domain. This B12 binding domain is found in methionine synthase EC:2.1.1.13, and other shorter proteins that bind to B12. This domain is always found to the N-terminus of pfam02310. The structure of this domain is known, it is a 4 helix bundle	PF02607
Actin interacting protein 3	PF03915
YT521-B-like family. This family of poorly characterised proteins contains YT521-B, a putative splicing factor from Rat. YT521-B is a tyrosine-phosphorylated nuclear protein, that interacts with the nuclear transcriptosomal component scaffold attachment	PF04146
SacI homology domain. This Pfam family represents a protein domain which shows homology to the yeast protein SacI. The SacI homology domain is most notably found at the amino terminal of the inositol 5'-phosphatase synaptojanin	PF02383
bZIP transcription factor	PF00170
Calcium-activated SK potassium channel	PF03530
Insulin/IGF/Relaxin family. Superfamily includes insulins	PF00049
STAS domain. The STAS (after Sulphate Transporter and AntiSigma factor antagonist) domain is found in the C terminal region of Sulphate transporters and bacterial antisigma factor antagonists. It has been suggested that this domain may have a general NTP	PF01740
HhH-GPD superfamily base excision DNA repair protein. This family contains a diverse range of structurally related DNA repair proteins. The superfamily is called the HhH-GPD family after its hallmark Helix-hairpin-helix and Gly/Pro rich loop followed by	PF00730
Up-frameshift suppressor 2. Transcripts harboring premature signals for translation termination are recognized and rapidly degraded by eukaryotic cells through a pathway known as nonsense-mediated mRNA decay. In Saccharomyces cerevisiae, three trans-actin	PF04050
Prenyltransferase and squalene oxidase repeat	PF00432
Methyl-CpG binding domain. The Methyl-CpG binding domain (MBD) binds to DNA that contains one or more symmetrically methylated CpGs. DNA methylation in animals is associated with alterations in chromatin structure and silencing of gene expression. MBD has	PF01429
Tetraspanin family	PF00335
CutA1 divalent ion tolerance protein. Several gene loci with a possible involvement in cellular tolerance to copper have been identified. One such locus in eubacteria and archaebacteria, cutA, is thought to be involved in cellular tolerance to a wide vari	PF03091
Reduced folate carrier. The reduced folate carrier (a transmembrane glycoprotein) transports reduced folate into mammalian cells via the carrier mediated mechanism (as opposed to the receptor mediated mechanism) it also transports cytotoxic folate analogu	PF01770
Uncharacterized ACR, COG2106	PF02598
Ribosomal prokaryotic L21 protein	PF00829
Divalent cation transporter. This region is the integral membrane part of the eubacterial MgtE family of magnesium transporters. Related regions are found also in archaebacterial and eukaryotic proteins. All the archaebacterial and eukaryotic examples hav	PF01769
RNA polymerase Rpb8. Rpb8 is a subunit common to the three yeast RNA polymerases, pol I, II and III. Rpb8 interacts with the largest subunit Rpb1, and with Rpb3 and Rpb11, two smaller subunits	PF03870
Rer1 family. RER1 family protein are involved in involved in the retrieval of some endoplasmic reticulum membrane proteins from the early golgi compartment. The C terminus of yeast Rer1p interacts with a coatomer complex	PF03248
pfam02898, NO_synthase, Nitric oxide synthase, oxygenase domain	PF02898
Core binding factor beta subunit. Core binding factor (CBF) is a heterodimeric transcription factor essential for genetic regulation of hematopoiesis and osteogenesis. The beta subunit enhances DNA-binding ability of the alpha subunit in vitro, and has b	PF02312
Villin headpiece domain	PF02209
Histidine acid phosphatase	PF00328
MOSC domain. The MOSC (MOCO sulfurase C-terminal) domain is a superfamily of beta-strand-rich domains identified in the molybdenum cofactor sulfurase and several other proteins from both prokaryotes and eukaryotes. These MOSC domains contain an absolutel	PF03473
Thioredoxin. Thioredoxins are small enzymes that participate in redox reactions, via the reversible oxidation of an active center disulfide bond. Some members with only the active site are not separated from the noise	PF00085
ARID/BRIGHT DNA binding domain. This domain is know as ARID for AT-Rich Interaction Domain, and also known as the BRIGHT domain	PF01388
Minor capsid protein VI. This minor capsid protein may act as a link between the external capsid and the internal DNA-protein core. The C-terminal 11 residues may function as a protease cofactor leading to enzyme activation	PF02993
Nuclear transition protein 2	PF01254
Polyphosphate kinase. Polyphosphate kinase (Ppk) catalyzes the formation of polyphosphate from ATP, with chain lengths of up to a thousand or more orthophosphate molecules	PF02503
Granin (chromogranin or secretogranin)	PF01271
TruB family pseudouridylate synthase (N terminal domain)	PF01509
LGN motif, putative GEF specific for G-alpha GTPase	PF02188
Ribosomal family S4e	PF00900
Galactosyltransferase. This family includes the galactosyltransferases UDP-galactose:2-acetamido-2-deoxy-D-glucose3beta-galactosyltransferase and UDP-Gal:beta-GlcNAc beta 1,3-galactosyltranferase. Specific galactosyltransferases transfer galactose to GlcN	PF01762
ATP1G1/PLM/MAT8 family	PF02038
Phosphatidylinositol-4-phosphate 5-Kinase. This family contains a region from the common kinase core found in the type I phosphatidylinositol-4-phosphate 5-kinase (PIP5K) family. The family consists of various type I, II and III PIP5K enzymes. PIP5K cata	PF01504
Arylesterase. This family consists of arylesterases (Also known as serum paraoxonase) EC:3.1.1.2. These enzymes hydrolyses organophosphorus esters such as paraoxon and are found in the liver and blood. They confer resistance to organophosphate toxicity. H	PF01731
MutS family, N-terminal putative DNA binding domain. This family consists of the N-terminal region of proteins in the mutS family of DNA mismatch repair proteins and is found associated with pfam00488 located in the C-terminal region. The mutS family of p	PF01624
Flavin containing amine oxidoreductase. This family consists of various amine oxidases, including maze polyamine oxidase (PAO) and various flavin containing monoamine oxidases (MAO). The aligned region includes the flavin binding site of these enzymes. T	PF01593
mbt repeat. The function of this repeat is unknown, but is found in a number of nuclear proteins such as drosophila sex comb on midleg protein. The repeat is found in up to four copies. The repeat contains a completely conserved glutamate at its amino te	PF02820
CD36 family. The CD36 family is thought to be a novel class of scavenger receptors. There is also evidence suggesting a possible role in signal transduction. CD36 is involved in cell adhesion	PF01130
Cornichon protein	PF03311
Gpi16 subunit, GPI transamidase component. GPI (glycosyl phosphatidyl inositol) transamidase is a multi-protein complex. Gpi16, Gpi8 and Gaa1 for a sub-complex of the GPI transamidase. GPI transamidase that adds glycosylphosphatidylinositols (GPIs) to ne	PF04113
Astacin (Peptidase family M12A). The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis. Members of this family contain two conserved disulphide bridges, these are joined 1-4 and 2-3. Members of this famil	PF01400
Methyl-CpG binding domain. The Methyl-CpG binding domain (MBD) binds to DNA that contains one or more symmetrically methylated CpGs. DNA methylation in animals is associated with alterations in chromatin structure and silencing of gene expression. MBD ha	PF01429
Transcription factor TFIID (or TATA-binding protein, TBP)	PF00352
C.elegans Srg family integral membrane protein	PF02118
Putative diphthamide synthesis protein. One member is a candidate tumour suppressor gene. DPH2 from yeast, which confers resistance to diphtheria toxin has been found to be involved in diphthamide synthesis. Diphtheria toxin inhibits eukaryotic protein sy	PF01866
Dihydrofolate reductase	PF00186
Cytochrome c oxidase subunit VIIc. Cytochrome c oxidase, a 13 sub-unit complex, EC:1.9.3.1 is the terminal oxidase in the mitochondrial electron transport chain. This family is composed of cytochrome c oxidase subunit VIIc. The yeast member of this family	PF02935
pfam02897, Peptidase_S9_N, Prolyl oligopeptidase, N-terminal beta-propeller domain. This unusual 7-stranded beta-propeller domain protects the catalytic triad of prolyl oligopeptidase (see pfam00326), excluding larger peptides and proteins from proteolysi	PF02897
ENTH domain. The ENTH (Epsin N-terminal homology) domain is found in proteins involved in endocytosis and cytoskeletal machinery. The function of the ENTH domain is unknown	PF01417
Transcription initiation factor TFIID subunit A	PF03847
MAM domain. An extracellular domain found in many receptors	PF00629
Glycosyltransferase family 28 C-terminal domain. The glycosyltransferase family 28 includes monogalactosyldiacylglycerol synthase (EC 2.4.1.46) and UDP-N-acetylglucosamine transferase (EC 2.4.1.-). Structural analysis suggests the C-terminal domain conta	PF04101
PTN/MK heparin-binding protein family	PF01091
Ras family. Includes sub-families Ras	PF00071
Gap junction alpha-8 protein (Cx50)	PF03509
Protein of unknown function DUF51. This family contains members in prokaryotes and eukaryotes. None of the members has a known function	PF01871
pfkB family carbohydrate kinase. This family includes a variety of carbohydrate and pyrimidine kinases. The family includes phosphomethylpyrimidine kinase EC:2.7.4.7. This enzyme is part of the Thiamine pyrophosphate (TPP) synthesis pathway, TPP is an es	PF00294
ATP-sulfurylase	PF01747
homogentisate 1,2-dioxygenase. Homogentisate dioxygenase cleaves the aromatic ring during the metabolic degradation of Phe and Tyr. Homogentisate dioxygenase deficiency causes alkaptonuria. The structure of homogentisate dioxygenase shows that the enzyme	PF04209
Exostosin family. The EXT family is a family of tumour suppressor genes. Mutations of EXT1 on 8q24.1, EXT2 on 11p11-13, and EXT3 on 19p have been associated with the autosomal dominant disorder known as hereditary multiple exostoses (HME). This is the mos	PF03016
Competence protein. Members of this family are integral membrane proteins with 6 predicted transmembrane helices. Some members of this family have been shown to be essential for bacterial competence in uptake of extracellular DNA. These proteins may tran	PF03772
tRNA intron endonuclease, catalytic C-terminal domain. Members of this family cleave pre tRNA at the 5' and 3' splice sites to release the intron EC:3.1.27.9	PF01974
YDG/SRA domain. The function of this domain is unknown, it contains a conserved motif YDG after which it has been named	PF02182
HesB-like domain. This family includes HesB which may be involved in nitrogen fixation	PF01521
Frataxin-like domain. This family contains proteins that have a domain related to the globular C-terminus of Frataxin the protein that is mutated in Friedreich's ataxia. This domain is found in a family of bacterial proteins. The function of this domain i	PF01491
S-100/ICaBP type calcium binding domain. The S-100 domain is a subfamily of the EF-hand calcium binding proteins	PF01023
5-formyltetrahydrofolate cyclo-ligase family. 5-formyltetrahydrofolate cyclo-ligase or methenyl-THF synthetase EC:6.3.3.2 catalyses the interchange of 5-formyltetrahydrofolate (5-FTHF) to 5-10-methenyltetrahydrofolate, this requires ATP and Mg2+. 5-FTHF i	PF01812
'Cold-shock' DNA-binding domain	PF00313
Replication factor-A protein 1, N-terminal domain	PF04057
Phospholipid methyltransferase. The S. cerevisiae phospholipid methyltransferase (EC:2.1.1.16) has a broad substrate specificity of unsaturated phospholipids	PF04191
Porphobilinogen deaminase, C-terminal domain	PF03900
pfam02913, FAD-oxidase_C, FAD linked oxidases, C-terminal domain. This domain has a ferredoxin-like fold	PF02913
Phenylalanine and histidine ammonia-lyase	PF00221
Uncharacterized ACR, COG2135	PF02586
ADP-ribosyl cyclase. ADP-ribosyl cyclase EC:3.2.2.5 (also know as cyclic ADP-ribose hydrolase or CD38) synthesizes cyclic-ADP ribose, a second messenger for glucose-induced insulin secretion	PF02267
Multicopper oxidase. Many of the proteins in this family contain multiple similar copies of this plastocyanin-like domain	PF00394
Beta-ketoacyl synthase, N-terminal domain. The structure of beta-ketoacyl synthase is similar to that of the thiolase family (pfam00108) and also chalcone sythase. The active site of beta-ketoacyl synthase is located between the N and C-terminal domains.	PF00109
CXXC zinc finger. This domain contains eight conserved cysteine residues that bind to zinc. The CXXC domain is found in proteins that methylate cytosine, proteins that bind to methyl cytosine and HRX related proteins	PF02008
Vacuolar protein sorting-associated protein 26. Vacuolar protein sorting-associated protein (Vps) 26 is one of around 50 proteins involved in protein trafficking. In particular, Vps26 assembles into a retromer complex with at least four other proteins Vp	PF03643
RNA recognition motif. (a.k.a. RRM	PF00076
Glycosyl hydrolase family 1	PF00232
RyR domain. This domain is called RyR for Ryanodine receptor. The domain is found in four copies in the ryanodine receptor. The function of this domain is unknown	PF02026
Polysaccharide biosynthesis protein. This is a family of diverse bacterial polysaccharide biosynthesis proteins including the CapD protein, WalL protein mannosyl-transferase and several putative epimerases (e.g. WbiI)	PF02719
Phosphoribosyl transferase domain. This family includes a range of diverse phosphoribosyl transferase enzymes. This family includes: Adenine phosphoribosyltransferase EC:2.4.2.7, Hypoxanthine-guanine-xanthine phosphoribosyltransferase, Hypoxanthine phosph	PF00156
Bunyavirus glycoprotein G1. Bunyavirus has three genomic segments: small (S), middle-sized (M), and large (L). The S segment encodes the nucleocapsid and a non-structural protein. The M segment codes for two glycoproteins, G1 and G2, and another non-struc	PF03557
TGF-beta propeptide. This propeptide is known as latency associated peptide (LAP) in TGF-beta. LAP is a homodimer which is disulfide linked to TGF-beta binding protein	PF00688
MHCK/EF2 kinase domain family. This family is a novel family of eukaryotic protein kinase catalytic domains, which have no detectable similarity to conventional kinases. The family contains myosin heavy chain kinases and Elongation Factor-2 kinase and a	PF02816
K+ channel tetramerisation domain. The N-terminal, cytoplasmic tetramerization domain (T1) of voltage-gated K+ channels encodes molecular determinants for subfamily-specific assembly of alpha-subunits into functional tetrameric channels. It is distantly	PF02214
Phosphoenolpyruvate carboxykinase	PF01293
Amidinotransferase. This family contains glycine (EC:2.1.4.1) and inosamine (EC:2.1.4.2) amidinotransferases, enzymes involved in creatine and streptomycin biosynthesis respectively. This family also includes arginine deiminases, EC:3.5.3.6. These enzyme	PF02274
Ras association (RalGDS/AF-6) domain. RasGTP effectors (in cases of AF6, canoe and RalGDS)	PF00788
Sodium:neurotransmitter symporter family	PF00209
Ephrin	PF00812
Dip2/Utp12 Family. This domain is found at the C-terminus of proteins containing WD40 repeats. These proteins are part of the U3 ribonucleoprotein the yeast protein is called Utp12 or DIP2	PF04003
Zinc finger, C2H2 type	PF00096
Ribosome recycling factor. The ribosome recycling factor (RRF / ribosome release factor) dissociates the ribosome from the mRNA after termination of translation, and is essential bacterial growth. Thus ribosomes are "recycled" and ready for another round	PF01765
pfam02892, zf-BED, BED zinc finger	PF02892
moaA / nifB / pqqE family	PF01444
Asparaginase	PF01112
C5HC2 zinc finger. Predicted zinc finger with eight potential zinc ligand binding residues. This domain is found in Jumonji. This domain may have a DNA binding function	PF02928
WAP-type (Whey Acidic Protein) 'four-disulfide core'	PF00095
mRNA capping enzyme, large subunit	PF03291
Exo70 exocyst complex subunit. The Exo70 protein forms one subunit of the exocyst complex. First discovered in S. cerevisiae , Exo70 and other exocyst proteins have been observed in several other eukaryotes, including humans. In S. cerevisiae, the exocys	PF03081
Ubiquitin carboxyl-terminal hydrolase, family 1	PF01088
Urotensin II	PF02083
Transglutaminase family, C-terminal ig like domain	PF00927
Ribosomal protein L7Ae/L30e/S12e/Gadd45 family. This family includes: Ribosomal L7A from metazoa, Ribosomal L8-A and L8-B from fungi, 30S ribosomal protein HS6 from archaebacteria, 40S ribosomal protein S12 from eukaryotes, Ribosomal protein L30 from euka	PF01248
Anticodon binding domain. This domain is found in histidyl, glycyl, threonyl and prolyl tRNA synthetases it is probably the anticodon binding domain	PF03129
ICE-like protease (caspase) p20 domain	PF00656
NLP/P60 family. The function of this domain is unknown. It is found in several lipoproteins	PF00877
NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	PF00420
CAP-Gly domain. CAP stands for cytoskeleton-associated proteins	PF01302
C2 domain	PF00168
Polyprenyl synthetase	PF00348
Fibrillarin	PF01269
CIDE-N domain. This domain is found in CAD nuclease, and ICAD, the inhibitor of CAD nuclease. The two proteins interact through this domain	PF02017
Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	PF02776
Peptidase family M3. This is the Thimet oligopeptidase family, large family of mammalian and bacterial oligopeptidases that cleave medium sized peptides. The group also contains mitochondrial intermediate peptidase which is encoded by nuclear DNA but func	PF01432
DNA mismatch repair protein, C-terminal domain. This family represents the C-terminal domain of the mutL/hexB/PMS1 family. This domain has a ribosomal S5 domain 2-like fold	PF01119
Zinc finger C-x8-C-x5-C-x3-H type (and similar)	PF00642
bZIP transcription factor. The Pfam entry includes the basic region and the leucine zipper region	PF00170
Deoxyhypusine synthase. Eukaryotic initiation factor 5A (eIF-5A) contains an unusual amino acid, hypusine [N epsilon-(4-aminobutyl-2-hydroxy)lysine]. The first step in the post-translational formation of hypusine is catalysed by the enzyme deoxyhypusine s	PF01916
YT521-B-like family. This family of poorly characterised proteins contains YT521-B, a putative splicing factor from Rat. YT521-B is a tyrosine-phosphorylated nuclear protein, that interacts with the nuclear transcriptosomal component scaffold attachment f	PF04146
BRCA2 repeat. The alignment covers only the most conserved region of the repeat	PF00634
Rpp14 family. tRNA processing enzyme ribonuclease P (RNase P) consists of an RNA molecule associated with at least eight protein subunits, hPop1, Rpp14, Rpp20, Rpp25, Rpp29, Rpp30, Rpp38, and Rpp40	PF01900
Mpp10 protein. This family includes proteins related to Mpp10 (M phase phosphoprotein 10). The U3 small nucleolar ribonucleoprotein (snoRNP) is required for three cleavage events that generate the mature 18S rRNA from the pre-rRNA. In Saccharomyces cerevi	PF04006
Cytochrome c oxidase subunit Va. Cytochrome c oxidase, a 13 sub-unit complex, EC:1.9.3.1 is the terminal oxidase in the mitochondrial electron transport chain. This family is composed of cytochrome c oxidase subunit Va	PF02284
Ubiquitin fusion degradation protein UFD1. Post-translational ubiquitin-protein conjugates are recognized for degradation by the ubiquitin fusion degradation (UFD) pathway. Several proteins involved in this pathway have been identified. This family inclu	PF03152
Non-repetitive/WGA-negative nucleoporin. This is a family of nucleoporin proteins. Nucleoporins are the main components of the nuclear pore complex in eukaryotic cells, and mediate bidirectional nucleocytoplasmic transport, especially of mRNA and proteins	PF03177
TruB family pseudouridylate synthase (N terminal domain). Members of this family are involved in modifying bases in RNA molecules. They carry out the conversion of uracil bases to pseudouridine. This family includes TruB, a pseudouridylate synthase that	PF01509
Elongation factor Tu C-terminal domain. Elongation factor Tu consists of three structural domains, this is the third domain. This domain adopts a beta barrel structure. This the third domain is involved in binding to both charged tRNA and binding to EF-Ts	PF03143
BTB/POZ domain. The BTB (for BR-C, ttk and bab) or POZ (for Pox virus and Zinc finger) domain is present near the N-terminus of a fraction of zinc finger (pfam00096) proteins and in proteins that contain the pfam01344 motif such as Kelch and a family of	PF00651
Prothymosin/parathymosin family. Prothymosin alpha and parathymosin are two ubiquitous small acidic nuclear proteins that are thought to be involved in cell cycle progression, proliferation, and cell differentiation	PF03247
Uncharacterised protein family (UPF0143). This family of uncharacterised proteins are integral membrane proteins. They may contain 4 transmembrane helices. The family contains a conserved arginine and histidine that may be functionally important	PF03694
Alkaline phosphatase	PF00245
Sulfotransferase. Chondroitin 6-sulfotransferase catalyses the transfer of sulfate to position 6 of the N-acetylgalactosamine residue of chondroitin	PF03567
BTK motif. Zinc-binding motif containing conserved cysteines and a histidine. Always found C-terminal to PH domains. The crystal structure shows this motif packs against the PH domain. The PH+Btk module pair has been called the Tec homology (TH) region	PF00779
Ferrochelatase	PF00762
Nuclear pore protein 84 / 107. Nup84p forms a complex with five proteins, of which Nup120p, Nup85p, Sec13p, and a Sec13p homolog. This Nup84p complex in conjunction with Sec13-type proteins is required for correct nuclear pore biogenesis	PF04121
Herpesvirus UL6 like	PF01763
Corticotropin-releasing factor family	PF00473
