(S)-2-hydroxy-acid oxidase  superfamily	SA1627
neurokinin B precursor	FA2577
neurotrophic receptor ror	FA3247
nidogen	FA2620
nitric-oxide synthase	FA2798
nitric-oxide synthase  superfamily	SA2797
nonhistone chromosomal protein HMG-17	FA2623
nonhistone chromosomal protein HMG-2	FA2624
nonhistone chromosomal protein HMG-I  superfamily	SA1427
nucleolin	FA2508
nucleophosmin	FA2506
nucleotide pyrophosphatase  superfamily	SA2326
oleoyl-[acyl-carrier-protein] hydrolase  superfamily	SA1339
oleoyl-[acyl-carrier-protein] hydrolase homology	DA1479
oligo(A) synthetase	FA0901
ornithine carbamoyltransferase	FA1621
ornithine carbamoyltransferase  superfamily	SA0822
ornithine decarboxylase	FA2726
ornithine decarboxylase  superfamily	SA0594
ornithine--oxo-acid aminotransferase	FA0586
orotate phosphoribosyltransferase homology	DA1123
osteocalcin	FA0124
osteonectin	FA0770
osteonectin  superfamily	SA3456
osteonectin homology	DA1125
osteopontin	FA2335
osteopontin  superfamily	SA1145
oxytocin-neurophysin	FA0815
paired box homology	DA1198
paired box transcription factor Pax-6  superfamily	SA3737
pancreatic hormone	FA0289
pancreatic ribonuclease	FA1959
pancreatic secretory trypsin inhibitor	FA0388
pancreatic secretory trypsin inhibitor  superfamily	SA2723
papain	FA0799
parathyroid hormone homology	DA1100
parathyroid hormone-related protein	FA2002
parvalbumin	FA1614
parvalbumin  superfamily	SA1617
pepsin	FA0880
pepsin  superfamily	SA3174
peptidylglycine monooxygenase I homology	DA1192
peptidylglycine monooxygenase II	FA0633
peptidylprolyl isomerase	FA2204
peptidylprolyl isomerase  superfamily	SA0540
phenylalanine 4-monooxygenase	FA0487
phenylalanine 4-monooxygenase  superfamily	SA3290
phenylethanolamine N-methyltransferase	FA1433
phosducin	FA1146
phosphatidylcholine--sterol acyltransferase	FA1040
phosphatidylinositol 3-kinase  superfamily	SA3409
phosphoenolpyruvate carboxykinase	FA0639
phosphoesterase core homology	DA3772
phosphoglucomutase	FA1155
phosphogluconate dehydrogenase (decarboxylating)  superfamily	SA2129
phosphoglycerate kinase	FA0801
phosphoglycerate mutase	FA0539
phosphoglycerate mutase homology	DA3761
phospholamban	FA1226
phospholipase A2	FA0296
phospholipase A2 receptor  superfamily	SA3440
phosphoprotein phosphatase	FA0827
phosphoprotein phosphatase  superfamily	SA3702
phosphoprotein phosphatase homology	DA1599
phosphoribosylamine--glycine ligase homology	DA0710
phosphoribosylformylglycinamidine cyclo-ligase homology	DA1184
phosphoribosylglycinamide formyltransferase homology	DA1185
phosphorylase  superfamily	SA3042
pituitary glycoprotein hormone beta chain	FA0923
plasma protein S	FA1994
plasmin	FA2317
plasminogen-related protein precursor homology	DA1573
plastin	FA1224
plastin  superfamily	SA3346
plastoquinol--plastocyanin reductase 17K protein homology	DA1033
platelet glycoprotein Ib beta chain  superfamily	SA3468
platelet-derived growth factor	FA0415
platelet-derived growth factor  superfamily	SA3254
pleckstrin repeat homology	DA1061
pleiotrophin	FA0967
poliovirus receptor	FA2670
poliovirus receptor  superfamily	SA3510
polyubiquitin 3	FA2875
polyubiquitin 4	FA2898
porin  superfamily	SA2709
porphobilinogen synthase	FA2533
potassium channel protein drk1	FA2503
probable hormone receptor N10, nuclear	FA2643
procollagen-proline,2-oxoglutarate 4-dioxygenase alpha chain	FA0731
proenkephalin	FA0092
proenkephalin  superfamily	SA3137
profilin	FA1240
progesterone receptor	FA2642
prolactin	FA0375
proliferating cell nuclear antigen	FA0940
proline-rich protein	FA2262
protein 4.1 membrane-binding domain homology	DA1111
protein HC  superfamily	SA3144
protein disulfide-isomerase	FA1334
protein kinase A-raf	FA0920
protein kinase C C2 region homology	DA1059
protein kinase C alpha	FA0190
protein kinase C delta	FA0588
protein kinase C delta  superfamily	SA3246
protein kinase C zeta	FA1926
protein kinase C zinc-binding repeat homology	DA1180
protein kinase TIK	FA3311
protein kinase akt	FA1843
protein kinase homology	DA0934
protein phosphatase inhibitor 1	FA2542
protein-glutamine gamma-glutamyltransferase	FA1885
protein-lysine 6-oxidase  superfamily	SA3469
protein-tyrosine kinase ZAP-70	FA2795
protein-tyrosine kinase axl	FA2282
protein-tyrosine kinase axl  superfamily	SA2283
protein-tyrosine kinase fps  superfamily	SA3194
protein-tyrosine kinase ret	FA2075
protein-tyrosine kinase src	FA0414
protein-tyrosine kinase tec	FA1931
protein-tyrosine kinase, receptor type tie	FA3285
protein-tyrosine kinase, receptor type tie  superfamily	SA3286
protein-tyrosine-phosphatase homology	DA1147
protein-tyrosine-phosphatase string  superfamily	SA2981
protein-tyrosine-phosphatase, low molecular weight	FA2183
protein-tyrosine-phosphatase, low molecular weight  superfamily	SA2184
protein-tyrosine-phosphatase, nonreceptor type 1	FA1348
protein-tyrosine-phosphatase, nonreceptor type 12	FA1921
protein-tyrosine-phosphatase, nonreceptor type 14	FA2395
protein-tyrosine-phosphatase, nonreceptor type 3	FA1845
protein-tyrosine-phosphatase, nonreceptor type 5  superfamily	SA2983
protein-tyrosine-phosphatase, nonreceptor type 6	FA1244
protein-tyrosine-phosphatase, nonreceptor type 9  superfamily	SA2149
protein-tyrosine-phosphatase, receptor type N	FA2168
protein-tyrosine-phosphatase, receptor type PTPBR7	FA2169
protein-tyrosine-phosphatase, receptor type alpha	FA2172
protein-tyrosine-phosphatase, receptor type gamma	FA2141
protein-tyrosine-phosphatase, receptor type mu	FA2145
proteoglycan 10K core protein	FA2525
proteoglycan amino-terminal homology - includes atypical sequences	DA1567
proteoglycan carboxyl-terminal homology	DA1568
proteoglycan link protein	FA0808
prothymosin alpha	FA1319
protozoan myosin heavy chain IB  superfamily	SA2704
pulmonary surfactant protein B	FA2607
pulmonary surfactant protein C	FA2608
pulmonary surfactant protein D	FA2468
purH bifunctional enzyme	FA2849
purine-nucleoside phosphorylase  superfamily	SA1986
pyruvate carboxylase	FA2020
pyruvate dehydrogenase (lipoamide) alpha chain	FA2305
pyruvate dehydrogenase (lipoamide) alpha chain  superfamily	SA0599
pyruvate dehydrogenase (lipoamide) beta chain	FA2044
pyruvate kinase	FA0188
ras transforming protein	FA2318
ras-specific GAP catalytic domain homology	DA1205
rat acidic ribosomal protein P0	FA0333
rat acidic ribosomal protein P1	FA0336
rat ribosomal protein L12	FA2665
rat ribosomal protein L17	FA2560
rat ribosomal protein L18	FA0873
rat ribosomal protein L18a	FA2564
rat ribosomal protein L19	FA2565
rat ribosomal protein L21	FA2566
rat ribosomal protein L24	FA1804
rat ribosomal protein L26	FA2567
rat ribosomal protein L26  superfamily	SA3484
rat ribosomal protein L27	FA2568
rat ribosomal protein L27a	FA0348
rat ribosomal protein L29	FA1805
rat ribosomal protein L3	FA2573
rat ribosomal protein L30	FA0877
rat ribosomal protein L30  superfamily	SA3486
rat ribosomal protein L31	FA0864
rat ribosomal protein L31  superfamily	SA3482
rat ribosomal protein L32	FA0340
rat ribosomal protein L34	FA2569
rat ribosomal protein L35a	FA0871
rat ribosomal protein L35a  superfamily	SA3483
rat ribosomal protein L36a	FA0878
rat ribosomal protein L37	FA2663
rat ribosomal protein L37a	FA2571
rat ribosomal protein L38	FA2572
rat ribosomal protein L39	FA2664
rat ribosomal protein L39  superfamily	SA3487
rat ribosomal protein L4	FA0874
rat ribosomal protein L5	FA2574
rat ribosomal protein L7	FA0867
rat ribosomal protein L7a	FA0335
rat ribosomal protein S10	FA2647
rat ribosomal protein S12	FA0857
rat ribosomal protein S12  superfamily	SA2223
rat ribosomal protein S13	FA2224
rat ribosomal protein S13  superfamily	SA2225
rat ribosomal protein S17	FA0331
rat ribosomal protein S19  superfamily	SA3108
rat ribosomal protein S21	FA2650
rat ribosomal protein S24	FA0329
rat ribosomal protein S25	FA2651
rat ribosomal protein S26	FA0856
rat ribosomal protein S3	FA0859
rat ribosomal protein S4	FA0862
rat ribosomal protein S6	FA0318
rat ribosomal protein S8	FA2656
rat ribosomal protein S9	FA1002
recQ helicase homology	DA4308
rel homology	DA1097
rel transforming protein	FA0443
replication licensing factor MCM2	FA4339
replication licensing factor MCM5	FA4342
replication protein A1  superfamily	SA1738
retinal degeneration slow protein	FA0957
retinoic acid receptor alpha	FA1496
retinoic acid receptor alpha  superfamily	SA2288
retroviral proteinase	FA2000
rfp transforming protein  superfamily	SA3288
rhodopsin kinase	FA3234
rhodopsin kinase  superfamily	SA3262
ribitol dehydrogenase	FA2965
ribonuclease inhibitor	FA1438
ribonucleoprotein La	FA1148
ribonucleoprotein repeat homology	DA1067
ribose-phosphate pyrophosphokinase catalytic chain	FA2729
ribose-phosphate pyrophosphokinase catalytic chain  superfamily	SA0622
ribosomal protein CEP52 homology	DA1579
ribosomal protein S10 homology	DA3435
ribosomal protein S27a homology	DA1605
ribosomal protein S6 kinase	FA2078
ribosomal protein S6 kinase II	FA1439
ryanodine receptor	FA1808
salivary glue protein  superfamily	SA3458
saposin	FA2289
saposin repeat homology - includes atypical sequences	DA1477
scavenger receptor cysteine-rich domain homology - includes atypical sequences	DA1214
secretory component	FA2694
secretory component  superfamily	SA3107
serine carboxypeptidase  superfamily	SA1830
serine proteinase easter  superfamily	SA3221
serine--pyruvate aminotransferase	FA2109
serine--pyruvate aminotransferase  superfamily	SA3299
serum albumin	FA0958
serum albumin  superfamily	SA1552
serum albumin repeat homology	DA1068
serum response factor DNA-binding domain homology	DA1478
severin	FA2463
severin  superfamily	SA3068
sex hormone-binding globulin homology	DA2304
sex steroid-binding protein	FA2495
short-chain alcohol dehydrogenase homology	DA1473
single-stranded DNA-binding protein homology	DA2199
ski transforming protein	FA2069
small nuclear ribonucleoprotein U1A	FA1737
small nuclear ribonucleoprotein U1A  superfamily	SA2236
smooth muscle protein SM22	FA2352
smooth muscle protein SM22  superfamily	SA1613
smooth muscle protein SM22 homology	DA1603
sodium channel protein	FA2501
soluble guanylate cyclase	FA1981
soluble guanylate cyclase  superfamily	SA0823
somatomedin B homology	DA1213
somatostatin	FA2034
spasmolytic protein	FA2265
spasmolytic protein  superfamily	SA3512
spectrin alpha chain	FA2679
spectrin beta-G chain	FA1553
spectrin/dystrophin repeat homology	DA1149
sperm histone	FA2532
sperm-binding glycoprotein ZP2	FA2474
sperm-binding glycoprotein ZP3	FA1446
sperm-binding glycoprotein ZP3  superfamily	SA3065
spermatid transition protein 1	FA2491
spermatid transition protein 2	FA2492
stage III sporulation protein homology	DA3767
statherin/histatin signal sequence homology	DA2758
stathmin	FA1448
stearoyl-CoA desaturase homology	DA2248
steroid hormone receptor Ad4BP	FA2291
submandibular gland 14K protein  superfamily	SA3053
substance P precursor	FA1347
subtilisin homology	DA0936
subtilisin-like proteinase PACE4	FA2789
subtilisin-like proteinase PACE4  superfamily	SA1551
succinate--CoA ligase (ADP-forming) alpha chain	FA0554
sucrase/isomaltase homology	DA1601
sulfite oxidase	FA2784
superoxide dismutase	FA2847
synaptotagmin	FA2493
system b(0,+) amino acid transporter-involved protein	FA1585
tartrate-resistant acid phosphatase	FA1794
tenascin	FA1450
tetranectin  superfamily	SA1576
thiamin pyrophosphate-binding domain homology	DA1200
thimet oligopeptidase	FA1731
thimet oligopeptidase  superfamily	SA3087
thioredoxin	FA1220
thioredoxin  superfamily	SA1577
thioredoxin homology	DA1079
thiosulfate sulfurtransferase	FA2039
threonine dehydratase  superfamily	SA0519
threonine--tRNA ligase  superfamily	SA0649
thrombin	FA2059
thrombomodulin	FA2578
thrombospondin 1	FA1555
thrombospondin 3	FA2470
thrombospondin type 1 repeat homology	DA1201
thrombospondin type 1 repeat homology - 6 repeat proteins	DA1556
thymidine kinase	FA0191
thymidylate synthase homology	DA1604
thymosin beta	FA2063
thyroglobulin type I repeat homology	DA1619
thyroid hormone receptor	FA0408
thyroid peroxidase	FA1977
thyroliberin precursor	FA2032
thyroliberin precursor  superfamily	SA3261
tissue factor	FA0991
tissue factor pathway inhibitor	FA2062
tissue plasminogen activator	FA2081
transcription factor AP-2	FA4294
transcription factor Brn-5	FA3339
transcription factor ER81	FA3002
transcription factor GATA-1  superfamily	SA3345
transcription factor HNF-1	FA2759
transcription factor HNF-1  superfamily	SA3115
transcription factor HNF-3  superfamily	SA1673
transcription factor Oct-1	FA1474
transcription factor Oct-3  superfamily	SA3341
transcription factor Pit-1	FA3330
transcription factor elg  superfamily	SA3270
transcription factor erg	FA2072
transcription factor ets	FA0411
transcription factor isl-1	FA3249
transcription factor isl-1  superfamily	SA3146
transcription initiation factor IIB	FA2286
transcription initiation factor IIB  superfamily	SA2287
transcription initiation factor IIB homology	DA4307
transferrin	FA0907
transferrin receptor	FA2603
transferrin repeat homology	DA3413
transforming growth factor alpha precursor	FA2094
transforming growth factor beta receptor type III	FA2598
transitional endoplasmic reticulum ATPase	FA2084
translation elongation factor 2	FA1768
translation elongation factor Tu	FA0753
translation elongation factor eEF-1 beta chain  superfamily	SA1393
translation elongation factor eEF-1 gamma chain	FA2148
translation initiation factor eIF-2 alpha chain	FA1399
translation initiation factor eIF-2 gamma chain	FA4335
translation initiation factor eIF-4A  superfamily	SA0762
translation initiation factor eIF-4E	FA1400
translation initiation factor eIF-5A	FA0761
translation releasing factor eRF-1	FA1769
transthyretin	FA0433
trefoil homology	DA1080
triacylglycerol lipase	FA1945
triacylglycerol lipase, lingual	FA1946
trichohyalin	FA2469
triose-phosphate isomerase	FA0175
troponin I	FA0400
troponin T	FA0911
trpG homology	DA1578
trypsin	FA2064
trypsin  superfamily	SA2887
trypsin homology	DA1082
tubulin	FA0922
tumor necrosis factor	FA2015
tumor necrosis factor receptor type 1	FA1242
tumor necrosis factor receptor type 2	FA1453
type I dihydrofolate reductase	FA0353
type I dihydrofolate reductase homology	DA1590
ubiquinol--cytochrome-c reductase 11K protein  superfamily	SA2275
ubiquinol--cytochrome-c reductase 11K protein homology	DA1196
ubiquinol--cytochrome-c reductase 14K protein  superfamily	SA2276
ubiquitin	FA2894
ubiquitin / rat ribosomal protein S27a	FA0427
ubiquitin homology	DA1217
ubiquitin--protein ligase homology	DA4408
ubiquitin-activating enzyme E1	FA1454
ubiquitin/ribosomal protein CEP52	FA0426
unassigned collagens	FA3714
uracil-DNA glycosylase  superfamily	SA1877
urate oxidase	FA2338
urate oxidase  superfamily	SA1150
urokinase-type plasminogen activator	FA0425
urokinase-type plasminogen activator  superfamily	SA3524
uromodulin	FA2457
uteroglobin  superfamily	SA2449
vacuolar H+-transporting ATPase 16K chain	FA2009
vacuolar H+-transporting ATPase 69K chain	FA2957
versican	FA3336
vertebrate rhodopsin	FA2690
villin headpiece homology	DA1152
vinculin amino-terminal homology	DA1517
vinculin carboxyl-terminal homology	DA1516
von Willebrand factor	FA2686
von Willebrand factor type A repeat homology	DA2160
von Willebrand factor type C repeat homology	DA1620
xanthine dehydrogenase	FA2637
xanthine dehydrogenase  superfamily	SA2695
xylulokinase  superfamily	SA3185
yeast coatomer complex alpha chain  superfamily	SA3451
yeast isocitrate dehydrogenase	FA1870
zinc transporter ZnT-2  superfamily	SA3398
