ribosomal chaperone activity	GO:0000005
small GTPase regulatory/interacting protein activity	GO:0005083
Rab escort protein activity	GO:0005084
guanyl-nucleotide exchange factor activity	GO:0005085
ARF guanyl-nucleotide exchange factor activity	GO:0005086
Ran guanyl-nucleotide exchange factor activity	GO:0005087
Ras guanyl-nucleotide exchange factor activity	GO:0005088
Rho guanyl-nucleotide exchange factor activity	GO:0005089
Sar guanyl-nucleotide exchange factor activity	GO:0005090
guanyl-nucleotide exchange factor adaptor activity	GO:0005091
GDP-dissociation inhibitor activity	GO:0005092
RAB GDP-dissociation inhibitor activity	GO:0005093
Rho GDP-dissociation inhibitor activity	GO:0005094
GTPase inhibitor activity	GO:0005095
GTPase activator activity	GO:0005096
Rab GTPase activator activity	GO:0005097
Ran GTPase activator activity	GO:0005098
Ras GTPase activator activity	GO:0005099
Rho GTPase activator activity	GO:0005100
Sar GTPase activator activity	GO:0005101
receptor binding	GO:0005102
baboon binding	GO:0005103
fibroblast growth factor receptor binding	GO:0005104
type 1 fibroblast growth factor receptor binding	GO:0005105
frizzled binding	GO:0005109
frizzled-2 binding	GO:0005110
type 2 fibroblast growth factor receptor binding	GO:0005111
Notch binding	GO:0005112
patched binding	GO:0005113
punt binding	GO:0005114
receptor tyrosine kinase-like orphan receptor binding	GO:0005115
saxophone binding	GO:0005116
wishful thinking binding	GO:0005117
sevenless binding	GO:0005118
smoothened binding	GO:0005119
thickveins binding	GO:0005120
Toll binding	GO:0005121
torso binding	GO:0005122
death receptor binding	GO:0005123
scavenger receptor binding	GO:0005124
cytokine activity	GO:0005125
hematopoietin/interferon-class (D200-domain) cytokine receptor binding	GO:0005126
ciliary neurotrophic factor receptor binding	GO:0005127
erythropoietin receptor binding	GO:0005128
granulocyte macrophage colony-stimulating factor receptor binding	GO:0005129
granulocyte colony-stimulating factor receptor binding	GO:0005130
growth hormone receptor binding	GO:0005131
interferon-alpha/beta receptor binding	GO:0005132
interferon-gamma receptor binding	GO:0005133
interleukin-2 receptor binding	GO:0005134
interleukin-3 receptor binding	GO:0005135
interleukin-4 receptor binding	GO:0005136
interleukin-5 receptor binding	GO:0005137
interleukin-6 receptor binding	GO:0005138
interleukin-7 receptor binding	GO:0005139
interleukin-9 receptor binding	GO:0005140
interleukin-10 receptor binding	GO:0005141
interleukin-11 receptor binding	GO:0005142
interleukin-12 receptor binding	GO:0005143
interleukin-13 receptor binding	GO:0005144
interleukin-14 receptor binding	GO:0005145
leukemia inhibitory factor receptor binding	GO:0005146
oncostatin-M receptor binding	GO:0005147
prolactin receptor binding	GO:0005148
interleukin-1 receptor binding	GO:0005149
interleukin-1\, Type I receptor binding	GO:0005150
interleukin-1\, Type II receptor binding	GO:0005151
interleukin-1 receptor antagonist activity	GO:0005152
interleukin-8 receptor binding	GO:0005153
epidermal growth factor receptor binding	GO:0005154
epidermal growth factor receptor activating ligand activity	GO:0005155
epidermal growth factor receptor inhibiting ligand activity	GO:0005156
macrophage colony stimulating factor receptor binding	GO:0005157
insulin receptor binding	GO:0005158
insulin-like growth factor receptor binding	GO:0005159
transforming growth factor-beta receptor binding	GO:0005160
platelet-derived growth factor receptor binding	GO:0005161
nerve growth factor receptor binding	GO:0005163
tumor necrosis factor receptor binding	GO:0005164
neurotrophin receptor binding	GO:0005165
neurotrophin p75 receptor binding	GO:0005166
neurotrophin TRK receptor binding	GO:0005167
neurotrophin TRKA receptor binding	GO:0005168
neurotrophin TRKB receptor binding	GO:0005169
neurotrophin TRKC receptor binding	GO:0005170
hepatocyte growth factor receptor binding	GO:0005171
vascular endothelial growth factor receptor binding	GO:0005172
stem cell factor receptor binding	GO:0005173
CD40 receptor binding	GO:0005174
CD27 receptor binding	GO:0005175
Neu/ErbB-2 receptor binding	GO:0005176
integrin binding	GO:0005178
hormone activity	GO:0005179
luteinizing hormone-releasing factor activity	GO:0005183
neuropeptide hormone activity	GO:0005184
neurohypophyseal hormone activity	GO:0005185
pheromone activity	GO:0005186
cell adhesion molecule activity	GO:0005194
structural molecule activity	GO:0005198
structural constituent of cell wall	GO:0005199
structural constituent of cytoskeleton	GO:0005200
extracellular matrix structural constituent	GO:0005201
structural constituent of eye lens	GO:0005212
structural constituent of chorion (sensu Insecta)	GO:0005213
structural constituent of cuticle (sensu Insecta) activity	GO:0005214
transporter activity	GO:0005215
ion channel activity	GO:0005216
intracellular ligand-gated ion channel activity	GO:0005217
intracellular ligand-gated calcium channel activity	GO:0005218
ryanodine-sensitive calcium-release channel activity	GO:0005219
inositol 1\,4\,5-triphosphate-sensitive calcium-release channel activity	GO:0005220
intracellular cyclic nucleotide activated cation channel activity	GO:0005221
intracellular cAMP activated cation channel activity	GO:0005222
intracellular cGMP activated cation channel activity	GO:0005223
ATP-binding and phosphorylation-dependent chloride channel activity	GO:0005224
volume-sensitive anion channel activity	GO:0005225
calcium activated cation channel activity	GO:0005227
intracellular sodium activated potassium channel activity	GO:0005228
intracellular calcium activated chloride channel activity	GO:0005229
extracellular ligand-gated ion channel activity	GO:0005230
excitatory extracellular ligand-gated ion channel activity	GO:0005231
serotonin-activated cation-selective channel activity	GO:0005232
glutamate-gated ion channel activity	GO:0005234
inhibitory extracellular ligand-gated ion channel activity	GO:0005237
inward rectifier potassium channel activity	GO:0005242
gap-junction forming channel activity	GO:0005243
voltage-gated ion channel activity	GO:0005244
voltage-gated calcium channel activity	GO:0005245
calcium channel regulator activity	GO:0005246
voltage-gated chloride channel activity	GO:0005247
voltage-gated sodium channel activity	GO:0005248
voltage-gated potassium channel activity	GO:0005249
A-type (transient outward) potassium channel activity	GO:0005250
delayed rectifier potassium channel activity	GO:0005251
open rectifier potassium channel activity	GO:0005252
anion channel activity	GO:0005253
chloride channel activity	GO:0005254
channel-conductance-controlling ATPase activity	GO:0005260
cation channel activity	GO:0005261
calcium channel activity	GO:0005262
potassium channel activity	GO:0005267
sodium channel activity	GO:0005272
allantoin permease activity	GO:0005274
amine/polyamine transporter activity	GO:0005275
hydrogen\:vesicular amine antiporter activity	GO:0005276
acetylcholine transporter activity	GO:0005277
acetylcholine\:hydrogen antiporter activity	GO:0005278
amino acid-polyamine transporter activity	GO:0005279
hydrogen\:amino acid symporter activity	GO:0005280
general amino acid permease activity	GO:0005281
sodium\:amino acid transporter activity	GO:0005283
insulin-activated sodium/amino acid transporter activity	GO:0005284
sodium/excitatory amino acid symporter activity	GO:0005285
basic amino acid permease activity	GO:0005286
high-affinity basic amino acid transporter activity	GO:0005287
arginine permease activity	GO:0005288
high-affinity arginine transporter activity	GO:0005289
histidine transporter activity	GO:0005290
high affinity histidine permease activity	GO:0005291
high-affinity lysine transporter activity	GO:0005292
lysine permease activity	GO:0005293
neutral L-amino acid porter activity	GO:0005294
neutral amino acid\:sodium symporter activity	GO:0005295
proline permease activity	GO:0005296
hydrogen\:proline symporter activity	GO:0005297
proline\:sodium symporter activity	GO:0005298
tryptophan permease activity	GO:0005299
high-affinity tryptophan transporter activity	GO:0005300
valine/tyrosine/tryptophan permease activity	GO:0005301
tyrosine transporter activity	GO:0005302
valine transporter activity	GO:0005304
choline permease activity	GO:0005306
choline\:sodium symporter activity	GO:0005307
creatine transporter activity	GO:0005308
creatine\:sodium symporter activity	GO:0005309
dicarboxylic acid transporter activity	GO:0005310
sodium\:dicarboxylate/tricarboxylate symporter activity	GO:0005311
glutamate transporter activity	GO:0005313
high-affinity glutamate transporter activity	GO:0005314
inorganic phosphate transporter activity	GO:0005315
high affinity inorganic phosphate\:sodium symporter activity	GO:0005316
lipid transporter activity	GO:0005319
long-chain fatty acid transporter activity	GO:0005324
peroxisomal fatty acyl CoA transporter activity	GO:0005325
neurotransmitter transporter activity	GO:0005326
neurotransmitter\:sodium symporter activity	GO:0005328
dopamine transporter activity	GO:0005329
dopamine\:sodium symporter activity	GO:0005330
gamma-aminobutyric acid transporter activity	GO:0005331
GABA\:sodium symporter activity	GO:0005332
norepinephrine transporter activity	GO:0005333
noradrenaline\:sodium symporter activity	GO:0005334
serotonin\:sodium symporter activity	GO:0005335
nucleoside transporter activity	GO:0005337
nucleotide-sugar transporter activity	GO:0005338
nucleotide-sulfate transporter activity	GO:0005340
organic acid transporter activity	GO:0005342
organic acid\:sodium symporter activity	GO:0005343
oxygen transporter activity	GO:0005344
purine transporter activity	GO:0005345
purine ribonucleotide transporter activity	GO:0005346
ATP transporter activity	GO:0005347
pyrimidine transporter activity	GO:0005350
sugar porter activity	GO:0005351
alpha-glucoside\:hydrogen symporter activity	GO:0005352
fructose transporter activity	GO:0005353
galactose transporter activity	GO:0005354
glucose transporter activity	GO:0005355
hydrogen\:glucose transporter activity	GO:0005356
constitutive hydrogen\:glucose transporter activity	GO:0005357
high-affinity hydrogen\:glucose transporter activity	GO:0005358
low-affinity hydrogen\:glucose transporter activity	GO:0005359
insulin-responsive hydrogen\:glucose transporter activity	GO:0005360
transepithelial hydrogen\:glucose transporter activity	GO:0005361
low-affinity glucose\:sodium symporter activity	GO:0005362
maltose transporter activity	GO:0005363
maltose\:hydrogen symporter activity	GO:0005364
myo-inositol transporter activity	GO:0005365
myo-inositol\:hydrogen symporter activity	GO:0005366
myo-inositol\:sodium symporter activity	GO:0005367
taurine transporter activity	GO:0005368
taurine\:sodium symporter activity	GO:0005369
tricarboxylate carrier activity	GO:0005371
water transporter activity	GO:0005372
copper ion transporter activity	GO:0005375
iron ion transporter activity	GO:0005381
transmembrane iron ion permease activity	GO:0005382
manganese ion transporter activity	GO:0005384
zinc ion transporter activity	GO:0005385
carrier activity	GO:0005386
calcium-transporting ATPase activity	GO:0005388
sodium/potassium-exchanging ATPase activity	GO:0005391
eye pigment precursor transporter activity	GO:0005395
transmembrane conductance regulator activity	GO:0005396
cation\:sugar symporter activity	GO:0005402
hydrogen\:sugar symporter-transporter activity	GO:0005403
glucose\:sodium symporter activity	GO:0005412
nucleoside\:sodium symporter activity	GO:0005415
cation\:amino acid symporter activity	GO:0005416
proton-dependent oligopeptide transporter activity	GO:0005427
chromaffin granule amine transporter activity	GO:0005429
synaptic vesicle amine transporter activity	GO:0005430
calcium\:sodium antiporter activity	GO:0005432
sodium\:phosphate symporter activity	GO:0005436
monovalent cation\:proton antiporter activity	GO:0005451
inorganic anion exchanger activity	GO:0005452
CMP-sialic acid transporter activity	GO:0005456
GDP-fucose transporter activity	GO:0005457
GDP-mannose transporter activity	GO:0005458
UDP-galactose transporter activity	GO:0005459
UDP-glucose transporter activity	GO:0005460
UDP-glucuronic acid transporter activity	GO:0005461
UDP-N-acetylglucosamine transporter activity	GO:0005462
UDP-N-acetylgalactosamine transporter activity	GO:0005463
UDP-xylose transporter activity	GO:0005464
succinate/fumarate antiporter activity	GO:0005469
ATP/ADP antiporter activity	GO:0005471
flavin adenine dinucleotide carrier activity	GO:0005472
carnitine/acyl carnitine carrier activity	GO:0005476
pyruvate carrier activity	GO:0005477
intracellular transporter activity	GO:0005478
soluble NSF attachment protein activity	GO:0005483
SNAP receptor activity	GO:0005484
v-SNARE activity	GO:0005485
t-SNARE activity	GO:0005486
nucleocytoplasmic transporter activity	GO:0005487
binding	GO:0005488
electron transporter activity	GO:0005489
steroid binding	GO:0005496
androgen binding	GO:0005497
sterol carrier activity	GO:0005498
vitamin D binding	GO:0005499
juvenile hormone binding	GO:0005500
retinoid binding	GO:0005501
11-cis retinal binding	GO:0005502
all-trans retinal binding	GO:0005503
fatty acid binding	GO:0005504
iron ion binding	GO:0005506
copper ion binding	GO:0005507
calcium ion binding	GO:0005509
calcium ion storage activity	GO:0005514
protein binding	GO:0005515
calmodulin binding	GO:0005516
calmodulin inhibitor activity	GO:0005517
collagen binding	GO:0005518
cytoskeletal regulatory protein binding	GO:0005519
insulin-like growth factor binding	GO:0005520
lamin binding	GO:0005521
profilin binding	GO:0005522
tropomyosin binding	GO:0005523
ATP binding	GO:0005524
GTP binding	GO:0005525
macrolide binding	GO:0005527
FK506 binding	GO:0005528
sugar binding	GO:0005529
galactose binding	GO:0005534
glucose binding	GO:0005536
mannose binding	GO:0005537
glycosaminoglycan binding	GO:0005539
hyaluronic acid binding	GO:0005540
acyl-CoA or acyl binding	GO:0005541
folic acid binding	GO:0005542
phospholipid binding	GO:0005543
calcium-dependent phospholipid binding	GO:0005544
phosphatidylinositol binding	GO:0005545
phosphatidylinositol-4\,5-bisphosphate binding	GO:0005546
phosphatidylinositol-3\,4\,5-triphosphate binding	GO:0005547
phospholipid transporter activity	GO:0005548
odorant binding	GO:0005549
pheromone binding	GO:0005550
molecular_function unknown	GO:0005554
chemokine activity	GO:0008009
structural constituent of larval cuticle (sensu Insecta) activity	GO:0008010
structural constituent of pupal cuticle (sensu Insecta) activity	GO:0008011
structural constituent of adult cuticle (sensu Insecta) activity	GO:0008012
beta-catenin binding	GO:0008013
calcium-dependent cell adhesion molecule activity	GO:0008014
microtubule binding	GO:0008017
macrophage receptor activity	GO:0008019
G-protein coupled photoreceptor activity	GO:0008020
protein C-terminus binding	GO:0008022
diazepam-binding inhibitor activity	GO:0008025
ATP dependent helicase activity	GO:0008026
sodium/excitatory glutamate symporter activity	GO:0008027
monocarboxylic acid transporter activity	GO:0008028
pentraxin receptor activity	GO:0008029
neuronal pentraxin receptor activity	GO:0008030
eclosion hormone activity	GO:0008031
lipoprotein binding	GO:0008034
high-density lipoprotein binding	GO:0008035
diuretic hormone receptor activity	GO:0008036
axon guidance receptor activity	GO:0008046
enzyme activator activity	GO:0008047
calcium sensitive guanylate cyclase activator activity	GO:0008048
ARF GTPase activator activity	GO:0008060
chitin binding	GO:0008061
glutamate receptor activity	GO:0008066
metabotropic glutamate\, GABA-B-like receptor activity	GO:0008067
glutamate-gated chloride channel activity	GO:0008068
ornithine decarboxylase inhibitor activity	GO:0008073
Hsp70/Hsp90 organizing protein activity	GO:0008077
translation termination factor activity	GO:0008079
N-acetyltransferase activity	GO:0008080
phosphoric diester hydrolase activity	GO:0008081
growth factor activity	GO:0008083
imaginal disc growth factor activity	GO:0008084
light-activated voltage-gated calcium channel activity	GO:0008086
cytoskeletal protein binding	GO:0008092
cytoskeletal adaptor activity	GO:0008093
DNA dependent ATPase activity	GO:0008094
inositol-1\,4\,5-triphosphate receptor activity	GO:0008095
juvenile hormone epoxide hydrolase activity	GO:0008096
5S RNA binding	GO:0008097
5S RNA primary transcript binding	GO:0008098
alcohol dehydrogenase (NADP+) activity	GO:0008106
galactoside 2-alpha-L-fucosyltransferase activity	GO:0008107
UDP-glucose-hexose-1-phosphate uridylyltransferase activity	GO:0008108
N-acetyllactosaminide beta-1\,6-N-acetylglucosaminyltransferase activity	GO:0008109
histidine aminotransferase activity	GO:0008110
alpha-methylacyl-CoA racemase activity	GO:0008111
nicotinamide N-methyltransferase activity	GO:0008112
protein-methionine-S-oxide reductase activity	GO:0008113
6-phosphogluconate 2-dehydrogenase activity	GO:0008114
sarcosine oxidase activity	GO:0008115
prostaglandin-I synthase activity	GO:0008116
sphinganine-1-phosphate aldolase activity	GO:0008117
N-acetyllactosaminide alpha-2\,3-sialyltransferase activity	GO:0008118
thiopurine S-methyltransferase activity	GO:0008119
ceramide glucosyltransferase activity	GO:0008120
ubiquinol-cytochrome c reductase activity	GO:0008121
amine oxidase (copper-containing) activity	GO:0008122
cholesterol 7-alpha-monooxygenase activity	GO:0008123
4a-hydroxytetrahydrobiopterin dehydratase activity	GO:0008124
pancreatic elastase I activity	GO:0008125
acetylesterase activity	GO:0008126
quercetin 2\,3-dioxygenase activity	GO:0008127
actinidain activity	GO:0008129
neutrophil collagenase activity	GO:0008130
amine oxidase activity	GO:0008131
pancreatic elastase activity	GO:0008132
collagenase activity	GO:0008133
transcription factor binding	GO:0008134
translation factor activity\, nucleic acid binding	GO:0008135
NADH dehydrogenase (ubiquinone) activity	GO:0008137
protein tyrosine/serine/threonine phosphatase activity	GO:0008138
nuclear localization sequence binding	GO:0008139
cAMP response element binding protein binding	GO:0008140
puparial glue (sensu Diptera)	GO:0008141
oxysterol binding	GO:0008142
poly(A) binding	GO:0008143
drug binding	GO:0008144
phenylalkylamine binding	GO:0008145
sulfotransferase activity	GO:0008146
structural constituent of bone	GO:0008147
negative transcription elongation factor activity	GO:0008148
protein phosphatase 1 binding	GO:0008157
hedgehog receptor activity	GO:0008158
positive transcription elongation factor activity	GO:0008159
protein tyrosine phosphatase activator activity	GO:0008160
methyltransferase activity	GO:0008168
C-methyltransferase activity	GO:0008169
N-methyltransferase activity	GO:0008170
O-methyltransferase activity	GO:0008171
S-methyltransferase activity	GO:0008172
RNA methyltransferase activity	GO:0008173
mRNA methyltransferase activity	GO:0008174
tRNA methyltransferase activity	GO:0008175
tRNA (guanine-N7-)-methyltransferase activity	GO:0008176
succinate dehydrogenase (ubiquinone) activity	GO:0008177
adenylate cyclase binding	GO:0008179
glycogen phosphorylase activity	GO:0008184
transforming growth factor-alpha receptor binding	GO:0008185
RNA dependent ATPase activity	GO:0008186
poly-pyrimidine tract binding	GO:0008187
neuropeptide receptor activity	GO:0008188
apoptosis inhibitor activity	GO:0008189
eukaryotic initiation factor 4E binding	GO:0008190
metalloendopeptidase inhibitor activity	GO:0008191
RNA guanylyltransferase activity	GO:0008192
tRNA guanylyltransferase activity	GO:0008193
UDP-glycosyltransferase activity	GO:0008194
phosphatidate phosphatase activity	GO:0008195
vitellogenin receptor activity	GO:0008196
ferrous iron binding	GO:0008198
ferric iron binding	GO:0008199
ion channel inhibitor activity	GO:0008200
heparin binding	GO:0008201
Gram-positive antibacterial peptide activity	GO:0008224
Gram-negative antibacterial peptide activity	GO:0008225
tyramine receptor activity	GO:0008226
amine receptor activity	GO:0008227
peptidase activity	GO:0008233
cysteine-type peptidase activity	GO:0008234
metalloexopeptidase activity	GO:0008235
serine-type peptidase activity	GO:0008236
metallopeptidase activity	GO:0008237
exopeptidase activity	GO:0008238
dipeptidyl-peptidase activity	GO:0008239
tripeptidyl-peptidase activity	GO:0008240
peptidyl-dipeptidase activity	GO:0008241
omega peptidase activity	GO:0008242
plasminogen activator activity	GO:0008243
pre-mRNA splicing factor activity	GO:0008248
tRNA specific adenosine deaminase activity	GO:0008251
nucleotidase activity	GO:0008252
5'-nucleotidase activity	GO:0008253
3'-nucleotidase activity	GO:0008254
ecdysis-triggering hormone activity	GO:0008255
protein histidine pros-kinase activity	GO:0008256
protein histidine tele-kinase activity	GO:0008257
3-oxoacid CoA-transferase activity	GO:0008260
allatostatin receptor activity	GO:0008261
importin-alpha export receptor activity	GO:0008262
pyrimidine-specific mismatch base pair DNA N-glycosylase activity	GO:0008263
Mo-molybdopterin cofactor sulfurase activity	GO:0008265
poly(U) binding	GO:0008266
poly-glutamine tract binding	GO:0008267
receptor signaling protein tyrosine kinase signaling protein activity	GO:0008268
JAK pathway signal transduction adaptor activity	GO:0008269
zinc ion binding	GO:0008270
sulfate porter activity	GO:0008271
calcium\, potassium\:sodium antiporter activity	GO:0008273
protein methyltransferase activity	GO:0008276
sulfonylurea receptor activity	GO:0008281
boss receptor activity	GO:0008288
lipid binding	GO:0008289
calcium/calmodulin-responsive adenylate cyclase activity	GO:0008294
3'-5' exodeoxyribonuclease activity	GO:0008296
single-stranded DNA specific exodeoxyribonuclease activity	GO:0008297
DNA bending activity	GO:0008301
structural constituent of muscle	GO:0008307
voltage-dependent ion-selective channel activity	GO:0008308
double-stranded DNA specific exodeoxyribonuclease activity	GO:0008309
single-stranded DNA specific 3'-5' exodeoxyribonuclease activity	GO:0008310
double-stranded DNA specific 3'-5' exodeoxyribonuclease activity	GO:0008311
7S RNA binding	GO:0008312
gurken receptor activity	GO:0008313
structural constituent of vitelline membrane (sensu Insecta)	GO:0008316
gurken receptor binding	GO:0008317
protein prenyltransferase activity	GO:0008318
prenyl protein specific endopeptidase activity	GO:0008319
protein carrier activity	GO:0008320
Ral guanyl-nucleotide exchange factor activity	GO:0008321
pro-X carboxypeptidase activity	GO:0008322
cation transporter activity	GO:0008324
site-specific DNA-methyltransferase (cytosine-specific) activity	GO:0008326
methyl-CpG binding	GO:0008327
pattern recognition receptor activity	GO:0008329
protein tyrosine/threonine phosphatase activity	GO:0008330
high voltage-gated calcium channel activity	GO:0008331
low voltage-gated calcium channel activity	GO:0008332
gamma-butyrobetaine\,2-oxoglutarate dioxygenase activity	GO:0008336
MAP kinase 1 activity	GO:0008338
MP kinase activity	GO:0008339
MAP kinase kinase kinase kinase activity	GO:0008349
kinetochore motor activity	GO:0008350
microtubule severing activity	GO:0008351
[RNA-polymerase]-subunit kinase activity	GO:0008353
bacterial binding	GO:0008367
Gram-negative bacterial binding	GO:0008368
sialyltransferase activity	GO:0008373
O-acyltransferase activity	GO:0008374
acetylglucosaminyltransferase activity	GO:0008375
acetylgalactosaminyltransferase activity	GO:0008376
galactosyltransferase activity	GO:0008378
thioredoxin peroxidase activity	GO:0008379
mechanically-gated ion channel activity	GO:0008381
iron superoxide dismutase activity	GO:0008382
manganese superoxide dismutase activity	GO:0008383
IkappaB kinase activity	GO:0008384
cholesterol monooxygenase (side-chain cleaving) activity	GO:0008386
steroid 7-alpha-hydroxylase activity	GO:0008387
testosterone 15-alpha-hydroxylase activity	GO:0008388
coumarin 7-hydroxylase activity	GO:0008389
testosterone 16-alpha-hydroxylase activity	GO:0008390
arachidonic acid monooxygenase activity	GO:0008391
arachidonic acid epoxygenase activity	GO:0008392
fatty acid (omega-1)-hydroxylase activity	GO:0008393
olfactory-specific steroid hydroxylase activity	GO:0008394
steroid hydroxylase activity	GO:0008395
oxysterol 7-alpha-hydroxylase activity	GO:0008396
sterol 12-alpha-hydroxylase activity	GO:0008397
sterol 14-demethylase activity	GO:0008398
naphthalene hydroxylase activity	GO:0008399
retinoic acid 4-hydroxylase activity	GO:0008401
aromatase activity	GO:0008402
25-hydroxycholecalciferol-24-hydroxylase activity	GO:0008403
arachidonic acid 14\,15-epoxygenase activity	GO:0008404
arachidonic acid 11\,12-epoxygenase activity	GO:0008405
3'-5' exonuclease activity	GO:0008408
5'-3' exonuclease activity	GO:0008409
CoA-transferase activity	GO:0008410
4-hydroxybutyrate CoA-transferase activity	GO:0008411
4-hydroxybenzoate octaprenyltransferase activity	GO:0008412
7\,8-dihydro-8-oxoguanine-triphosphatase activity	GO:0008413
CDP-alcohol phosphotransferase activity	GO:0008414
acyltransferase activity	GO:0008415
delta\,5-delta2\,4-dienoyl-CoA isomerase activity	GO:0008416
fucosyltransferase activity	GO:0008417
protein N-terminal asparagine amidohydrolase activity	GO:0008418
RNA lariat debranching enzyme activity	GO:0008419
CTD phosphatase activity	GO:0008420
long-chain-fatty-acyl-glutamate deacylase activity	GO:0008421
beta-glucosidase activity	GO:0008422
bleomycin hydrolase activity	GO:0008423
glycoprotein 6-alpha-L-fucosyltransferase activity	GO:0008424
ubiquinone biosynthesis methyltransferase activity	GO:0008425
protein kinase C inhibitor activity	GO:0008426
calcium-dependent protein kinase inhibitor activity	GO:0008427
ribonuclease inhibitor activity	GO:0008428
phosphatidylethanolamine binding	GO:0008429
selenium binding	GO:0008430
tocopherol binding	GO:0008431
JUN kinase binding	GO:0008432
vitamin D3 receptor activity	GO:0008434
anticoagulant activity	GO:0008435
thyrotropin-releasing hormone activity	GO:0008437
monophenol monooxygenase activator activity	GO:0008439
1D-myo-inositol-trisphosphate 3-kinase activity	GO:0008440
3'(2')\,5'-bisphosphate nucleotidase activity	GO:0008441
3-hydroxyisobutyrate dehydrogenase activity	GO:0008442
phosphofructokinase activity	GO:0008443
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	GO:0008444
D-aspartate oxidase activity	GO:0008445
GDP-mannose 4\,6-dehydratase activity	GO:0008446
L-ascorbate oxidase activity	GO:0008447
N-acetylglucosamine-6-phosphate deacetylase activity	GO:0008448
N-acetylglucosamine-6-sulfatase activity	GO:0008449
O-sialoglycoprotein endopeptidase activity	GO:0008450
Xaa-Pro aminopeptidase activity	GO:0008451
RNA ligase activity	GO:0008452
alanine-glyoxylate aminotransferase activity	GO:0008453
alpha-1\,3-mannosylglycoprotein beta-1\,4-N-acetylglucosaminyltransferase activity	GO:0008454
alpha-1\,6-mannosylglycoprotein beta-1\,2-N-acetylglucosaminyltransferase activity	GO:0008455
alpha-N-acetylgalactosaminidase activity	GO:0008456
beta-galactosyl-N-acetylglucosaminylgalactosyl-glucosylceramide beta-1\,3-acetylglucosaminyltransferase activity	GO:0008457
carnitine O-octanoyltransferase activity	GO:0008458
chondroitin 6-sulfotransferase activity	GO:0008459
dTDP-glucose 4\,6-dehydratase activity	GO:0008460
endopeptidase Clp activity	GO:0008462
formylmethionine deformylase activity	GO:0008463
gamma-glutamyl hydrolase activity	GO:0008464
glycerate dehydrogenase activity	GO:0008465
glycogenin glucosyltransferase activity	GO:0008466
heparin-glucosamine 3-O-sulfotransferase activity	GO:0008467
histone-arginine N-methyltransferase activity	GO:0008469
isovaleryl-CoA dehydrogenase activity	GO:0008470
laccase activity	GO:0008471
metallocarboxypeptidase D activity	GO:0008472
ornithine cyclodeaminase activity	GO:0008473
palmitoyl-protein hydrolase activity	GO:0008474
procollagen-lysine 5-dioxygenase activity	GO:0008475
protein-tyrosine sulfotransferase activity	GO:0008476
purine nucleosidase activity	GO:0008477
pyridoxal kinase activity	GO:0008478
queuine tRNA-ribosyltransferase activity	GO:0008479
sarcosine dehydrogenase activity	GO:0008480
sphinganine kinase activity	GO:0008481
sulfite oxidase activity	GO:0008482
transaminase activity	GO:0008483
sulfuric ester hydrolase activity	GO:0008484
2\,5-diamino-6-(ribosylamino)-4(3H)-pyrimidonone 5'-phosphate deaminase activity	GO:0008485
diphosphoinositol-polyphosphate diphosphatase activity	GO:0008486
prenyl-dependent CAAX protease activity	GO:0008487
gamma-glutamyl carboxylase activity	GO:0008488
UDP-galactose-glucosylceramide beta-1\,4-galactosyltransferase activity	GO:0008489
arsenite porter activity	GO:0008490
cAMP generating peptide activity	GO:0008492
tetracycline transporter activity	GO:0008493
translation activator activity	GO:0008494
protoheme IX farnesyltransferase activity	GO:0008495
mannan endo-1\,6-alpha-mannosidase activity	GO:0008496
UDP-galactose beta-N-acetylglucosamine beta-1\,3-galactosyltransferase activity	GO:0008499
melatonin receptor activity	GO:0008502
benzodiazepine receptor activity	GO:0008503
monoamine transporter activity	GO:0008504
sucrose\:hydrogen symporter activity	GO:0008506
sodium\:iodide symporter activity	GO:0008507
bile acid\:sodium symporter activity	GO:0008508
anion transporter activity	GO:0008509
sodium\:bicarbonate symporter activity	GO:0008510
sodium\:chloride/potassium\:chloride symporter activity	GO:0008511
sulfate\:hydrogen symporter activity	GO:0008512
organic cation porter activity	GO:0008513
organic anion transporter activity	GO:0008514
sucrose transporter activity	GO:0008515
hexose uniporter activity	GO:0008516
folate transporter activity	GO:0008517
reduced folate carrier activity	GO:0008518
ammonium transporter activity	GO:0008519
L-ascorbate\:sodium symporter activity	GO:0008520
acetyl-CoA transporter activity	GO:0008521
sodium dependent multivitamin transporter activity	GO:0008523
glucose 6-phosphate\:phosphate antiporter activity	GO:0008524
phosphatidylcholine transporter activity	GO:0008525
phosphatidylinositol transporter activity	GO:0008526
taste receptor activity	GO:0008527
peptide receptor activity\, G-protein coupled	GO:0008528
riboflavin kinase activity	GO:0008531
N-acetyllactosaminide beta-1\,3-N-acetylglucosaminyltransferase activity	GO:0008532
astacin activity	GO:0008533
purine-specific oxidized base lesion DNA N-glycosylase activity	GO:0008534
RAN protein binding	GO:0008536
proteasome activator activity	GO:0008538
proteasome inhibitor activity	GO:0008539
JUN kinase kinase activity	GO:0008545
protein-synthesizing GTPase activity	GO:0008547
signal-recognition-particle GTPase activity	GO:0008548
dynamine GTPase activity	GO:0008549
tubulin GTPase activity	GO:0008550
cadmium-exporting ATPase activity	GO:0008551
zinc\, cadmium\, cobalt\, nickel\, lead-efflux ATPase activity	GO:0008552
