chip_vendor	chip_type	create_date	genome-species	genome-version	netaffx-annotation-netaffx-build	probeset_id	gene_symbol	gene_desc	chr_location	strand	refseq_accn
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203856_at	VRK1	vaccinia related kinase 1	chr14q32	-	NP_003375
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203857_s_at	PDIA5	protein disulfide isomerase family A, member 5	chr3q21.1	-	NP_006801
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203858_s_at	COX10	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)	chr17p12	-	NP_001294
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203859_s_at	PALM	paralemmin	chr19p13.3	-	NP_001035224|NP_002570
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203860_at	PCCA	propionyl CoA carboxylase, alpha polypeptide	chr13q32	-	NP_000273|NP_001121164|NP_001171475
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203861_s_at	ACTN2	actinin, alpha 2	chr1q42-q43	-	NP_001094
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203862_s_at	ACTN2	actinin, alpha 2	chr1q42-q43	-	NP_001094
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203863_at	ACTN2	actinin, alpha 2	chr1q42-q43	-	NP_001094
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203864_s_at	ACTN2	actinin, alpha 2	chr1q42-q43	-	NP_001094
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203865_s_at	ADARB1	adenosine deaminase, RNA-specific, B1	chr21q22.3	-	NP_001103|NP_001153702|NP_056648|NP_056649
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203866_at	NLE1	notchless homolog 1 (Drosophila)	chr17q12	-	NP_001014445|NP_060566
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203867_s_at	NLE1	notchless homolog 1 (Drosophila)	chr17q12	-	NP_001014445|NP_060566
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203868_s_at	VCAM1	vascular cell adhesion molecule 1	chr1p32-p31	-	NP_001069|NP_001186763|NP_542413
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203869_at	USP46	ubiquitin specific peptidase 46	chr4q12	-	NP_001127695|NP_073743
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203870_at	USP46	ubiquitin specific peptidase 46	chr4q12	-	NP_001127695|NP_073743
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203871_at	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	chr17p13	-	NP_056485
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203872_at	ACTA1	actin, alpha 1, skeletal muscle	chr1q42.13	-	NP_001091
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203873_at	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	chrXq25	-	NP_003060|NP_620604
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203874_s_at	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	chrXq25	-	NP_003060|NP_620604
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203875_at	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	chrXq25	-	NP_003060|NP_620604
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203876_s_at	MMP11	matrix metallopeptidase 11 (stromelysin 3)	chr22q11.23	-	NP_005931
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203877_at	MMP11	matrix metallopeptidase 11 (stromelysin 3)	chr22q11.23	-	NP_005931
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203878_s_at	MMP11	matrix metallopeptidase 11 (stromelysin 3)	chr22q11.23	-	NP_005931
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203879_at	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	chr1p36.2	-	NP_005017
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203880_at	COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	chr3q13.33	-	NP_005685
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203881_s_at	DMD	dystrophin	chrXp21.2	-	NP_000100|NP_003997|NP_003998|NP_004000|NP_004001|NP_004002|NP_004003|NP_004004|NP_004005|NP_004006|NP_004007|NP_004008|NP_004009|NP_004010|NP_004011|NP_004012|NP_004013|NP_004014
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203882_at	IRF9	interferon regulatory factor 9	chr14q11.2	-	NP_006075
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203883_s_at	RAB11FIP2	RAB11 family interacting protein 2 (class I)	chr10q26.11	-	NP_055719
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203884_s_at	RAB11FIP2	RAB11 family interacting protein 2 (class I)	chr10q26.11	-	NP_055719
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203885_at	RAB21	RAB21, member RAS oncogene family	chr12q21.1	-	NP_055814
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203886_s_at	FBLN2	fibulin 2	chr3p25.1	-	NP_001004019|NP_001158507|NP_001989
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203887_s_at	THBD	thrombomodulin	chr20p11.2	-	NP_000352
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203888_at	THBD	thrombomodulin	chr20p11.2	-	NP_000352
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203889_at	SCG5	secretogranin V (7B2 protein)	chr15q13-q14	-	NP_001138229|NP_003011
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203890_s_at	DAPK3	death-associated protein kinase 3	chr19p13.3	-	NP_001339
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203891_s_at	DAPK3	death-associated protein kinase 3	chr19p13.3	-	NP_001339
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203892_at	WFDC2	WAP four-disulfide core domain 2	chr20q12-q13.2	-	NP_006094
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203893_at	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	chr5q11.2-q13.1	-	NP_001015891|NP_001015892|NP_003178|NP_057367
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203894_at	TUBG2	tubulin, gamma 2	chr17q21	-	NP_057521
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203895_at	PLCB4	phospholipase C, beta 4	chr20p12	-	NP_000924|NP_001166117|NP_877949
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203896_s_at	PLCB4	phospholipase C, beta 4	chr20p12	-	NP_000924|NP_001166117|NP_877949
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203897_at	LYRM1	LYR motif containing 1	chr16p11.2	-	NP_001121773|NP_001121774|NP_065157
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203898_at	CRCP	CGRP receptor component	chr7q11.21	-	NP_001035737|NP_001035738|NP_001135886|NP_055293
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203899_s_at	CRCP	CGRP receptor component	chr7q11.21	-	NP_001035737|NP_001035738|NP_001135886|NP_055293
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203900_at	SZT2	seizure threshold 2 homolog (mouse)	chr1p34.2	-	NP_056099
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203901_at	TAB1	TGF-beta activated kinase 1/MAP3K7 binding protein 1	chr22q13.1	-	NP_006107|NP_705717
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203902_at	HEPH	hephaestin	chrXq11-q12	-	NP_001124332|NP_055614|NP_620074
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203903_s_at	HEPH	hephaestin	chrXq11-q12	-	NP_001124332|NP_055614|NP_620074
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203904_x_at	CD82	CD82 molecule	chr11p11.2	-	NP_001020015|NP_002222
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203905_at	PARN	poly(A)-specific ribonuclease	chr16p13	-	NP_001127949|NP_001229921|NP_002573
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203906_at	IQSEC1	IQ motif and Sec7 domain 1	chr3p25.2	-	NP_001127854|NP_055684
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203907_s_at	IQSEC1	IQ motif and Sec7 domain 1	chr3p25.2	-	NP_001127854|NP_055684
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203908_at	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4	chr4q21	-	NP_001091954|NP_001128214|NP_003750
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203909_at	SLC9A6	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6	chrXq26.3	-	NP_001036002|NP_001171122|NP_006350
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203910_at	ARHGAP29	Rho GTPase activating protein 29	chr1p22.1	-	NP_004806
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203911_at	RAP1GAP	RAP1 GTPase activating protein	chr1p36.1-p35	-	NP_001139129|NP_001139130|NP_002876
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203912_s_at	DNASE1L1	deoxyribonuclease I-like 1	chrXq28	-	NP_001009932|NP_001009933|NP_001009934|NP_006721
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203913_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	chr4q34-q35	-	NP_000851|NP_001139288|NP_001243230|NP_001243234|NP_001243235|NP_001243236
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	chr4q34-q35	-	NP_000851|NP_001139288|NP_001243230|NP_001243234|NP_001243235|NP_001243236
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203915_at	CXCL9	chemokine (C-X-C motif) ligand 9	chr4q21	-	NP_002407
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203916_at	NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	chr10q22	-	NP_003626
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203917_at	CXADR	coxsackie virus and adenovirus receptor	chr21q21.1	-	NP_001193992|NP_001193993|NP_001193994|NP_001193995|NP_001329
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203918_at	PCDH1	protocadherin 1	chr5q31.3	-	NP_002578|NP_115796
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203919_at	TCEA2	transcription elongation factor A (SII), 2	chr20q13.33	-	NP_003186|NP_942016
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203920_at	NR1H3	nuclear receptor subfamily 1, group H, member 3	chr11p11.2	-	NP_001123573|NP_001123574|NP_001238863|NP_001238864|NP_005684
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203921_at	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	chr3q24	-	NP_004258
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203922_s_at	CYBB	cytochrome b-245, beta polypeptide	chrXp21.1	-	NP_000388
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203923_s_at	CYBB	cytochrome b-245, beta polypeptide	chrXp21.1	-	NP_000388
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203924_at	GSTA1	glutathione S-transferase alpha 1	chr6p12.1	-	NP_665683
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203925_at	GCLM	glutamate-cysteine ligase, modifier subunit	chr1p22.1	-	NP_002052
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203926_x_at	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	chr19p13.3	-	NP_001001975|NP_001678
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203927_at	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	chr6p21.1	-	NP_004547
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203928_x_at	MAPT	microtubule-associated protein tau	chr17q21.1	-	NP_001116538|NP_001116539|NP_001190180|NP_001190181|NP_005901|NP_058518|NP_058519|NP_058525|XP_003403649|XP_003403650|XP_003403651|XP_003403652|XP_003403653|XP_003403654|XP_003403655|XP_003403656|XP_003403657
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203929_s_at	MAPT	microtubule-associated protein tau	chr17q21.1	-	NP_001116538|NP_001116539|NP_001190180|NP_001190181|NP_005901|NP_058518|NP_058519|NP_058525|XP_003403649|XP_003403650|XP_003403651|XP_003403652|XP_003403653|XP_003403654|XP_003403655|XP_003403656|XP_003403657
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203930_s_at	MAPT	microtubule-associated protein tau	chr17q21.1	-	NP_001116538|NP_001116539|NP_001190180|NP_001190181|NP_005901|NP_058518|NP_058519|NP_058525|XP_003403649|XP_003403650|XP_003403651|XP_003403652|XP_003403653|XP_003403654|XP_003403655|XP_003403656|XP_003403657
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203931_s_at	MRPL12	mitochondrial ribosomal protein L12	chr17q25	-	NP_002940
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203932_at	HLA-DMB	major histocompatibility complex, class II, DM beta	chr6p21.3	-	NP_002109
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203933_at	RAB11FIP3	RAB11 family interacting protein 3 (class II)	chr16p13.3	-	NP_001135744|NP_055515
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203934_at	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	chr4q11-q12	-	NP_002244
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203935_at	ACVR1	activin A receptor, type I	chr2q23-q24	-	NP_001096|NP_001104537
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203936_s_at	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	chr20q11.2-q13.1	-	NP_004985
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203937_s_at	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	chr16q24	-	NP_001230085|NP_001230086|NP_001230087|NP_001230088|NP_001230089|NP_005670|NP_647610
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203938_s_at	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	chr16q24	-	NP_001230085|NP_001230086|NP_001230087|NP_001230088|NP_001230089|NP_005670|NP_647610
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203939_at	NT5E	5'-nucleotidase, ecto (CD73)	chr6q14-q21	-	NP_001191742|NP_002517
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203940_s_at	VASH1	vasohibin 1	chr14q24.3	-	NP_055724
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203941_at	INTS9	integrator complex subunit 9	chr8p21.1	-	NP_001138631|NP_001166033|NP_060720
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203942_s_at	MARK2	MAP/microtubule affinity-regulating kinase 2	chr11q13.1	-	NP_001034558|NP_001156768|NP_001156769|NP_004945|NP_059672
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203943_at	KIF3B	kinesin family member 3B	chr20q11.21	-	NP_004789
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203944_x_at	BTN2A1	butyrophilin, subfamily 2, member A1	chr6p22.1	-	NP_001184162|NP_001184163|NP_008980|NP_510961
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203945_at	ARG2	arginase, type II	chr14q24.1	-	NP_001163
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203946_s_at	ARG2	arginase, type II	chr14q24.1	-	NP_001163
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203947_at	CSTF3	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa	chr11p13	-	NP_001028677|NP_001028678|NP_001317
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203948_s_at	MPO	myeloperoxidase	chr17q23.1	-	NP_000241
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203949_at	MPO	myeloperoxidase	chr17q23.1	-	NP_000241
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203950_s_at	CLCN6	chloride channel, voltage-sensitive 6	chr1p36	-	NP_001243888|NP_001277|NP_068503|NP_068504|NP_068505
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203951_at	CNN1	calponin 1, basic, smooth muscle	chr19p13.2-p13.1	-	NP_001290
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203952_at	ATF6	activating transcription factor 6	chr1q22-q23	-	NP_031374
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203953_s_at	CLDN3	claudin 3	chr7q11.23	-	NP_001297
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203954_x_at	CLDN3	claudin 3	chr7q11.23	-	NP_001297
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203955_at	PPP1R26	protein phosphatase 1, regulatory subunit 26	chr9q34.3	-	NP_055626
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203956_at	MORC2	MORC family CW-type zinc finger 2	chr22q12.2	-	NP_055756
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203957_at	E2F6	E2F transcription factor 6	chr2p25.1	-	NP_937987
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203958_s_at	ZBTB40	zinc finger and BTB domain containing 40	chr1p36	-	NP_001077090|NP_055685
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203959_s_at	ZBTB40	zinc finger and BTB domain containing 40	chr1p36	-	NP_001077090|NP_055685
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203960_s_at	HSPB11	heat shock protein family B (small), member 11	chr1p32	-	NP_057210
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203961_at	NEBL	nebulette	chr10p12	-	NP_001166955|NP_006384|NP_998734
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203962_s_at	NEBL	nebulette	chr10p12	-	NP_001166955|NP_006384|NP_998734
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203963_at	CA12	carbonic anhydrase XII	chr15q22	-	NP_001209|NP_996808
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203964_at	NMI	N-myc (and STAT) interactor	chr2q23	-	NP_004679
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203965_at	USP20	ubiquitin specific peptidase 20	chr9q34.11	-	NP_001008563|NP_001103773|NP_006667
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203966_s_at	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent, 1A	chr14q23.1	-	NP_066283|NP_808820|NP_808821
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203967_at	CDC6	cell division cycle 6 homolog (S. cerevisiae)	chr17q21.3	-	NP_001245
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203968_s_at	CDC6	cell division cycle 6 homolog (S. cerevisiae)	chr17q21.3	-	NP_001245
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203969_at	PEX3	peroxisomal biogenesis factor 3	chr6q24.2	-	NP_003621
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203970_s_at	PEX3	peroxisomal biogenesis factor 3	chr6q24.2	-	NP_003621
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203971_at	SLC31A1	solute carrier family 31 (copper transporters), member 1	chr9q32	-	NP_001850
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203972_s_at	PEX3	peroxisomal biogenesis factor 3	chr6q24.2	-	NP_003621
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203973_s_at	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	chr8p11.2-p11.1	-	NP_005186
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203974_at	HDHD1	haloacid dehalogenase-like hydrolase domain containing 1	chrXp22.32	-	NP_001129037|NP_001171606|NP_001171607|NP_036212
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203975_s_at	CHAF1A	chromatin assembly factor 1, subunit A (p150)	chr19p13.3	-	NP_005474
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203976_s_at	CHAF1A	chromatin assembly factor 1, subunit A (p150)	chr19p13.3	-	NP_005474
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203977_at	TAZ	tafazzin	chrXq28	-	NP_000107|NP_851828|NP_851829|NP_851830
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203978_at	NUBP1	nucleotide binding protein 1	chr16p13.13	-	NP_002475
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203979_at	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	chr2q33-qter	-	NP_000775
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203980_at	FABP4	fatty acid binding protein 4, adipocyte	chr8q21	-	NP_001433
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203981_s_at	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	chr14q24.3	-	NP_005041
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203982_s_at	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	chr14q24.3	-	NP_005041
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203983_at	TSNAX	translin-associated factor X	chr1q42.1	-	NP_005990
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203984_s_at	CASP9	caspase 9, apoptosis-related cysteine peptidase	chr1p36.21	-	NP_001220|NP_127463
Affymetrix	HT_HG-U133A	2012-10-29 GMT-08:00 19:23:30	Homo sapiens	hg19	33	203985_at	ZNF212	zinc finger protein 212	chr7q36.1	-	NP_036388
