CloneID	Ch	Start	End	Gene	BxPC-3_vs_humd	DanG_vs_humd	HPAC_vs_humd	HUP-T4_vs_humd	PA-8902_vs_humd	Panc1_vs_humd	SU86.86_vs_humd
A_23_P85936	1	224569107	224569227	Q9NT86	-0.067283808	-0.003213241	-0.187048318	0.111547207	-0.020979857	-0.005360649	-0.052281562
A_23_P201083	1	224593399	224593519	ARF1	-0.379894537	-0.15977938	-0.100329875	-0.205039099	-0.094544466	0.038956174	-0.093423437
A_23_P97328	1	224595225	224595345	C1orf35	-0.069496485	0.009117039	-0.098489615	-0.055275567	-0.293731943	0.061789743	0.089595152
A_23_P51729	1	224654028	224654148	GJA12	-0.017110676	-0.152883055	-0.029410474	-0.503806052	-0.171097536	-0.177875338	-0.197743511
A_23_P201109	1	224795353	224795473	OBSCN	-0.336648877	0.035722316	0.27244814	-0.183595275	-0.318482813	0.192905577	0.0984808
A_23_P103734	1	224871971	224872091	Q9HCD3	-0.177287666	-0.106001956		-0.177589013	-0.09272522	0.017059789	0.003143188
A_23_P115124	1	224888331	224888451	TRIM11			0.329634294		-0.16701767	0.008646806	0.093723807
A_23_P126521	1	224902311	224902431		0.046855303	0.142563728	0.173016724	0.007666543	-0.00090291	0.174420656	-0.135678528
A_23_P422661	1	224902431	224902551	TRIM17	-0.075034103	-0.182991965	-0.197377603	-0.128010777	-0.191108594	-0.046353593	-0.120561089
A_23_P137909	1	224919320	224919440	HIST3H3	-0.16520298	-0.043631514	-0.232673292	-0.019545567	0.19243648	0.01165441	-0.09029924
A_23_P114814	1	225186099	225186219	RHOU	-0.251759832	0.082982284	0.523596354	-0.148922759	-0.242407454	0.142663479	-0.046930431
A_23_P369918	1	225746705	225746825	RAB4A		-0.134016613	-0.324734375			-0.565140994	0.254431527
A_23_P217938	1	225747845	225747965	SPHAR	-0.135968544	-0.246995522		-0.076616802	0.579336609	-0.603300073	-0.288912425
A_23_P366908	1	225767185	225767305	LOC126731	-0.323747228		-0.071826559	-0.05405226	-0.043753657	0.04337148	0.076528526
A_23_P1102	1	225873783	225873903	ACTA1	-0.201696407	0.100388653	0.19330349		-0.061486839	0.154507546	0.128838446
A_23_P12503	1	225883838	225883958	NUP133	-0.200493749	0.237754228	0.650631852	-0.003813592	-0.139872988	0.336998465	0.039054192
A_23_P35309	1	226036038	226036158	TAF5L	0.104408198	0.105750709	-0.029412543	0.13853064	0.106232443	0.042728791	0.2461127
A_23_P74914	1	226101950	226102070	Y133_HUMAN	-0.338512291	0.043205241	0.620505939	-0.199254669	-0.33304378	0.370231171	0.080224604
A_23_P806	1	226722286	226722406	GALNT2	-0.184446851	0.002841571		0.086657894		0.184666129	0.054206999
A_23_P126648	1	226764808	226764928	PGBD5	-0.258419276	-0.169257784	0.247286098	-0.173470079	-0.419301167	0.195099222	-0.035216477
A_23_P160807	1	227136149	227136269	COG2	-0.212512791	-0.35274788	-0.01958975	-0.416489917	-0.474126633	-0.159257791	-0.191111189
A_23_P115261	1	227145205	227145325	AGT	-0.319008561	-0.222573756	-0.140821582	-0.457723946	-0.508290175	0.077597642	-0.00594305
A_23_P138034	1	227279629	227279749	FLJ14525	-0.358254405	0.012355354	0.17602441	-0.429032481	-0.440336804	-0.035595485	-0.139705782
A_23_P103864	1	227348918	227349038	TTC13	-0.096509194			1.036032296	0.314279207	-0.119732737	-0.082832758
A_23_P135995	1	227442718	227442838	ARV1	-0.198839571	-0.093647768	0.310541255	-0.329205011	-0.457460188	0.103310519	-0.015482997
A_23_P355418	1	227627061	227627181	TNL	-0.201802685	-0.113661492	0.175984991	0.8001953	0.458456806	0.973572897	
A_23_P46095	1	227666650	227666770	DKFZp547B1713	-0.168833857	-0.191578524	0.229898793	-0.263647567	-0.221833552	0.117526886	0.459444746
A_23_P430165	1	227776210	227776330	EXOC8	-0.208185162	0.54345731	0.186515425	0.080057162	0.179340413	0.567355208	0.06056117
A_23_P433791	1	227795925	227796045	DKFZP547N043	-0.268971502	-0.081978459	0.063399265	-0.510242736	-0.404545865	0.157090719	-0.111288291
A_23_P74368	1	227797327	227797447		-0.153962797	-0.170413779	0.087177473	-0.417437037	-0.307004793	0.004871006	-0.057235678
A_23_P34710	1	227806649	227806769		-0.225693768	0.175358759		-0.110494926	-0.076321857	0.165669599	0.041649554
A_23_P343935	1	227808823	227808943	EGLN1	-0.110878065	-0.527311853			-0.178729628	-0.31265174	-0.011747225
A_23_P51572	1	228007073	228007193	TSNAX	-0.234969509	-0.100200267	0.339431366	-0.31022881	-0.391794803	0.109950029	0.011447513
A_23_P62967	1	228483370	228483490	DISC1	-0.25269176	-0.147122244	-0.257747655	-0.24378041	-0.355350162	-0.082756233	-0.074882386
A_23_P137470	1	228841190	228841310	SIPA1L2	-0.244944759	-0.067824099	0.30963351	-0.274252263	-0.434373948	0.044888433	-0.033315568
A_23_P413026	1	229250240	229250360	YD83_HUMAN	-0.251907638	-0.329411888			-0.545241971	-0.121961383	-0.118518368
A_23_P200252	1	229412353	229412473	MGC13186	-0.242600337	0.094648747	0.237957957	-0.170106627	-0.464801186	0.084324669	-0.086087757
A_23_P200267	1	229426969	229427089	FLJ11383		-0.083245399	-0.135383712	-0.18087911	-0.656581181	0.129133092	0.028918764
A_23_P114585	1	229643942	229644062	FLJ11383	-0.266181022	-0.298356447	-0.196958999	-0.538039185		-0.032836251	0.034614699
A_23_P96883	1	229822019	229822139	KIAA1804	-0.254917553	0.144377548	0.547969954	-0.363875713	-0.044162779	0.130720429	-0.086119901
A_23_P126075	1	230114232	230114352	KCNK1	-0.070059003	0.329194343	0.533569476	0.153943413		-0.000376998	0.186054738
A_23_P136392	1	230469486	230469606	SLC35F3	-0.082407153	0.35550725	0.307597519	-0.201543619	-0.20110765	0.194795648	0.053441769
A_23_P422212	1	230766804	230766924	SLC35F3	-0.088214067	0.008931148	-0.080550118	-0.044425847	-0.106519279	-0.081864617	-0.03666175
A_23_P63459	1	230826265	230826385	Q8TA88	-0.288521027	-0.103512226	-0.631873023	-0.536399072	-0.712000671	-0.097301923	-0.070706871
A_23_P52058	1	230834847	230834967	TARBP1	-0.125966206	0.311089913	0.311073387	-0.179795879	-0.406408116	0.249717862	0.059028809
A_23_P46588	1	231049247	231049367	Q8WUH8	0.019344049	0.387822214		0.048582742	0.04612508	0.19153051	0.14602856
A_23_P201951	1	231657176	231657296	ARID4B	0.10017668	0.131472253	-0.085660907	-0.255712723	-0.530810057	-0.063979333	0.279663566
A_23_P52189	1	231832169	231832289	GGPS1	0.002388066	0.314437379		-0.034479841	-0.187213563	0.044983868	0.070264001
A_23_P52147	1	231938124	231938244	TBCE	-0.174055673					-0.453716495	-0.10392
A_23_P334751	1	231939475	231939595	MGC39558	-0.055808318	1.060570443	-0.489198607	0.537180501	0.38695976	0.015448573	0.142262797
A_23_P335329	1	232040152	232040272	GNG4	-0.167008016	0.356364663	0.319476892		-0.010966049	0.080108737	0.036164865
A_23_P354074	1	232150357	232150477	CHS1	-0.323151676	0.317122611		-0.173990699	-0.251354539	-0.070499164	-0.11558546
A_23_P200928	1	232466280	232466400	NID	-0.236732562	0.531038351	0.157357479	-0.056868382	-0.273374462	0.29072167	-0.095723942
A_23_P46149	1	232697855	232697975	TM7SF1	-0.241096176	0.211991331	-0.077228735	-0.308822198		0.152492724	-0.076208005
A_23_P97218	1	232705463	232705583		-0.304107138	0.241293558	-0.012122888	-0.165402755	-0.183040183	-0.117063142	-0.162721454
A_23_P503233	1	232973531	232973651	EDARADD	-0.014347739	0.288474237	0.319825133	0.006515542	0.086628169	0.102449141	-0.033371259
A_23_P63017	1	233037474	233037594	LGALS8	-0.149107114	0.255372075	-0.098170156	-0.295973132	-0.199312185	0.092328079	
A_23_P115021	1	233251923	233252043	ACTN2	-0.215470021	-0.361086075	-0.335381202	-0.58289099	-0.951652776	-0.064767075	-0.003506351
A_23_P200930	1	233389772	233389892	MTR	-0.295563	0.289414263	0.850826531	-0.161229217	-0.436645761	0.284050402	0.525235665
A_23_P137797	1	234322403	234322523	RYR2	-0.345501319	0.581585957	0.539466939	-0.052258882	-0.261510139	0.295664836	-0.009751426
A_23_P149194	1	234376072	234376192	ZP4	-0.145379148	0.130588968		-0.247222444	-0.43267243	-0.005405778	-0.091029628
A_23_P401472	1	236397961	236398081	CHRM3	-0.082051088	0.078542714	0.13795319	-0.156943057	-0.173499841	-0.106223172	-0.128459453
A_23_P200843	1	236400271	236400391		-0.340487415	0.158781077			-0.431047475	0.168919119	-0.051454672
A_23_P97181	1	236979381	236979501		-0.372912065	0.244376431		-0.113420305	-0.086950782	-0.028947899	-0.123704286
A_23_P329821	1	236981073	236981193	GREM2	-0.070116165	0.308258552	0.167684419	-0.255898273	-0.214908139	0.036893946	-0.067876973
A_23_P74391	1	238083653	238083773	KMO	-0.21060684	0.101173042		-0.149319296	-0.297644842	-0.041651256	-0.012662929
A_23_P200838	1	238084674	238084794	KMO	-0.179225219	0.543468899	0.08613443	0.096845745	0.012139835	-0.024375292	-0.103062007
A_23_P46118	1	238122995	238123115	OPN3	-0.445702119	0.395775266	-0.115336201	-0.021040798	-0.101178146	0.069297694	-0.027158537
A_23_P399116	1	238290680	238290800	FLJ32978	-0.189191506	0.080863718	0.086827101	-0.124110411	-0.118079745	0.049977119	0.030478486
A_23_P23303	1	238374697	238374817	EXO1	0.121601574	0.117444849	0.256220756	0.468190738	0.194644492	-0.032146024	0.48323966
A_23_P510	1	238578879	238578999	FLJ40773	-0.241805731	0.261728083	0.027518673			0.048920986	-0.254862391
A_23_P34546	1	239915764	239915884	SDCCAG8	-0.231512449	0.687917698	0.123673901	0.353561102	0.156019625	-0.035151569	-0.107690472
A_23_P160354	1	240042121	240042241	AKT3	-0.252412412	0.167485784		-0.033565555	-0.209910521	-0.013128874	-0.333216952
A_23_P200512	1	240545091	240545211	ZNF238	-0.348677432	0.534348211		0.156236912	0.144374452	0.088795219	0.159309731
A_23_P201432	1	240898667	240898787	ADSS	-0.270134443	0.224189929	0.007314885	0.377623253	0.175574019	0.353147091	0.093797376
A_23_P201445	1	241197872	241197992	PNAS-4	-0.316127937	0.235936027	-0.089255933	-0.199093344	-0.238378013	0.131316281	0.111311409
A_23_P73264	1	241325732	241325852	FAM36A	0.065826395	0.317291552	0.377118313	-0.060491978	-0.152091586	0.074496482	0.303631574
A_23_P387105	1	241856556	241856676	BAC86076	-0.059984188	0.360689427	0.24315442			0.257096216	0.31328754
A_23_P63541	1	242192243	242192363	BAC86076	-0.321083457	0.217536603		-0.330812619	-0.403141206	0.120155129	-0.067042281
A_23_P51414	1	242824670	242824790	SMYD3	-0.209890288	0.228904784	0.183245133	-0.30557635	-0.271978355	-0.024624939	0.165794079
A_23_P45940	1	243030280	243030400	TFB2M	-0.11378156	0.088211075	-0.490284163		-0.236616381	0.021243788	-0.392439734
A_23_P405175	1	243156338	243156458	FLJ32001	-0.126275064	0.403326157	0.044551087	0.099179038	0.073697906	0.026949589	0.021708751
A_23_P62807	1	243256646	243256766	CGI-49	-0.15425244	0.450319674		-0.169954389	-0.193657846	0.312407795	0.078623482
A_23_P46708	1	243464971	243465091	SBZF3	-0.239968636	0.172553802		-0.262407106	-0.361252838	-0.017267629	0.08342811
A_23_P35316	1	243476692	243476812	SBZF3	0.056007505	0.166243375	-0.175820821	-0.220726683	-0.294298571	0.340706584	0.022525412
A_23_P74981	1	243526829	243526949	MGC12466	-0.261690616	-0.316876226		-0.596787404	-0.168731789	-0.22025923	-0.227465244
A_23_P86382	1	243589897	243590017	FLJ12606	-0.406010203	0.011438327		-0.261245725	-0.268152006	0.133229292	0.001375909
A_23_P52176	1	243645439	243645559	ZNF124	-0.282160061	0.147064867	-0.053341875	-0.348130641	-0.442942955	0.059732684	-0.090700371
A_23_P158997	1	243679325	243679445		-0.199015838	0.210239497	0.017064812	-0.464891438	-0.28532015	0.152910364	
A_23_P303238	1	243745817	243745937	VN1R5	-0.119398157	0.326335017		0.147520041	-0.009667234	0.051333369	-0.062331493
A_23_P104177	1	243790281	243790401	ZNF496	-0.196198556	0.08374019		-0.108286791	-0.328682942	0.102207798	0.201258792
A_23_P9883	1	243938009	243938129	CIAS1	-0.292688946	-0.040502361	0.064477175		-0.607257026	0.008198254	0.07895195
A_23_P301175	1	243940481	243940601	OR2B11	0.119646526	0.263036747	0.232205021	0.576302684	-0.051619538	-0.147107013	0.047666495
A_23_P115568	1	244021638	244021758	OR2C3	-0.452430394	0.225146463				0.008537375	-0.037394088
A_23_P408787	1	244065023	244065143	LOC148823	-0.294325485	0.123875722	0.019580733				
A_23_P52168	1	244078371	244078491	OR2G2	-0.065519841	0.02658589		-0.208475335	0.180681537	-0.008011341	0.051678635
A_23_P63572	1	244095431	244095551	OR2G3		0.254708149	-0.397864653				
A_23_P74976	1	244161682	244161802		-0.038379479	0.073776902	0.45623268	-0.325207806	-0.15771514	0.192865051	-0.157871699
A_23_P86369	1	244201047	244201167		-0.062421832	0.102217663	-0.066969648	-0.144330504	-0.460662976	0.073210136	-0.075209096
A_23_P97767	1	244212580	244212700		-0.293433104	0.163370093		-0.13418265		0.005979647	0.018798677
A_23_P86350	1	244246820	244246940		-0.269488237				-0.234077334	0.204505839	0.065850837
A_23_P161108	1	244304169	244304289	OR5AT1	-0.321333126	0.087333285	0.002804452		-0.620358117	-0.077498646	-0.245431835
A_23_P97755	1	244330357	244330477	OR11L1	0.085586071	0.14318665		0.058115441	0.371552003	-0.068108634	0.203894734
A_23_P314052	1	244366430	244366550	BIA2	-0.463730309	-0.058556424	-0.061986097	-0.428315535	-0.649196102	-0.015475201	-0.206165363
A_23_P138343	1	244423155	244423275		-0.28297284	0.385380262		-0.173234388	0.301734022	-0.148465485	-0.228806836
A_23_P86360	1	244455912	244456032	MGC40047	-0.230322267	-0.079267549			-0.441937637	0.050633653	-0.058524454
A_23_P104170	1	244511399	244511519	MGC40047					-0.261153062	-0.372398954	
A_23_P115561	1	244527763	244527883	MGC40047	-0.414011467	0.241618823	0.028288435	0.170061204	-0.358982333	0.054549014	-0.090327304
A_23_P382137	1	244589232	244589352	MGC40047	-0.281257222	0.420457173		0.137690298		0.19894185	-0.115161732
A_23_P149595	1	244635321	244635441	OR2M5	-0.223115599	0.339454855	0.411561054		-0.226659822	0.133649779	0.013436269
A_23_P973	1	244784048	244784168	OR2T12	-0.474552109	0.084612294	-0.267083983	0.031120625	-0.494858721	0.022730896	-0.084609861
A_23_P115424	1	244838886	244839006	OR5BF1	-0.346739471	0.061788842		-0.129605591	-0.43410141	-0.105683535	-0.169182757
A_23_P126820	1	244851499	244851619	OR2T4	-0.519223371	-0.088244358	-0.423203944	0.087230797	-0.071149303	-0.122824824	-0.137100348
A_23_P35174	1	245082379	245082499	OR2T10	-0.45434557	-0.799939425			-0.088611626	0.246646252	0.252077152
A_23_P46568	1	245115880	245116000	OR2T11		-0.464143845	0.096743233	0.400920764	0.166533603	0.070403332	-0.035206992
A_23_P426989	1	245314525	245314645	KIAA1720	0.004632586	0.005914736	-0.051144381	-0.153822372	-0.772701016	-0.014437526	-0.068136064
A_23_P83923	1	245353217	245353337	FLJ22301	-0.142955157	0.21206168		-0.034722678	-0.267165568	0.071778926	0.002459846
A_23_P170978	1	245354024	245354144	FLJ20531	-0.276694882	0.173610593	0.05506825		-0.48164752	0.085919285	-0.029664536
A_23_P334777	1	245422241	245422361	PGBD2	-0.275990921	0.303880291	0.15436847	0.113479467	-0.052345262	0.037691714	-0.141213555
A_23_P68198	2	208802	208922	SH3YL1	-0.8804396	-0.318379273	0.321370668	0.067388228	0.01091579	-0.013806347	0.206786603
A_23_P56798	2	267838	267958	ACP1	-0.524446115	-0.262120428		-0.329745298	-0.153566243	0.100246115	0.133040279
A_23_P79599	2	659246	659366	TMEM18	-0.325591317	-0.285557496	0.118996657		0.088208109	0.08429123	-0.308786959
A_23_P251132	2	1350161	1350281	SNTG2	-0.790218144	-0.354474984	0.090114371	-0.144646121	-0.04529969	0.199355975	0.281051013
A_23_P209918	2	1525293	1525413	TPO	-1.057904897	-0.559683604	0.277295394	-0.351616297	-0.092403175	0.26995507	0.069484864
A_23_P257144	2	1607395	1607515	Q92626	-0.78144247	-0.257181073	0.270744936	-0.361282633	-0.313219763	0.030153419	0.196303005
A_23_P120131	2	3185180	3185300	COLEC11	-0.824241366	-0.405771769	0.184661062	0.015446714	-0.045940672	0.191653505	0.577874003
A_23_P108734	2	3238274	3238394	ALLC	-0.883964298	-0.342432212	0.220068359	-0.063035505	-0.050818249	0.07008598	0.259480235
A_23_P256773	2	4731158	4731278	TSSC1	-0.196762004	-0.21291579		-0.252690178	-0.148980009	-0.043951696	0.008145417
A_23_P148162	2	5040155	5040275	MTCBP-1	-0.904583108	-0.572244377		-0.163522398	-0.038760687	0.053283939	0.316071383
A_23_P148194	2	5040883	5041003	MTCBP-1	-0.937201616	-0.563009792	-0.425069234		-0.199633134	-0.046808134	0.252333374
A_23_P22378	2	5784845	5784965	SOX11	-1.189401662	-0.375433429	0.545976843	-0.017989558	0.049175281	0.087594247	0.174288122
A_23_P390634	2	6064558	6064678	FLJ30594	-1.101808087	-0.823058666	0.171174198	-0.390665709	-0.360416596	-0.032170961	0.38271903
A_23_P120178	2	6986527	6986647	cig5	-1.110851523	-0.658804629		-0.358418989		-0.103237422	0.296832347
A_23_P131566	2	7130633	7130753	RNF144	-0.386311146	-0.103706407	0.225084171	-0.134508751		0.089763761	0.120508932
A_23_P131747	2	8821383	8821503	CAE45935	-0.561737683	-0.214571986		-0.155094898	0.079288583	0.003029268	0.136178713
A_23_P370637	2	8949018	8949138	OACT2	-0.822052073	-0.400182934	0.572144782		-0.0771457	0.196312544	0.31680009
A_23_P40090	2	9494069	9494189	DDEF2	-0.7979616	-0.421307742	-0.077839646	-0.1686588	-0.08641901	-0.085622314	0.155714938
A_23_P28683	2	9563655	9563775	CPSF3	-0.768955542	-0.15130397	-0.022249888	0.070300959	0.193165389	0.187534834	0.261245838
A_23_P17287	2	9578976	9579096	AAH67865	-0.593291714	-0.189915693		-0.041484398		0.294008694	0.380105926
A_23_P143120	2	9580670	9580790	ADAM17	-0.918203279	-0.538248218		-0.18880906	-0.127641347	-0.033900156	0.081210604
A_23_P165891	2	10010330	10010450	TAF1B	-0.501565728	-0.417574422	-0.032401982	0.24464232	-0.150787703	0.104206569	0.290440293
A_23_P365785	2	10091268	10091388	TFCP2L2	-0.509806625	-0.503517	-1.075294776	-0.220535664	-0.204415391	-0.151136489	0.361988087
A_23_P5882	2	10092766	10092886	TFCP2L2	-1.247325429	-0.249545345	0.135832534	0.096802227	0.164641413	0.070474839	0.252688062
A_23_P319512	2	10143293	10143413	TIEG2	-0.306731007	-0.185640877	-0.376045567	-0.033408467	-0.07348309	-0.107217153	-3.77E-05
A_23_P44505	2	10145183	10145303	TIEG2	-0.992786518		-0.259905398		-0.034727928	0.036661312	0.3485582
A_23_P136222	2	10220353	10220473	RRM2	-0.61435881	-0.216518741	-0.226078053	-0.124280872	-0.008504286	0.227279741	-0.097288739
A_23_P5831	2	10517517	10517637	HPCAL1	-0.364936003	-0.294319205	0.040258569	0.132928237	-0.017770922	0.027070741	0.431415639
A_23_P165840	2	10531325	10531445	ODC1	-0.194570742	-0.138457435	0.207776518	-0.172931104	-0.126754213	-0.030638483	0.029944078
A_23_P154457	2	10661676	10661796	FLJ14075	-0.284038776	-0.114818098				0.112294124	
A_23_P250914	2	10873841	10873961	ATP6V1C2	-0.993791021	-0.494460746			0.153136443	-0.064649956	0.390638749
A_23_P56956	2	10874930	10875050	TXNDC7	-0.982123405	-0.453837488	-0.10056703	-0.398812617	-0.335706971		0.228417581
A_23_P142765	2	11004311	11004431	KCNF1	-0.727717604	-0.256478267	-0.02670361	-0.182719907	0.078309046	0.019657813	0.069781039
A_23_P131375	2	11269211	11269331	C2orf22	-0.677881966	-0.27648592		0.021178846	0.090178487	0.063330667	0.179079344
A_23_P209689	2	11272581	11272701	ROCK2	-0.764633882	-0.28074378	-0.014308897	0.173450426	0.424391447	-0.021548987	0.170221818
A_23_P108862	2	11731066	11731186	GREB1	-0.425094675	-0.003418426	0.447484687	-0.086735176	0.06144403	0.04370035	0.073049359
A_23_P329768	2	11733217	11733337	GREB1	-0.285265977	0.673339828		1.02987578	0.734758533	-0.017092812	
A_23_P315212	2	11749107	11749227	NTSR2	-0.693552602	-0.488483998	-0.33667408		-0.224444253	-0.09572697	-0.041751499
A_23_P382718	2	11917704	11917824	LPIN1	-0.487456401		0.132509879	-0.023407649	-0.02478324	-0.0309789	-0.117669504
A_23_P90689	2	12833290	12833410	TRIB2	-0.332508158	-0.037880755	0.04645659	0.181121648	0.106922954	-0.112298486	-0.049149705
A_23_P306215	2	14726603	14726723	NSE1	-0.886737119	-0.491697544	0.196365678	0.102585991	-0.042749895	-0.038687786	0.257994986
A_23_P90752	2	15277413	15277533	NAG	-0.388488639	-0.409708884		0.090235315	0.056378538	0.142583948	0.04456694
A_23_P79356	2	15587959	15588079	NAG	-0.063194668	-0.627934982	0.271368779	-0.344808618	-0.316751476	0.125358944	0.26044303
A_23_P108554	2	15721512	15721632	DDX1	-0.191198913	-0.068793141	0.349116584	-0.179518987	-0.234063024	0.005242423	0.194852703
A_23_P67952	2	16030619	16030739	NCYM_HUMAN	-0.332410695	-0.178624966	-0.220022996	-0.188018364	-0.188175185	0.083418311	0.318442613
A_23_P209583	2	16036642	16036762	MYCN	-0.255126708				0.124187786	0.025112849	-0.077375856
A_23_P209978	2	17758791	17758911	VSNL1	-0.034941464	-1.056165915	-0.328413131	-0.677876789	-0.284779109	-0.029156371	
A_23_P120105	2	18035590	18035710	KCNS3	-0.27552048	-0.554065433	-0.009275267	-0.192549966	-0.058107939	-0.013562982	0.197222675
A_23_P90909	2	18657583	18657703	RDH14	-0.241838415	-0.159989715	0.478198464	0.132548797	0.122648814	0.129830731	0.20299284
A_23_P317675	2	18666100	18666220	NT5C1B	-0.218816509	-0.599219274	-0.262909977	-0.272636472	-0.163507545	-0.046365936	0.067393422
A_23_P323270	2	19472883	19473003	ODD	-0.096914859	0.105769799			0.225924698	0.047099327	-0.642170487
A_23_P108463	2	20035424	20035544	WDR35	-0.15585689	-0.551872433	-0.209985087		-0.467875408	-0.011916925	0.077679992
A_23_P102058	2	20113937	20114057	MATN3	-0.046709268			-0.125138467	-0.047998124	-0.033704309	0.200676345
A_23_P90659	2	20154043	20154163	LAPTM4A	-1.008735689	0.569130675	0.038867726		0.167781874	-0.069447205	0.156767034
A_23_P16944	2	20322902	20323022	SDC1	-0.097023685	0.003519817	0.219470976	-0.208164338	-0.112685857	0.08065063	0.186484057
A_23_P68884	2	20361641	20361761		-0.093707443	0.063259613				0.047396922	
A_23_P5541	2	20370135	20370255	PUM2	-0.208284344	0.408693075			0.491303031	0.290876533	0.400381167
A_23_P51136	2	20569325	20569445	RHOB		0.250559897	0.149146505	-0.260595694	-0.121560831	0.021031688	0.447992903
A_23_P360983	2	20651061	20651181		-0.141209589	0.559125494	-0.234350886		0.313773483	0.139264537	0.177211811
A_23_P154166	2	20759841	20759961	FLJ14249	0.217343061	0.162147309	-0.293301957	-0.009828623	-0.360966056	0.016971577	0.203113353
A_23_P39746	2	20792940	20793060		0.011014626	0.697452227	0.208925238			-0.20937191	-0.979036362
A_23_P28350	2	20805882	20806002		-0.21147094	0.503222673	0.035126321	-0.074308573	-0.023072644	-0.038997842	-0.029296566
A_23_P420256	2	20806809	20806929	FLJ21820	-0.165030601	0.506545497		-0.039838468	0.046102303	-0.020786433	0.177928709
A_23_P79591	2	21136090	21136210	APOB	-0.28649564	0.449751904		-0.369676672	-0.406861282	-0.081406983	0.130849371
A_23_P68190	2	21277929	21278049	Q9UHZ5	-0.272065615	0.415362521		-0.187454262	-0.124256931	-0.063380744	0.093117702
A_23_P119850	2	23771880	23772000	Q96CT2	-0.387789473	0.282731668	-0.102865015	-0.207876513	-0.178321934	0.035842775	0.062830009
A_23_P209360	2	23842899	23843019	Q96CT2	-0.231787254	0.8319992	-0.088913331	-0.193271758	-0.076482696	-0.059348638	0.172355709
A_23_P388629	2	23932606	23932726	YC40_HUMAN	-0.155128797	0.723988986			0.03084781	0.148345555	0.319089987
A_23_P131240	2	24134267	24134387	UBXD4	-0.451814858	1.016214202		0.144323771	0.029731591	0.076910911	0.272550711
A_23_P154022	2	24164254	24164374	FLJ21945	-0.297489004	0.885020314	-0.168626559	0.039064738	-0.09054819	-0.087796199	0.235503956
A_23_P142631	2	24197876	24197996	FKBP1B	-0.145106943	1.174987814		0.647732011		0.036911089	0.125439154
A_23_P165402	2	24202792	24202912	P14	-0.309719881	0.245082565		0.01025498	0.157735402	-0.389627511	0.157228225
A_23_P16798	2	24255681	24255801	PFN4	-0.117106989	0.677900746	0.02885229	0.001829243	0.176930168	0.006667196	0.287190893
A_23_P56457	2	24337488	24337608	ITSN2	-0.185901123	0.805345689	-0.315418683	-0.224549101	-0.120369609	-0.018954395	0.325092723
A_23_P28201	2	24359888	24360008	ITSN2		-0.599251472					
A_23_P39594	2	24902912	24903032	NCOA1	0.180112923	0.66845184	0.108029215	-0.337025039	-0.253163113	0.006791733	
A_23_P50990	2	24952162	24952282	MGC11266		0.755158178	-0.154834074	-0.024771843	-0.034890372	0.139246241	0.19326558
A_23_P67864	2	24953863	24953983	MGC11266	-0.131930175	0.415806467	-0.560877298	-0.409869723	-0.211604785	-0.054739427	0.244842928
A_23_P17275	2	25091545	25091665	RBJ	-0.199232842	0.730490576	0.240138304	-0.218827312	-0.261335179	-0.058708551	0.212947102
A_23_P5875	2	25295395	25295515	POMC	-0.065796038	0.108759638	-0.406858585	-0.175236542	-0.086215268	-0.010230403	0.063345449
A_23_P154496	2	25367604	25367724	DNMT3A	0.008271752	0.040478001	-0.355843435	-0.339804223	-0.2157118	-0.096896029	0.110737083
A_23_P210319	2	25511898	25512018	DTNB	-0.136091264	-0.053845525	0.25153527	-0.045987256	-0.108476708	0.13760904	0.011538809
A_23_P210300	2	25873965	25874085	ASXL2	0.046899142	0.343252198	-0.072806278	-0.374209761	-0.34529381	0.042057288	0.169945858
A_23_P120325	2	26062438	26062558	KIF3C	-0.289010535	0.304869537	-0.797209164	-0.315377453		-0.074212202	0.423179718
A_23_P159510	2	26325604	26325724	HADHA	0.534380036	0.692665675	-0.18745283	0.317949993	0.151414405	0.51710604	0.315827467
A_23_P79703	2	26424503	26424623	HADHB	-0.32082952	0.94579584	-0.070835116	-0.173235705	0.07345089	0.03461372	0.23299528
A_23_P68311	2	26443277	26443397	AAQ88539		0.730069758	0.258043585	-0.108843354	-0.05620948	0.050453484	0.361293734
A_23_P68300	2	26525715	26525835	SELI	-0.295367693	0.550893898	-0.284034728	-0.200081752	0.015563474	-0.035123942	0.043044067
A_23_P308720	2	26591091	26591211	MGC16372	-0.291252897	-0.029355839	-0.172425628	-0.342658188	-0.33961568	0.094541127	0.228583977
A_23_P254852	2	26591688	26591808	OTOF	0.198135571	0.19125888	-0.00592017	-0.005487664	-0.308227861	0.387767869	0.163758614
A_23_P91104	2	26863250	26863370	KCNK3	0.154375358	0.12958105	0.366110763	-0.017803778	-0.104280384	0.020593021	0.352133753
A_23_P357724	2	26863795	26863915	KCNK3	-0.32984853	0.492843689	0.184415124			0.169846554	0.247670353
A_23_P102494	2	26913083	26913203	C2orf18	-0.068112326	0.26781929	-0.129670392	-0.111785899	0.004013199	0.087274083	0.071488377
A_23_P108910	2	26928296	26928416	CENPA	-0.34217276	0.354163394	-0.228385477	-0.102481154	0.039236836	0.086347834	0.481547137
A_23_P401691	2	27082156	27082276	DPYSL5	-0.318258002	0.282548225	0.092142215	-0.1102259	-0.1285465	0.097098776	0.249465887
