Gene	YEW1_Control	YEW2_Control	YEW3_Control	YEW4_Treated	YEW5_Treated	YEW6_Treated
AC034187.5	0	0	0	0	0	0
SORD	0	0	0	0	0	0
RP11-451J24.1	0	0	0	0	0	0
NASP	0	0	0	0	0	0
VN2R4P	0	0	0	0	0	0
LGALS9C	0	0	0	0	0	0
RP11-302F12.3	0	0	0	0	0	0
ASIC5	0	0	0	0	0	0
RP11-22P6.2	6	2	0	0	5	0
RP11-955H22.3	0	0	2	0	8	3
FAM149A	0	0	0	0	0	0
RECQL5	5	3	9	1	0	4
RP11-108L7.4	47316	37923	34977	56611	49000	45448
PLXNA4	1	0	0	0	0	0
CDH8	0	0	0	0	0	0
AC099799.1	0	0	0	0	0	0
RP11-361H10.3	0	0	0	0	0	0
LCP2	0	0	0	0	0	0
C6orf226	0	0	0	0	0	0
WI2-2610K16.1	0	0	0	0	0	0
MIR3621	0	0	0	0	0	0
PCBD2	0	0	0	0	0	0
SNHG12	0	0	0	0	0	0
RNA5SP332	0	0	0	0	0	0
AP005718.1	1916	1620	1583	1969	1750	1835
SF3B1	0	0	0	1	9	0
RP11-442O18.2	2180	1865	1761	2300	1983	2115
RP11-63G10.3	31	41	37	18	71	31
CSE1L	29	18	15	17	13	9
A2ML1	7199	7685	7100	9289	8165	8787
LONRF3	12	7	2	10	11	8
CTD-2019O4.1	121	70	84	103	73	62
AC073257.2	0	0	0	0	0	0
RP11-4M23.2	2144	1834	1658	1996	2113	1859
ERVK3-1	385	296	301	253	183	182
MTRNR2L10	23065	19502	18088	22095	20884	20014
RP11-708J19.1	4	5	1	0	0	0
MLANA	0	0	3	0	0	0
BCL2	0	0	0	0	0	0
ZNF582	6	4	4	2	3	1
RP11-79P5.7	0	0	0	1	0	0
AL662825.2	0	0	0	0	0	0
AC004893.10	0	0	0	0	0	0
LIG3	0	0	0	0	0	0
SELT	0	5	0	2	0	0
INTS6-AS1	0	0	0	0	0	0
FSHR	0	0	0	0	0	0
SLC39A2	0	0	0	0	0	0
OR4R3P	0	0	0	0	0	0
POLDIP2	0	2	0	0	0	0
RP11-508P1.2	0	0	0	0	0	0
ZRSR2	0	0	0	0	0	0
ALG1L5P	0	0	0	0	0	0
AC092988.1	0	0	0	0	0	0
FGF10-AS1	0	0	0	0	0	0
RN7SL129P	0	0	0	0	0	0
AC095064.1	1907	2004	1853	1390	1313	1368
ZWILCH	19	9	14	25	16	18
RP13-514E23.2	0	0	0	0	0	0
AC073115.6	0	0	0	0	0	0
RP11-463J7.3	0	0	0	0	0	0
RNF170	0	0	0	0	0	0
CD177	0	0	0	0	0	0
RPUSD1	0	0	0	1	0	0
RP11-103J17.2	0	0	0	0	0	0
SLC4A8	0	0	0	0	0	0
AP001619.3	0	0	0	0	0	0
ZFPL1	0	0	0	0	0	0
UGT1A8	0	0	0	0	0	0
SLC9B1P2	0	0	0	0	0	0
RP11-187C18.2	0	0	0	0	0	0
RP11-72B4.2	0	0	0	0	0	0
RP11-459F6.1	0	0	0	0	0	0
FAM170B	0	0	0	0	0	0
RP11-350G8.7	0	0	0	0	0	0
RP1-59D14.1	0	0	0	0	0	0
RP11-174O3.1	0	0	0	0	0	0
KDELC2	0	1	0	0	0	0
AC097359.2	0	0	0	0	0	0
AC006509.7	0	0	0	0	0	0
RP11-335O4.3	0	0	0	0	0	0
RP11-115C21.4	0	0	0	0	0	0
RP11-189G24.2	0	0	0	0	0	0
RN7SL651P	0	0	0	0	0	0
KRTAP19-7	0	0	0	0	0	0
AC005358.3	0	0	0	0	0	0
RP11-50O21.1	0	0	0	8	0	0
OR11H12	0	0	0	0	0	0
RNU4-40P	0	0	0	0	0	0
RP11-134C1.1	0	0	0	0	1	0
POLRMTP1	0	0	0	0	0	0
NIP7	1	0	0	3	0	0
MIR337	14	3	4	19	4	3
MIR5096	188	225	246	342	242	276
LINC00559	1	19	10	5	15	16
SNRK	4810	4665	4139	5956	5562	5265
ZNF662	4297	4709	4314	6200	5873	5764
MIR566	0	0	0	0	0	0
BACH1-AS1	0	1	0	1	1	1
RNU6-62P	0	0	0	0	0	0
RP11-648L3.1	0	0	1	0	0	0
MIR143	0	0	1	2	8	2
AC019046.1	0	0	0	0	0	0
AC015989.2	7486	6592	6055	9381	8808	8868
CTD-2021J15.1	2	0	0	0	3	0
PSMD8	5347	5522	5116	6238	5798	5847
PTGER3	3444	3484	3223	3405	3195	3318
FCRL2	2442	2232	1923	2303	2042	2220
INMT	3008	2834	2313	3253	3299	2937
RP11-638I8.1	20	12	16	3	4	21
RP11-111F5.2	12	12	14	8	16	16
RP5-1013A22.5	37021	39921	37332	43679	42153	41286
RN7SL11P	10	16	1	19	17	14
AC068896.1	0	0	0	0	0	0
GPLD1	0	0	0	0	0	0
AC016575.1	0	0	0	0	0	0
RP11-72H11.1	1	0	0	1	0	0
ITGB1	1821	1950	1835	1783	1766	1885
UPK3BP1	279	322	287	298	284	309
RNY3P8	24	13	21	9	23	15
RN7SL278P	0	0	0	0	0	0
CBX3P6	0	0	0	0	0	0
RN7SL271P	43	24	28	41	40	36
RN7SL591P	479	470	429	527	451	469
CDCA5	1	0	0	0	0	0
RP11-82O19.2	170	142	106	333	273	250
GPR146	0	0	0	0	0	0
AP001877.1	3	8	10	1	9	7
RAB15	28465	30685	28780	23936	23843	23087
COL9A2	36	45	42	12	25	18
RPL34P22	0	0	0	0	0	0
RP11-925D8.6	0	0	0	0	0	0
TSPY17P	14920	13376	12442	15115	12559	13201
C9orf92	29137	27608	25290	27139	28755	27102
AL360078.1	3	5	6	4	5	9
AC011841.10	68	45	30	43	19	36
NPAP1P4	12	3	3	0	8	10
SOCS5P1	2535	2707	2280	2578	2457	2430
RP11-314O13.1	0	0	0	0	0	0
LINC01120	24	18	17	30	17	7
CTD-2517M22.16	0	0	0	0	0	0
PHKG1	44	29	34	45	73	33
MIR298	0	0	0	0	0	0
RP11-219C20.3	0	0	4	1	0	1
RP11-1042B17.4	11949	10991	10188	13232	12571	11551
TSC22D3	0	0	0	0	0	0
IFNL2	0	0	0	0	0	0
MALRD1	0	0	0	0	0	0
OR2S1P	0	0	0	0	0	0
NUDT16L1	4	13	2	11	9	6
AC002472.1	0	0	0	0	0	0
DDHD2	1	1	1	1	2	0
MORN5	0	0	0	0	0	0
RNVU1-9	328	301	254	539	516	523
PTPN2P2	7666	8653	7685	8306	7989	7781
CROCCP2	0	0	0	0	0	0
SPATS1	1	1	0	0	2	0
AC217779.2	0	0	0	1	0	1
RP11-15A1.7	0	0	0	0	0	0
RP11-317B17.3	0	0	0	0	0	0
C1orf216	0	0	0	0	0	0
WASL	981	1000	935	1070	1010	934
CTA-398F10.2	1	0	0	0	0	0
SYCE2	0	0	0	0	0	0
ASIC4	21	54	20	49	62	36
CTC-391G2.1	0	0	0	0	0	0
TBR1	0	0	0	0	0	0
PCGF7P	0	0	0	0	0	0
AP000357.4	0	0	0	0	0	0
IGKV2D-14	0	0	0	0	0	0
AC100787.1	0	0	0	0	0	0
RP11-47J17.1	0	0	0	0	0	0
RPL13P12	6185	5749	5097	7221	6898	6394
ATG4C	0	0	0	0	0	0
RP11-72M10.2	0	0	0	0	0	0
KB-1410C5.4	1	0	1	4	0	0
D87007.1	0	0	0	0	0	0
RP11-782C8.6	0	0	0	0	0	0
RP11-156K13.2	2	0	0	3	0	0
GNAT1	0	4	0	0	1	0
RP11-465N4.2	0	0	0	0	0	0
RP11-91H12.4	0	0	0	0	0	0
RP11-114O18.1	0	0	0	0	0	0
OSGIN1	0	0	0	0	4	0
AC018445.1	545	506	415	695	506	574
TYK2	0	3	0	0	0	0
RP11-124N19.3	0	0	0	0	2	0
EGOT	0	0	0	0	0	0
RN7SL665P	0	0	3	0	0	0
POC1B-GALNT4	0	0	0	0	1	0
RP11-80F22.11	0	0	0	0	0	0
FAM230A	0	0	0	0	0	0
RP11-766F14.2	59	27	51	19	21	27
RP11-610P16.1	0	0	0	0	0	0
BIN1	0	0	0	0	0	0
AF131215.6	3606	3221	3052	4645	4072	3975
RP11-433M22.2	0	0	0	0	0	0
PTCHD3P2	0	0	0	7	1	0
TOMM20	10564	11231	9964	12538	11937	11299
ACTBP1	0	1	1	0	1	0
PLIN5	0	0	0	0	0	0
TBC1D3B	0	0	0	0	0	0
LINC00856	0	0	0	0	0	0
CTD-3179P9.1	3	2	1	0	0	2
RN7SL70P	0	0	0	0	0	0
RN7SL55P	0	0	0	0	0	0
BX649567.1	0	0	0	0	0	0
OXER1	0	0	0	0	0	0
CTD-2071N1.1	0	0	0	0	0	0
RP11-206L10.10	0	0	0	0	0	0
RP4-655J12.5	0	0	0	0	0	0
AC007952.6	0	0	0	0	0	0
AC015818.3	0	0	0	0	0	0
IGLV3-22	0	0	0	0	0	0
KLLN	0	0	0	0	0	0
BCDIN3D-AS1	0	0	0	0	0	0
RP11-432I5.8	0	0	0	0	0	0
SNORD115-19	0	0	0	0	0	0
SLC25A31	307	289	262	321	442	284
RNA5SP240	0	0	0	0	0	0
MMP14	0	0	1	0	0	0
HBBP1	0	0	0	0	0	0
TMX4	0	0	0	0	0	0
RP13-461N9.2	0	0	0	0	0	0
ARV1	0	1	0	0	0	0
RNU6-238P	0	0	0	0	0	0
HOXB1	4	12	10	19	6	14
FAM106A	4097	4411	3985	4100	4214	3914
IGHV4-28	3145	3749	3255	3145	3244	3078
EIF4E2	0	0	0	0	0	1
RP11-413M3.4	739	673	634	530	459	506
AP000282.2	1	1	11	10	6	6
RP11-354O24.1	1122	1180	1093	1513	1229	1201
RP5-1068B5.1	0	0	0	0	0	0
AC010754.1	18	37	16	50	62	40
IGHEP1	0	0	0	0	0	0
AC009120.8	0	0	0	0	0	1
AC105339.1	24	19	27	15	49	5
ANXA2P2	0	0	0	0	0	0
MITF	323	258	263	502	522	556
C12orf43	0	2	0	0	1	0
RP11-395P13.5	0	0	0	0	0	0
TRBV25OR9-2	0	0	0	0	0	0
AC108938.3	0	0	1	0	0	0
THAP10	5	4	2	5	7	1
IGLV5-48	398	412	358	338	398	346
RP3-406P24.1	8	4	4	4	3	3
CTD-2126E3.5	2820	2908	2482	2911	3057	2611
AHDC1	16	20	14	8	7	14
CST8	489	567	446	765	658	803
GRAMD4P1	19923	20098	18143	25625	24421	24506
AC079584.2	0	1	3	5	2	0
PLA2G12B	0	0	0	0	0	0
RP11-882G5.1	9	0	2	2	0	0
RP11-382B18.5	0	0	0	0	0	0
RP3-399L15.2	0	0	0	0	0	0
RP11-420A23.1	22392	20255	18383	21088	18631	18210
MRPL12	7	19	9	3	16	35
MIR4697	0	1	0	0	0	0
KRTAP21-3	9846	10440	8994	10107	9780	9468
RP1-107N3.2	0	0	0	0	0	0
NDUFA5P11	0	0	0	0	0	0
RP11-380L11.3	0	0	0	0	0	0
RNU1-8P	8920	9074	8753	13895	12137	12509
RNU6-958P	0	1	0	0	0	0
RP11-65J3.2	0	0	0	0	0	0
PROCA1	929	759	615	1037	932	989
RP11-127H13.1	11	5	2	11	2	1
AL592188.8	21	24	20	6	3	16
RP1-40E16.2	3	0	0	5	0	4
NAIP	0	0	0	0	0	0
HNRNPA3P5	8	2	0	11	1	12
RNA5SP479	0	0	0	0	0	0
RPS3AP15	1917	1908	1711	2030	1958	1883
ZNF713	0	1	0	0	0	0
RP11-69E11.8	0	0	0	0	0	0
DUSP8P3	2	0	4	5	4	1
MSC	0	0	0	0	0	0
RP11-146F11.1	0	0	0	0	0	0
RP13-455A7.1	1	0	0	4	0	10
AC090573.1	0	0	0	0	0	0
CNOT11	0	0	0	0	0	0
RP11-20F24.2	0	0	0	0	0	0
LINC00961	0	0	0	0	0	0
RP11-1082A3.1	0	0	0	0	4	0
GAPDHP62	0	0	0	0	0	0
KRT8P38	0	0	0	1	0	0
AC079603.1	0	0	0	0	0	0
SAR1A	0	0	0	0	0	0
Z69720.2	0	0	0	0	0	0
SNORD2	0	0	0	0	0	0
DNAJB3	0	0	0	0	2	0
XXbac-BPG299F13.14	0	0	0	0	0	0
CTD-3138F19.1	0	0	0	0	0	0
CYP2D8P	0	0	0	0	0	0
ZCCHC4	0	0	0	0	0	0
TMPOP1	0	0	0	0	0	0
C12orf71	0	0	0	0	0	0
AC016700.4	0	0	0	1	0	0
RP11-452D24.1	277	310	315	368	370	298
RP11-98L5.5	0	0	0	0	0	0
ANKRD34B	843	822	649	943	904	793
PSMC4	0	0	0	0	0	5
RP11-725K16.2	0	0	0	0	0	0
TENM4	2025	2229	1983	2531	2358	2296
CTD-2081K17.2	3	0	0	2	0	1
RP11-385D13.1	0	1	1	2	0	0
RP3-423B22.5	38	26	35	40	49	24
C7orf76	900	1022	850	1196	1028	1066
RP1-184J9.2	0	0	0	0	0	0
USP9YP2	105	60	55	113	102	141
RP11-523H20.3	3766	3706	3490	3831	3949	3948
RP11-485B17.5	172	179	166	245	224	161
RNU6-168P	2672	2399	2173	3509	3112	3068
RP6-42F4.1	33	46	12	28	39	17
MTND6P1	0	0	0	0	0	0
AC092839.4	1	2	0	5	0	0
AC084082.3	1	0	4	6	2	2
CTD-2643K12.1	0	0	0	3	0	0
PRB1	2584	2622	2427	3111	3065	2870
RP11-524O24.2	1	1	0	2	0	0
RP11-80A15.1	1	0	1	1	1	0
CTD-2515H24.1	0	1	1	0	0	0
PILRB	1729	1628	1398	1776	1653	1695
AC100852.2	0	0	0	0	0	0
AL591516.1	0	0	0	0	0	0
CTD-2287N17.1	788	719	680	893	733	857
CU442762.1	3122	2624	2495	2595	2320	2331
A1BG	2641	2357	2075	2151	1849	1832
RN7SKP244	195	190	190	156	171	108
CR752645.1	293	312	298	310	336	364
FAM99B	3	2	1	4	1	0
SNORD114-27	0	0	0	0	0	0
CMTR1	23	7	16	24	27	29
OR2H5P	216	218	184	255	243	182
RP11-96D1.5	0	0	0	0	0	0
MED13	0	1	1	0	1	1
RP11-680F20.4	151	138	121	189	153	191
RP11-531A24.7	0	0	0	3	0	0
RP11-111M22.5	0	0	0	0	0	0
FRAT2	16	12	5	12	2	8
ANKRA2	1066	978	790	990	933	845
ZNF788	0	4	0	0	0	1
PRPH	0	1	2	2	6	0
MAL	0	0	2	3	0	2
XXbac-BPG252P9.9	387	308	348	370	352	326
KCNH6	0	0	7	0	0	0
ADIPOQ	0	0	0	1	0	0
MIR1302-2	4436	4373	3996	4654	4410	4381
AC140132.1	0	1	0	1	0	0
CTD-2134A5.3	0	2	0	0	1	1
AC110754.3	0	0	0	0	0	2
MAPRE2	0	0	0	0	0	0
SCAF4	3900	3326	3033	4646	4091	4153
RP11-239E10.2	0	1	0	0	0	8
AC007383.6	7	12	4	9	9	5
TUBB2A	12395	12314	11958	15739	14879	14694
SDHC	0	4	0	0	0	0
RP11-164A6.1	0	7	3	9	0	9
RP11-840I19.3	1	0	4	1	4	0
TSPAN12	4	3	4	2	1	0
RP11-479O16.1	0	0	0	0	0	0
IGHV3-49	2	0	0	1	1	0
CTA-150C2.13	80	42	39	25	27	35
DAP3P2	12316	11794	10224	14240	13140	12755
RP11-1070A24.2	5266	5115	4638	6844	6283	6612
SCARNA12	59	54	40	46	77	39
RP11-101E14.3	3871	4646	4246	4773	4821	4626
RP11-198M11.2	3	5	0	1	5	0
NCBP2-AS1	0	1	0	0	0	0
RP11-654C22.1	0	2	8	6	1	0
MIR3908	0	0	0	0	0	0
MIR4324	0	0	0	0	0	0
FOXA1	0	0	0	0	0	0
AF238378.7	36	37	25	46	55	52
HLA-L	1759	1622	1333	2010	1735	1740
DPYD-AS1	2623	2924	2827	1964	1834	1814
TOMM6	0	0	0	1	0	1
PGRMC1	0	0	0	2	0	0
NBPF6	0	0	0	0	0	0
RP11-680A11.5	831	841	690	1386	1263	1354
AC092661.1	5	3	9	0	2	0
RP11-1305N21.3	5812	4591	4364	6680	5748	5721
ZNF766	2309	1841	1848	2259	1880	1977
BLOC1S3	1	0	4	1	1	3
LINC01115	8	11	1	12	3	3
EEF1B2P1	12	10	22	23	9	3
AL357514.1	8	13	15	28	22	15
RP11-321E2.13	2664	2083	1943	3161	2712	2587
RP11-53O19.3	68	55	69	83	59	79
SP140	206	214	154	156	113	119
RP11-559M23.1	188	164	144	319	234	230
HJURP	3	5	7	0	2	3
RN7SL59P	2974	2614	2347	3193	2813	2888
CCT4P1	0	0	0	0	0	0
MMP1	0	0	0	0	0	0
PIH1D3	0	0	0	0	0	0
KLK8	2389	2160	2121	2005	2014	1937
AC084357.1	3418	2965	2737	3595	3403	3491
LINC00229	9881	9060	8413	8520	7335	7025
RNU1-44P	42	23	19	30	22	10
RN7SL753P	0	0	0	0	0	0
FAM177B	0	6	1	0	3	0
hsa-mir-150	98	61	69	120	73	76
RP11-718O11.1	2509	2093	1915	2617	2300	2218
NECAP1P1	3121	2930	2577	3308	2964	2712
AC008391.1	2	10	4	18	12	21
MCHR2	176	184	165	156	154	143
RPS2P5	1870	1879	1565	2086	1779	1827
EIF3EP1	6828	5988	5595	7452	6466	6539
DDR1-AS1	204	208	162	179	177	151
LPPR1	14240	13737	12236	13480	12077	12065
GS1-18A18.1	16	13	9	7	15	12
RP11-113O24.3	7050	6152	5518	8286	7753	7628
RP3-399J4.2	43	47	22	28	35	28
RP11-35O7.1	1813	1399	1366	1691	1632	1398
RP11-846F4.5	2	0	1	0	0	0
HMGB1P3	1	0	0	0	0	0
VENTXP1	1020	1015	885	1421	1407	1544
AF127577.12	437	275	262	432	340	385
SPATA13-AS1	5	10	4	0	5	7
RP11-285G1.9	132	71	125	163	174	157
RP11-4K16.2	0	0	0	0	0	0
DNAJA1	1296	1330	1087	1450	1401	1302
RNU6-727P	0	0	0	0	0	0
KRTAP1-5	76	76	71	69	100	94
RP11-261P24.2	2452	2510	2344	2997	2904	2631
NFYAP1	0	2	0	0	0	1
RPS21	3433	3180	2820	3805	3568	3665
RP11-566K19.3	2235	2272	2100	2740	2683	2432
RP11-392A23.4	0	1	2	0	0	0
C1orf234	3306	3146	2968	3816	3819	3516
RP11-214D15.2	4	3	0	4	1	17
RP11-597D13.7	103	81	58	181	124	119
MIR370	1626	1398	1264	1802	1826	1786
LINC00967	0	0	0	0	0	0
TRIM25	11	4	7	7	3	1
RNU6-684P	2	0	0	0	0	0
RP11-150D20.5	9	7	8	3	3	4
CTD-2319I12.4	0	0	0	0	0	0
USP18	15	20	10	22	26	13
AC016626.1	12294	11173	10692	12687	11593	10904
RP11-101E13.5	0	4	2	2	9	3
RNU6-1062P	1	13	5	9	15	14
GNPDA2	0	0	0	5	1	11
HEPACAM2	83	87	95	141	113	117
MTND4P31	0	0	0	0	0	0
AC105393.1	0	2	0	0	0	0
RP11-285E9.6	0	0	0	0	0	0
OR9I3P	17	9	3	17	13	1
KB-67B5.12	10131	12193	11337	12864	12832	12000
MIR4449	19	18	22	24	30	11
RNASE7	0	3	0	1	10	4
RP11-625H11.1	629	594	600	772	647	632
MIR1283-1	6136	6582	5948	6994	6761	6928
RP11-343B5.1	0	0	0	0	0	0
RP11-428G5.4	0	1	0	2	2	0
RP5-915N17.3	0	2	2	6	0	8
CTD-3093M3.1	71	25	32	54	55	44
RP5-1147A1.2	0	0	0	0	0	0
RP1-223H12.5	0	0	0	0	0	0
OVOL2	0	0	0	0	0	0
FMN1	5469	6053	5355	7629	7381	7412
RP11-564A8.4	3	6	0	2	3	5
HAAO	0	0	0	0	0	0
CTD-2647E9.1	0	0	0	0	0	0
KRT8P11	0	0	0	0	0	0
RP11-603B13.1	0	0	0	0	0	0
RP11-462G2.1	0	0	0	3	0	0
RP11-98J23.2	0	0	0	0	0	0
CTD-2561B21.5	0	0	0	0	0	0
TRMT112P4	3365	3357	3055	6194	5819	5832
ALMS1P	0	0	0	2	0	0
RP11-95M15.2	0	0	0	0	0	0
AC104654.2	3754	2910	2671	5862	4724	4394
FLNA	0	0	0	0	0	0
SLC43A1	1	10	0	13	22	12
NF1P3	0	0	0	0	0	0
RP11-488L18.8	1235	1369	1173	1401	1395	1455
MGAT4C	1	1	0	0	0	0
RP11-1057B8.1	0	0	0	0	0	0
C9orf62	10	37	10	11	9	21
RP11-35P15.1	0	0	0	0	0	0
ZNF16	0	0	0	0	0	0
CTD-2158P22.1	0	3	5	15	0	4
RP11-87N3.6	0	0	0	0	0	0
RP1-302D9.2	2037	1616	1633	2669	2076	2293
NKAPL	0	0	0	0	0	0
TRAV25	149	149	179	219	180	224
AL590812.3	0	0	0	0	0	0
RNU6-621P	0	0	0	0	0	0
RP11-513G11.3	0	0	0	0	0	0
RPL30P2	0	0	0	0	0	0
RBPJ	0	0	0	0	0	0
HAPLN2	0	0	0	0	0	1
RP4-635A23.4	0	0	0	0	0	0
AL139385.1	0	0	0	1	0	0
UGT1A4	2	0	0	0	8	0
AC008088.4	111	141	104	127	142	175
CTD-2020K17.3	1902	2084	1968	2206	2216	2088
AP000350.5	0	0	0	0	0	0
CASC2	7	5	1	11	3	0
OR2A13P	1331	1490	1254	1640	1566	1552
MIR4439	0	0	0	0	0	0
VN1R11P	14	22	22	20	16	13
C22orf31	3078	3584	3357	4251	4038	4042
PSAPL1	30	27	40	42	17	31
TSGA13	0	0	0	0	2	1
RP11-763B22.3	20	15	18	22	33	26
TMPRSS11CP	3128	3356	3110	4405	4180	4029
REL	0	1	2	0	4	0
QSOX1	8242	8064	6890	9644	9477	9485
RP11-333I13.1	0	3	1	0	0	0
RP11-87G24.6	0	0	0	0	0	1
ZC3HAV1	1154	1246	965	1022	938	989
ULK4P3	0	0	0	0	0	0
BCL2L12	0	0	0	0	0	0
RNU1-93P	0	0	0	0	0	0
RP11-113A11.1	7016	6341	5694	8527	8327	7437
AL035406.1	0	0	0	0	5	0
RP11-56P9.5	0	0	0	0	0	0
RP11-526F3.1	0	0	0	0	4	0
PCCA-AS1	94	80	74	128	152	117
AC074051.1	3	0	0	0	1	4
RP4-614C15.3	5701	6141	5468	8461	7744	7898
SEMA3B-AS1	0	0	0	0	0	0
CLDN15	2	0	2	0	0	6
FOXN2	22	38	15	47	22	24
AC012564.1	4	0	1	0	0	0
CCDC27	0	0	0	0	0	0
RP11-692N5.1	3	11	5	5	2	7
TDGF1P6	0	0	0	0	0	0
AXIN2	0	0	3	3	0	0
GOT1	0	0	4	0	0	0
RP11-167N4.5	0	0	0	0	0	0
RP11-501O2.3	0	6	0	0	0	0
RP11-23E10.4	0	0	0	0	0	0
RN7SL560P	0	0	0	0	0	0
IGHVII-20-1	0	0	0	0	0	0
RP4-559A3.6	0	0	0	0	0	0
GPRC5B	0	0	0	0	0	0
RP11-748L13.2	0	0	0	0	0	0
SNORD56	0	0	0	0	0	0
AURKAIP1	0	0	0	0	0	0
CYCSP32	0	0	0	0	0	0
PDCL3P4	0	0	0	0	0	0
SGSM2	0	0	0	0	0	0
AC018462.2	315	295	275	404	373	510
AL356740.1	38710	37854	34845	52015	48486	46609
MED14	0	0	0	0	1	0
RP11-1336O20.2	5	7	9	11	20	10
RP11-439I14.3	2759	3197	2748	3745	3675	3535
RP11-126O1.5	0	0	0	1	0	0
RP11-1112C15.1	0	0	0	0	0	0
TPM3P4	17	9	6	23	14	44
MIR4491	22	5	13	21	12	9
RNU6-630P	2780	2837	2653	2901	2843	2797
RP11-395A13.2	0	0	0	0	0	0
AC027228.1	0	0	0	0	0	0
LINC00599	1969	1804	1667	2487	2491	2310
LDHBP1	1531	1654	1647	1691	1742	1697
KCNK3	6945	7098	6223	7872	7371	6846
RNA5SP87	1	0	0	0	0	0
PLCXD3	0	0	0	0	0	0
AC026214.2	0	0	0	0	0	0
AC009960.3	2267	2640	2433	3031	3291	2943
IL6	2971	3265	2979	3084	3148	3178
LHX5	87	78	61	56	77	58
HDDC3	812	860	791	917	1061	837
RP11-666E17.1	3835	4231	3744	4237	3898	3879
AC007009.1	0	0	0	1	0	0
RAF1	0	0	0	0	0	0
RNY3P3	0	0	0	2	2	0
DNAJC13	0	0	0	0	0	0
AC016597.1	2	0	3	1	0	0
TSPY20P	24701	25908	22623	29436	27982	28834
RP11-702F3.4	1	0	0	0	0	0
GATAD2A	18	23	11	28	20	17
RNU7-24P	34	35	42	74	29	36
RP11-718I15.1	286	219	237	300	358	311
MYT1L	0	9	0	1	0	1
RNU6-818P	6849	6946	6106	12921	10840	12111
AC018737.3	47	16	31	59	52	62
SPNS2	1	0	1	0	4	5
RP11-7O20.4	0	0	0	2	0	0
RP11-540B6.6	0	0	0	2	1	0
AC079163.1	0	2	0	0	0	0
AC093415.2	0	0	1	1	0	3
RP11-219E7.4	1	0	0	1	0	2
MIR3670-2	3133	3408	3206	3327	3126	2942
RP11-16E12.1	13	3	6	3	4	5
HEATR4	0	0	0	1	0	0
RP11-995C19.2	1441	1255	1243	1573	1475	1372
AKR1C3	0	0	0	1	0	0
CDC42EP1	3571	3760	3528	4081	4026	4033
C8orf44-SGK3	6	6	5	6	1	10
NMNAT1P5	683	622	563	863	802	784
LINC00263	0	0	0	0	0	0
C17orf74	12590	12421	11614	11119	11131	10073
APOM	1045	1110	954	1092	976	885
RP11-885B4.1	0	0	0	0	0	3
SNORA68	0	0	0	0	0	0
LINC00504	2425	2440	2281	2850	2856	2602
TMED1	2	10	1	1	13	3
GPR137	0	4	0	0	0	0
AC108066.1	616	671	636	771	759	680
AC105053.4	0	0	0	0	0	0
RNU6-654P	6	9	4	13	8	12
CFLAR-AS1	0	0	0	0	0	0
SNORD115-21	0	0	0	0	0	0
RP11-360I20.2	3565	3706	3359	4368	4293	4243
SMG8	57	61	42	70	83	64
ZNF335	0	5	0	0	0	0
RNASEH2B	0	0	1	0	0	0
MYL5	1	0	0	1	3	0
FAM188B	2331	2514	2230	3032	2937	2914
RPL29P23	3	5	1	0	3	9
ZNF667-AS1	0	0	0	0	0	0
RP11-511B7.1	157	212	163	238	234	232
RN7SL29P	15	7	22	45	60	34
RNU7-57P	789	839	703	829	886	792
RP11-56A10.1	2	3	0	12	12	13
RP11-157L10.1	0	0	0	0	0	0
PPP6R1	1425	1405	1255	1175	1125	1283
RP11-435O5.2	0	0	0	0	0	0
RN7SL115P	0	0	0	0	0	0
AL161740.1	1	0	1	0	1	0
MIR4316	0	0	0	0	0	0
EXOSC3	0	0	0	0	0	0
NMB	23	19	26	29	22	32
TCF7L2	3	1	1	5	1	1
AC010731.2	4	3	0	0	0	0
FAM224A	1	0	7	8	0	2
GUF1	5	2	7	5	4	3
RP11-244H18.4	0	0	0	0	0	0
MIR3978	0	0	0	0	0	0
FNDC3A	179	142	138	120	102	104
AC073869.20	0	0	0	0	2	0
RP11-317O24.2	4010	3791	3427	4046	4077	3746
RNU6-543P	5297	4959	4632	6062	5848	5686
CTD-2266L18.1	0	0	0	0	0	0
C4orf40	13	29	18	22	17	5
ATAD3B	0	0	0	0	0	0
U40455.1	1	1	0	0	0	1
RP13-130D24.1	2430	2255	1993	2396	2291	2455
AP005138.1	0	5	0	0	2	0
AC233992.1	0	0	0	0	0	0
DUSP12	1	0	1	2	3	0
IGLV3-31	0	0	0	2	0	0
AC067940.1	1	0	0	2	2	0
RP11-817J15.2	0	0	0	0	0	0
RP11-631F7.2	0	0	0	0	1	0
CTD-2337A12.1	0	0	0	0	0	0
AL109659.1	2	0	0	1	0	0
PLK2	1	0	0	0	0	0
AL137118.1	0	0	0	0	0	0
FTLP3	0	4	1	3	0	0
RP3-388M5.8	1791	2067	1690	2046	1965	1877
RPL17P37	5080	4912	4568	5471	4871	4799
RBPMSLP	5	9	7	8	11	17
RNA5SP25	0	0	0	0	0	0
DISC1	223	266	191	193	247	209
RP11-320N7.2	72	25	56	59	59	29
C1QTNF9B-AS1	0	1	0	0	0	1
LOC124685	0	0	0	0	0	0
RP11-738E22.3	654	703	641	1046	970	930
KRT8P33	1	0	0	0	0	10
VHL	0	0	0	0	0	0
RNU6-452P	10714	11166	10324	12496	11781	11449
