	TCGA-13-0758-01A-01R-0363-07	TCGA-13-0723-01A-02R-0363-07	TCGA-09-0364-01A-02R-0363-07	TCGA-13-0727-01A-01R-0363-07	TCGA-09-0365-01A-02R-0363-07	TCGA-13-0805-01A-01R-0363-07	TCGA-01-0631-11A-01R-0363-07	TCGA-13-0768-01A-01R-0363-07	TCGA-13-0800-01A-01R-0363-07	TCGA-13-0791-01A-01R-0363-07	TCGA-13-0804-01A-01R-0363-07	TCGA-13-0762-01A-01R-0363-07	TCGA-13-0803-01A-01R-0363-07	TCGA-13-0757-01A-01R-0363-07	TCGA-13-0725-01A-01R-0363-07	TCGA-13-0730-01A-01R-0363-07	TCGA-01-0637-11A-01R-0363-07	TCGA-13-0794-01A-01R-0363-07	TCGA-13-0795-01A-01R-0363-07	TCGA-13-0792-01A-01R-0363-07	TCGA-01-0636-11A-01R-0363-07	TCGA-13-0764-01A-03R-0363-07	TCGA-13-0793-01A-01R-0363-07	TCGA-09-0369-01A-01R-0363-07	TCGA-07-0249-20A-01R-0363-07	TCGA-09-0367-01A-01R-0363-07	TCGA-13-0802-01A-01R-0363-07	TCGA-13-0760-01A-01R-0363-07	TCGA-01-0633-11A-01R-0363-07	TCGA-13-0724-01A-01R-0363-07	TCGA-13-0726-01A-01R-0363-07	TCGA-13-0717-01A-01R-0363-07	TCGA-13-0801-01A-01R-0363-07	TCGA-09-0366-01A-01R-0363-07	TCGA-13-0714-01A-01R-0363-07	TCGA-13-0761-01A-01R-0363-07	TCGA-01-0638-11A-02R-0363-07	TCGA-01-0630-11A-01R-0363-07
EMX2	5.4418	6.0736	5.8152	6.3118	6.4796	5.8948	5.7962	6.0144	5.8966	6.196	5.5336	6.4186	6.8332	6.1308	5.423	5.2566	5.2116	5.4984	6.1074	6.142	6.07	5.9932	6.9676	5.402	0.3078	6.1822	5.5564	5.2346	6.1594	5.7462	6.0828	5.9944	5.7338	5.0928	5.8516	6.195	2.3084	6.92
FUS	-1.6342	-1.8884	-0.1208	-2.304	-0.6336	-0.8758	-2.4524	-1.913	-0.9126	-2.4236	0.2714	-0.9288	-2.1258	-2.2206	-1.2912	-1.3946	-2.4916	-1.1614	-1.7668	-1.7148	-1.3918	-1.8918	-2.1628	-0.6214	-1.4168	-0.9764	-0.4176	-1.2576	-2.2874	-0.9936	-2.1962	-2.3576	-1.332	-0.7444	-2.175	-2.7764	-2.3338	-2.5264
TF	-3.31207692307692	-3.52169230769231	-3.58546153846154	-3.00453846153846	-3.50076923076923	-3.062	-3.29384615384615	-2.14907692307692	-3.16261538461539	-3.13984615384615	-3.21330769230769	-3.12046153846154	-2.93407692307692	-3.25715384615385	-3.39230769230769	-3.19538461538462	-3.32915384615385	-3.16138461538462	-3.12107692307692	-2.92753846153846	-3.42315384615385	-3.22	-3.10569230769231	-3.49	-3.90453846153846	-3.39646153846154	-2.84707692307692	-3.18315384615385	-3.40753846153846	-3.03446153846154	-3.29723076923077	-3.25207692307692	-3.40153846153846	-3.57869230769231	-3.16184615384615	-3.30353846153846	-2.85515384615385	-3.68015384615385
CLCN4	0.725125	0.52875	0.940375	0.278375	1.40175	1.06525	0.62825	0.22975	2.36525	0.907375	0.6885	-0.183875	0.248125	0.2935	0.4115	1.750375	0.68725	-0.557375	-0.396375	-0.257125	0.948	0.07	0.258	1.549875	1.38725	0.824875	0.959875	-0.698125	0.641625	0.66075	0.68275	0.907125	-0.49275	0.72375	0.101875	0.0805	0.2685	0.159625
CXorf56	-0.3392	0.4264	-0.0812	-0.0926	0.3486	-0.9462	0.282	-0.7484	0.1542	-0.8222	0.3852	-1.501	-1.791	0.1198	-0.5772	0.596	-0.0972	1.0668	-1.046	-0.212	0.0698	-0.33	-1.8242	0.195	-0.486	1.4924	-0.0768	0.1438	-0.1456	-1.3036	-1.1516	-0.7884	0.376	0.5708	-0.5192	-0.3792	-0.1582	-1.302
C11orf72	0.268166666666667	0.262166666666667	0.3455	0.572666666666667	0.269	0.621666666666667	0.3235	0.239666666666667	0.268833333333333	0.564166666666667	0.2095	0.5775	0.875666666666667	0.496833333333333	0.416333333333333	0.041	0.1145	0.117	0.642	0.420666666666667	0.4805	0.4235	1.0565	0.422333333333333	0.069	0.617166666666667	0.3475	0.232333333333333	0.334833333333333	0.256833333333333	0.330666666666667	0.6025	0.270666666666667	0.0346666666666667	0.413333333333333	0.4055	0.644833333333333	0.6415
ELAC2	-1.10793333333333	-1.0942	-1.2588	-1.28886666666667	-1.09126666666667	-0.888533333333333	-1.47366666666667	-0.845266666666667	-0.504733333333333	-1.41533333333333	-1.23706666666667	-0.962933333333333	-0.708266666666667	-1.28393333333333	-1.26966666666667	-1.32173333333333	-1.10153333333333	-1.2488	-1.48846666666667	-1.07833333333333	-0.9648	-1.3582	-0.668066666666667	-0.834266666666667	-1.3108	-1.50533333333333	-1.01853333333333	-1.68113333333333	-1.23933333333333	-0.588066666666667	-1.37253333333333	-1.04933333333333	-1.21826666666667	-0.933933333333333	-1.42226666666667	-1.50406666666667	-1.19266666666667	-1.1164
NPR1	3.1858	1.5072	0.5372	2.9252	0.2922	2.7966	2.0354	0.507	-0.702	2.717	3.6874	1.5174	3.0988	1.5834	3.1198	-0.094	3.3354	3.5634	3.6894	2.5872	3.1042	3.7392	2.2992	1.399	-0.7068	3.5126	1.2782	3.21	2.3224	2.8114	3.5062	2.587	2.0992	1.3434	2.2586	2.1058	0.1866	2.8706
ASS1	2.50311111111111	0.609333333333333	0.701777777777778	1.42966666666667	-0.579666666666667	1.44077777777778	0.541222222222222	-1.23977777777778	-0.498666666666667	1.28955555555556	0.445444444444444	0.682	0.342555555555556	-0.193666666666667	0.837888888888889	0.0425555555555556	1.63388888888889	2.28544444444444	1.00477777777778	2.07833333333333	0.345333333333333	0.789333333333333	1.60044444444444	1.145	-0.756111111111111	1.13544444444444	1.72411111111111	0.197333333333333	0.248888888888889	1.42266666666667	1.41522222222222	0.496111111111111	1.34044444444444	1.63866666666667	1.234	1.25488888888889	1.32822222222222	0.269555555555556
USP42	-0.8757	0.3053	0.4374	-0.202	0.1445	-0.2347	-0.6368	-0.3136	0.1811	-0.428	0.0272	0.6412	0.0391	0.6	-0.5299	1.0633	-0.034	-0.1306	0.182	-0.2669	-0.2738	-0.0477	-0.0230999999999999	0.0667	-0.6886	0.000400000000000006	-0.0495	-0.2108	-0.3259	-0.0756	0.2291	0.453	-0.9708	0.3006	0.1521	-0.0198	-0.1742	-0.1952
POLR2J	0.601666666666667	0.143	-0.341	-1.42733333333333	0.242333333333333	1.014	-0.563333333333333	-0.0296666666666667	-0.081	0.638666666666667	0.21	0.479666666666667	0.641	0.637333333333333	0.239	0.879333333333333	0.11	0.446	0.677666666666667	-0.348333333333333	-0.394333333333333	1.20533333333333	-0.851333333333333	0.0726666666666667	-0.830333333333333	-0.497	-0.307333333333333	0.566666666666667	-0.652666666666667	-0.082	-0.695666666666667	0.149666666666667	-0.186	-0.796	-0.309666666666667	-0.571	-0.240666666666667	-0.988666666666667
SEC23IP	-0.22625	0.196875	0.393375	0.3165	0.2375	0.16325	0.044625	-0.42675	-0.679125	-0.10575	0.062375	-0.462625	-0.601625	0.184125	0.146625	0.877	0.18925	-0.303875	-0.100875	-0.252125	0.131375	-0.587125	-0.292625	0.419125	0.794125	0.082375	0.301375	0.04775	0.16925	-0.44325	-0.5565	0.05725	-0.15425	0.356125	0.390625	-0.000625000000000028	0.294375	-0.39775
UQCRC1	1.0476	-0.1586	0.5246	-0.0948	-0.9534	0.9596	0.0624	-0.7402	-0.0412	0.143	0.7602	0.3648	1.3602	0.6214	0.054	-0.4488	1.194	0.7648	0.64	0.0204	-0.2746	0.385	-0.4326	0.3498	0.1836	-0.2834	0.217	-0.16	-0.502	0.3048	0.7534	0.7142	0.2054	-1.2024	0.7564	0.2784	1.7136	0.027
LOC729603	-0.2666	-0.0508	0.0394	-0.3518	-0.3162	-0.0024	-0.3926	0.091	-0.0488	0.0766	0.1254	0.209	-0.0896	0.0684	-0.4458	-0.0344	0.157	0.0306	-0.0414	0.3664	-0.3508	0.0098	-0.182	-0.111	0.252	-0.1198	0.0994	-0.2708	-0.7402	0.1546	-0.0134	-0.0152	-0.0368	0.1828	0.01	-0.0836	0.6988	-0.253
C1orf71	-0.4479	0.055	-0.6671	-0.9426	-0.2137	-0.4894	-0.3767	-0.7353	-0.5171	-1.1206	-0.3987	0.611	-0.9415	0.0295	-0.7486	0.1402	-0.2513	-0.4696	-0.4906	-0.685	-0.6016	-0.9118	-0.5624	0.2968	-0.6156	0.4996	0.2337	-0.1739	-0.7892	-0.3391	-0.029	-0.5892	-0.2419	-0.4209	-1.2384	-0.8271	-0.4268	-1.1522
POLG	-1.273	-0.9975	-0.625	-1.023	-1.9735	-1.4245	-2.5155	-1.9315	-1.3265	-1.884	-0.685	-2.0105	-1.91	-0.8485	-0.833	-0.775	-2.581	-1.168	-1.6135	-1.529	-2.7215	-1.1945	-1.948	-0.736	-1.089	-1.5355	-0.8015	-2.132	-2.6725	-1.5145	-1.982	-1.241	-1.4705	-1.683	-2.106	-1.033	-2.162	-2.895
ADAM23	-3.53033333333333	-3.59533333333333	-2.84166666666667	-3.2555	-3.71983333333333	-3.32366666666667	-3.57233333333333	-3.31666666666667	-3.34483333333333	-3.3365	-3.67116666666667	-3.6305	-3.17566666666667	-3.3465	-3.664	-2.30183333333333	-3.29083333333333	-3.19866666666667	-3.394	-3.27333333333333	-3.68	-3.60766666666667	-3.27883333333333	-3.815	-0.00150000000000001	-3.69033333333333	-3.45283333333333	-3.749	-3.30616666666667	-3.32366666666667	-3.51116666666667	-3.3065	-3.45666666666667	-3.9145	-3.27566666666667	-3.4285	-2.7975	-3.70183333333333
TFR2	-0.652	-0.1856	0.0192	-0.7536	-0.951	0.24	-1.0044	-0.2744	-0.5112	-0.2512	-0.612	-0.458	-0.0264	0.283	-1.1848	-0.4538	-0.5566	-0.6358	-0.4732	0.1678	-1.036	-0.408	-0.2814	-0.8644	0.0278	-0.28	-0.527	-0.4026	-1.1258	-0.7898	-0.7398	-0.4226	-0.5436	-1.4112	-0.479	-0.4454	-0.3512	-0.4168
RICTOR	-0.709692307692308	-0.121461538461538	0.394076923076923	0.476923076923077	-0.617923076923077	-1.96507692307692	-0.973384615384615	0.612230769230769	-1.44907692307692	-0.0120769230769231	0.648538461538462	-0.886307692307692	-0.585230769230769	0.117076923076923	-0.767	-0.156230769230769	-0.789307692307692	-0.530461538461538	-0.819	-0.550846153846154	-0.366692307692308	-1.43546153846154	-0.880416666666667	-0.0324615384615385	-0.980846153846154	-0.553076923076923	-0.922307692307692	0.514461538461538	-0.497615384615385	-0.680384615384615	0.00307692307692308	-1.56007692307692	-0.412923076923077	0.0906153846153846	-1.21576923076923	-0.918307692307692	-1.07738461538462	-2.02923076923077
MGC39606	2.1546	1.016	1.2682	1.9584	1.9088	1.8048	1.475	0.2926	1.768	1.6566	0.949	1.6748	1.2708	0.8722	1.8026	2.058	1.1994	1.6682	0.2718	-0.0211999999999999	1.8754	1.8484	1.5156	1.1498	0.2154	1.4544	1.108	0.8892	1.7134	1.2772	1.4428	2.0614	0.5258	1.5664	1.9084	1.4082	-0.0464	1.8508
C19orf55	0.0193636363636364	0.241727272727273	0.00736363636363637	0.00354545454545454	0.197272727272727	0.189090909090909	-0.198454545454545	0.0800909090909091	-0.0335454545454546	0.136090909090909	-0.0993636363636364	0.425545454545455	0.197272727272727	0.327454545454545	-0.237545454545455	-0.0776363636363636	-0.193636363636364	0.185272727272727	0.269181818181818	0.0107272727272727	-0.232727272727273	0.575727272727273	0.353636363636364	-0.308727272727273	-0.265454545454545	-0.0564545454545455	-0.18	-0.0205454545454546	-0.209181818181818	0.539454545454546	-0.131272727272727	0.614363636363636	-0.267727272727273	-0.254363636363636	0.0636363636363636	0.206272727272727	-0.146636363636364	0.121090909090909
SNAPC1	-1.875375	-0.930625	-0.61075	-1.5645	-0.824	-0.703	0.0245	-0.806875	-0.470375	0.288125	-1.13225	-0.810125	-1.286125	-0.196125	-0.831125	-1.260375	-0.918875	-1.098125	-2.37675	-0.97675	-1.019875	-1.519875	0.182375	-1.063125	1.051	-0.634	-0.526125	-1.588875	-0.954125	-1.322	-1.51525	-1.096125	-1.3035	-0.521125	-1.934	-0.662125	-2.879625	-0.735625
GNA11	0.00118181818181817	-0.726909090909091	-0.576181818181818	-0.0854545454545455	-0.478	-0.474090909090909	0.356363636363636	-0.255818181818182	-0.986454545454545	-0.622363636363636	-0.249636363636364	0.0107272727272727	-0.056	-0.910636363636364	-0.508909090909091	0.0696363636363636	1.061	-0.651272727272727	-0.428545454545455	-0.222454545454545	0.586272727272727	0.886181818181818	-0.495818181818182	-0.646454545454546	0.253909090909091	-0.266545454545455	-0.552454545454545	0.264636363636364	0.492545454545455	0.171090909090909	0.528272727272727	-0.893	0.187727272727273	-0.570181818181818	-0.275181818181818	-0.622545454545454	2.13272727272727	0.548909090909091
CCDC52	0.230125	2.211875	0.89	1.17025	1.5025	0.124625	0.831375	0.583375	1.058375	0.585	0.87475	1.745375	0.20175	1.565	1.769875	1.090875	0.267	0.0585	1.00575	1.2525	0.327625	0.97675	0.521875	0.792625	0.613	0.538875	1.039625	1.034875	-0.193125	0.64	0.0545	1.40175	0.785	0.695125	-0.311875	0.866	-0.54425	0.372375
FSIP1	0.104	-0.193666666666667	0.0433333333333333	-0.661	-0.372666666666667	-0.723333333333333	1.89933333333333	-0.649666666666667	0.217	0.017	-0.33	-1.817	-1.36066666666667	-0.290666666666667	-1.26433333333333	0.300666666666667	2.20766666666667	-0.166	-1.55633333333333	-0.448	1.19866666666667	1.27133333333333	-1.08366666666667	-0.149	1.639	-0.136333333333333	0.459333333333333	-2.48533333333333	0.590333333333333	-0.653666666666667	-1.00333333333333	-0.834333333333333	-1.628	-0.672333333333333	0.358666666666667	0.608666666666667	1.09566666666667	1.31566666666667
UPF3A	-0.7372	0.00520000000000005	-0.6696	0.256	0.1095	-1.1653	-0.2154	-1.1053	-0.5114	-0.7355	-0.3652	0.3993	0.2955	-0.8478	-0.8662	0.00620000000000004	-0.1697	-0.0665	-0.6465	-1.363	0.2686	-1.0028	-1.1074	0.1094	0.398	-0.175	0.6874	-0.3177	-0.1206	-0.2696	-0.9112	-0.3686	-0.8326	-0.0107	-0.7433	-0.4769	-1.0293	-0.7838
IGSF11	0.32975	0.45325	-0.093125	-0.836125	-0.400625	-1.284	-0.80475	-0.84475	-0.299625	-0.257	-0.95325	0.25875	-1.263125	-0.27625	-0.114375	-0.75675	-0.955	0.27275	-1.300375	-0.762	-0.87575	-0.932125	-1.40625	0.083375	-1.19025	-0.44525	-0.72275	-1.21925	-1.26675	-1.2115	-0.50525	0.148375	-1.10225	-0.52625	-0.8715	-0.439375	-1.08575	-0.909625
LAGE3	0.7428	1.565	-0.9236	0.5648	-0.1996	-0.0796	-0.5524	-0.2712	0.0452	1.2386	-0.073	0.5804	0.1438	-0.898	0.966	0.1462	-1.4606	0.1714	0.2874	-0.5652	-1.0186	0.2462	-0.1558	-0.0342	-0.0594	-0.6622	-0.604	1.5078	-1.4174	-0.2424	-0.313	0.7396	0.1572	1.0368	1.0598	0.0622	-0.7138	-1.1274
CHST6	1.35666666666667	2.55533333333333	-0.517	-0.671333333333333	-0.516666666666667	-1.74133333333333	2.79566666666667	1.544	0.537666666666667	1.16566666666667	0.673666666666667	1.176	4.446	-1.45633333333333	1.79466666666667	2.385	2.65266666666667	2.40833333333333	1.638	0.566	1.562	3.01033333333333	1.51833333333333	0.997	-1.07366666666667	-0.256333333333333	1.57666666666667	1.842	1.05666666666667	-0.160333333333333	1.48533333333333	-1.35366666666667	0.123333333333333	-0.467	-0.245666666666667	-0.207	-0.765333333333333	2.26966666666667
UNC13B	-0.577181818181818	-0.133454545454545	-0.925181818181818	-0.511545454545455	-1.23918181818182	-0.865818181818182	-0.430636363636364	0.156909090909091	-0.419090909090909	-0.788	-0.905727272727273	0.453454545454545	0.00263636363636363	-0.959636363636364	-0.423	-0.136363636363636	-0.07	-0.00299999999999999	-0.989272727272727	-0.812272727272727	-0.209181818181818	-0.650363636363636	-0.818727272727273	-0.492727272727273	-0.731454545454546	-0.436272727272727	-0.516181818181818	0.288363636363636	-0.0631818181818182	-0.758363636363636	-0.428454545454545	-0.842181818181818	-0.893	-0.795636363636364	-0.447545454545455	-0.586818181818182	0.820636363636364	-0.359090909090909
TTLL4	-1.25509090909091	-1.56781818181818	0.340818181818182	-1.30563636363636	0.849909090909091	-0.102181818181818	-1.04563636363636	-1.34681818181818	1.34036363636364	-1.23590909090909	-0.461090909090909	0.125272727272727	-0.895	-0.811818181818182	-0.857181818181818	0.313	-1.01763636363636	-0.692454545454545	-0.536	-0.705	-0.896454545454545	-0.348363636363636	-0.655454545454545	-0.154636363636364	-0.820272727272727	-0.710363636363636	-0.353181818181818	-0.259363636363636	-1.64272727272727	-0.479090909090909	-1.13945454545455	-0.820272727272727	-0.940636363636364	-0.238454545454545	-1.04372727272727	-1.48	-1.44654545454545	-0.803909090909091
ZNF687	-0.363	-0.1405	-0.1774	0.5072	0.7016	0.2499	-0.2764	-0.4022	0.1493	0.6485	0.1582	0.1198	0.2255	-0.5494	-0.3786	0.2159	-0.2057	0.4139	0.2907	-0.2316	-0.7036	-0.0269	-0.0635	-0.0762	-0.4274	0.5819	-0.1378	0.3245	-0.5916	0.8095	-0.2104	0.3623	-0.0638	1.4244	-0.1994	-0.1378	-0.4984	-0.1258
SDC2	-2.01342857142857	-1.688	-1.50642857142857	-2.12585714285714	-0.927857142857143	-1.64228571428571	-0.488928571428571	-0.943357142857143	-1.46435714285714	-1.66942857142857	-2.52042857142857	-2.20078571428571	-2.42721428571429	-1.27435714285714	-0.969142857142857	0.452714285714286	-0.600142857142857	-1.95578571428571	-1.52671428571429	-1.98035714285714	-0.891785714285714	-2.69985714285714	-2.25921428571429	0.688857142857143	0.356928571428571	-0.351	-0.679428571428571	-2.44342857142857	-0.181285714285714	-2.447	-1.23378571428571	-0.698642857142857	-2.42528571428571	-0.992642857142857	-1.66042857142857	-1.73285714285714	-1.09592857142857	-0.418571428571429
COX7A2	0.1736	1.4522	0.3126	0.4156	-1.0226	-0.2678	0.408	1.09	1.6238	1.284	0.26	-0.0352	0.7944	0.6396	0.4788	-0.0518	-0.4748	1.589	0.9068	1.083	-0.4484	0.7978	-0.3176	0.9752	-0.3674	-0.1978	0.2848	0.4876	0.0248	0.8188	0.232	-0.033	0.89	0.855	0.723	1.0912	1.0358	0.0118
LAMB4	0.3472	-0.0494	3.0192	-0.70625	0.722	0.3698	-0.2884	2.511	-0.678	-1.014	-0.3602	-1.3008	-1.4936	-1.1242	0.033	1.6944	-0.4324	-0.129	-0.4028	-0.0556	-0.2814	2.8182	-0.1568	-0.1876	-0.4614	-0.7054	-1.2404	-0.4946	-0.1444	0.6964	-0.1814	-2.3858	-0.394	-0.3438	-0.0916	-0.304	-0.41225	-0.6622
FAM24A	0.239	0.431	0.282	0.0886666666666667	0.208	0.0866666666666667	0.211333333333333	0.286666666666667	0.155666666666667	-0.0663333333333333	0.115333333333333	0.341	0.327666666666667	0.291333333333333	0.311	0.132333333333333	0.173	0.298333333333333	-0.015	0.342	0.166	0.204666666666667	0.378666666666667	0.169666666666667	0.486666666666667	0.385	0.247666666666667	0.374	0.0956666666666667	0.206333333333333	0.336666666666667	0.563333333333333	0.512666666666667	0.353333333333333	0.125333333333333	0.348	-0.0876666666666666	0.315
LRRTM3	-1.827	-1.821125	-1.263375	-1.91725	-2.195125	-1.711625	-2.004875	-2.317625	-1.59514285714286	-1.944125	-2.424875	-1.706375	-1.972375	-2.105	-1.944375	-0.044375	-1.795625	-2.209875	-1.607625	-1.8025	-2.403375	-1.910625	-1.91925	-1.618875	-1.519875	-1.61075	-1.918375	-2.16571428571429	-1.895625	-1.7905	-2.46425	-1.691125	-1.834125	-1.84325	-2.04675	-1.643125	-2.064625	-2.117375
GPHB5	0.281	0.2	0.5114	0.852	0.1362	1.706	0.631	0.2852	0.2572	0.946	0.5676	0.8154	1.3168	0.9664	0.0816	0.0008	0.16	0.391	1.0328	1.1316	0.6764	1.1116	1.3482	-0.00139999999999999	0.3796	0.6516	0.2416	0.211	0.5018	0.4666	0.4968	0.9742	0.756	-0.3128	0.962	1.9192	0.6128	0.8378
OR4C13	0.052	-0.290333333333333	-0.06	0.0616666666666667	-0.0453333333333333	0.341	0.308	-0.584333333333333	-0.141	0.0453333333333333	0.103666666666667	-0.102333333333333	-0.236666666666667	-0.352333333333333	-0.217333333333333	-0.402	-0.052	0.214666666666667	-0.212	0.302	-0.0356666666666667	-0.0513333333333333	0.183333333333333	-0.172666666666667	0.246	0.734333333333333	0.296666666666667	-0.0396666666666667	-0.00966666666666666	-0.0216666666666667	0.042	-0.076	0.223333333333333	-0.056	0.284666666666667	0.09	0.354	0.259333333333333
EIF3EIP	0.0746666666666666	-0.429611111111111	0.832555555555556	0.086	0.0159444444444445	0.565333333333333	0.448277777777778	-0.177388888888889	-0.144777777777778	0.287388888888889	0.249111111111111	1.00938888888889	1.31622222222222	0.714111111111111	-0.456444444444444	0.114444444444444	0.931833333333333	-0.429888888888889	0.652	0.7475	1.14766666666667	0.762555555555556	0.568111111111111	-0.125111111111111	0.209944444444444	0.5855	0.541277777777778	0.224	0.766666666666667	0.310277777777778	0.187777777777778	0.761388888888889	-0.325833333333333	-0.38	0.672333333333333	0.0843888888888888	0.557888888888889	1.66194444444444
HABP4	-0.421333333333333	-0.488333333333333	-0.719	-0.753333333333333	-0.834	-1.04666666666667	-0.200666666666667	-0.676333333333333	-1.037	-0.887333333333333	-1.04066666666667	-1.33633333333333	-1.10033333333333	-0.612666666666667	0.095	-0.341666666666667	-0.679666666666667	-1.36333333333333	-1.33366666666667	-0.789333333333333	-0.554666666666667	-1.312	-0.808	-0.481333333333333	0.576666666666667	-0.767333333333333	0.116	-0.788	-0.0716666666666667	-0.498	0.305666666666667	-0.470666666666667	-0.298666666666667	-0.109666666666667	-0.916666666666667	-0.654333333333333	-0.680333333333333	-0.720666666666667
TMEM125	3.7768	4.2702	3.0512	3.2176	2.8306	3.3254	3.8892	3.8132	3.2864	3.9418	3.4728	4.8974	4.974	4.0452	3.52	2.08	3.722	4.0518	4.0278	4.057	3.361	4.2884	4.0078	2.8926	-3.247	4.6908	3.429	3.2334	3.2708	3.595	4.6696	4.0312	3.8174	3.7426	3.2842	3.6618	4.2356	3.7276
CNTN2	0.111	0.189363636363636	0.214454545454545	0.367818181818182	0.369727272727273	0.214818181818182	-0.05	0.168727272727273	0.434272727272727	0.350363636363636	0.0652727272727273	0.138181818181818	0.087	0.498272727272727	-0.484454545454545	0.810545454545455	0.0425454545454545	0.126181818181818	0.487818181818182	0.577545454545454	-0.0601818181818182	0.166545454545455	0.304363636363636	0.909	0.0961818181818182	0.288818181818182	0.165545454545455	0.310454545454545	0.127636363636364	0.117818181818182	-0.126818181818182	0.566545454545454	0.290454545454545	0.0842727272727273	0.172363636363636	0.404090909090909	0.405909090909091	0.207363636363636
ASNSD1	0.3936	0.0304	0.039	-0.0648	0.2938	-0.1174	0.5136	-0.4098	-0.0152	0.2342	-0.1414	-0.407	-0.4496	0.0584	0.905	0.2912	-0.1904	-0.341	-0.5726	0.2594	0.4788	-0.615	0.089	-0.0502	0.1808	0.2212	0.0588	0.1738	0.4768	-0.237	-0.4324	-0.3998	0.3214	-0.046	-0.106	-0.1976	-0.6464	0.1862
FUT4	-0.3955	-0.4394	0.0384	-0.5668	-0.5251	0.0829	-0.384	-0.236	-0.2973	-0.7527	-0.7536	-0.3125	-0.7423	-0.5569	0.1145	-0.28	-0.2294	-0.7258	-0.6231	-0.3986	-0.601	-0.0956	-0.4146	0.5811	-0.3394	-0.5314	0.0294	-0.5231	-0.1272	-0.6541	-0.3517	-0.5257	0.2864	-0.5755	-0.2629	-0.1859	1.5111	-0.5095
ACF	-2.6248	-2.095	-1.8536	-2.3808	-2.1598	-2.2142	-2.3696	-1.8934	-2.1782	-2.0374	-2.4554	-2.3056	-1.78	-1.6394	-2.694	-2.8876	-2.4884	-2.2818	-2.1994	-1.873	-2.5286	-2.2574	-2.2488	-2.4552	-1.9292	-2.6922	-2.5086	-2.4982	-2.6952	-2.2866	-2.478	-2.2794	-2.4274	-2.9888	-2.1604	-2.1098	1.8936	-1.7446
LOC158381	-0.1895	-0.0045	-0.0695	-0.0945	-0.481	-0.3235	0.099	-1.4965	-0.1515	-0.2085	-0.242	-2.014	-2.0635	-0.5565	0.316	-1.0705	-0.2775	0.3495	-0.7925	0.148	-0.087	-1.0325	-1.645	0.248	0.5555	0.1135	-0.323	-0.652	0.2265	-0.9295	-0.3095	-1.5955	-0.3725	0.7155	-1.177	0.466	-0.093	-1.4205
CDH8	-0.2012	0.4994	0.0208	0.2198	1.0314	-0.3812	-0.1538	-0.0654	1.2496	-0.6824	-0.209	-0.9098	-0.0494	-0.2002	0.023	0.3626	-0.1088	0.4448	-0.3558	-0.1938	-0.2714	-0.042	-0.0526	2.5446	0.0996	0.1204	-0.2784	0.0208	-0.2044	-0.4206	-0.1922	0.5304	0.07	-0.2762	0.1918	-0.1302	-0.1486	-0.093
AGPS	-0.586375	-0.483	-0.69525	-1.497	-1.607625	-0.877125	-1.057875	-0.8435	-0.78075	-0.60225	-0.53475	-0.977625	-1.127875	-0.9695	0.00125000000000003	-0.38375	-1.3205	-1.778875	-1.12225	0.326875	-1.103625	-0.617125	0.294875	-0.44575	-0.56775	-0.282125	-1.605875	1.328875	-1.10175	-0.9115	-1.262	-1.760125	0.801	-0.504125	-1.04225	-1.06625	0.094	-1.417875
C4orf18	-0.715545454545455	-1.35790909090909	-0.0192727272727273	-0.860363636363636	-1.52590909090909	-0.934545454545455	0.828909090909091	1.27590909090909	-0.450818181818182	-1.25109090909091	-1.13154545454545	-2.52290909090909	-0.917181818181818	-1.19763636363636	-0.0638181818181818	-0.660545454545455	-0.013	-1.56627272727273	-0.575636363636364	-1.18818181818182	0.475363636363636	-2.66672727272727	-0.527363636363636	0.875090909090909	-2.24081818181818	-1.66627272727273	-1.17981818181818	-1.75736363636364	1.71336363636364	-0.936545454545454	-1.97963636363636	-2.53609090909091	-0.139363636363636	0.803545454545454	0.177818181818182	-0.396181818181818	0.828818181818182	0.344454545454545
PECI	-0.272714285714286	0.159214285714286	-0.858642857142857	-0.683857142857143	-0.897928571428571	-0.8155	0.238142857142857	-0.662714285714286	0.798071428571428	-0.736785714285714	-1.12271428571429	-0.311428571428571	-0.241285714285714	-0.233714285714286	-0.284857142857143	-0.1805	-0.406214285714286	-0.041	-1.73464285714286	-1.25692857142857	-0.175357142857143	-0.156785714285714	-0.0565714285714286	0.322428571428571	-0.316642857142857	-0.680571428571428	-0.505785714285714	-1.01257142857143	-0.0814285714285714	-1.06564285714286	-0.877571428571429	-0.222071428571429	-1.08592857142857	-0.772214285714286	-0.515714285714286	-0.742571428571429	0.687928571428571	-0.0234285714285714
UNG	-0.212181818181818	0.034	0.912090909090909	-0.143	0.846545454545454	-1.11272727272727	-0.606636363636364	-0.819090909090909	1.18045454545455	-0.00472727272727267	0.130181818181818	-0.884090909090909	-0.180727272727273	-0.217909090909091	0.0841818181818182	0.0412727272727273	-1.48972727272727	0.486272727272727	-0.639454545454545	-0.537727272727273	-0.611272727272727	-0.208363636363636	-0.415727272727273	1.21681818181818	-0.471727272727273	-0.304090909090909	0.658272727272727	0.0439090909090909	-0.941636363636364	0.463090909090909	-0.892545454545455	0.683727272727273	-0.564545454545455	0.271727272727273	-0.196	0.322	-0.107	-1.29181818181818
